id,parentId,name,size,realsize,percent
c1_1_19_3,c1_1_19,Apples (fresh),0.6,0.6,null
c1_1_19_4,c1_1_19,Pears (fresh),0.2,0.2,null
c1_1_19_5,c1_1_19,Stone fruits (fresh),0.6,0.6,null
c1_1_19_6,c1_1_19,Berries (fresh),1.5,1.5,null
c1_1_20,c1_1,"Other fresh, chilled or frozen fruits",0.5,0.5,null
c1_1_21,c1_1,Dried fruit and nuts,0.8,0.8,null
c1_1_22,c1_1,Preserved fruit and fruit based products,0.1,0.1,null
c1_1_23,c1_1,Fresh vegetables,4.3,4.3,null
c1_1_23_1,c1_1_23,Leaf and stem vegetables (fresh or chilled),1,1,null
c1_1_23_2,c1_1_23,Cabbages (fresh or chilled),0.4,0.4,null
c1_1_23_3,c1_1_23,"Vegetables grown for their fruit (fresh, chilled or frozen)",1.5,1.5,null
c1_1_23_4,c1_1_23,"Root crops, non-starchy bulbs and mushrooms (fresh, chilled or frozen)",1.4,1.4,null
c1_1_24,c1_1,Dried vegetables,0.1,0.1,null
c1_1_25,c1_1,Other preserved or processed vegetables,1.7,1.7,null
c1_1_26,c1_1,Potatoes,0.8,0.8,null
c1_1_27,c1_1,Other tubers and products of tuber vegetables,1.6,1.6,null
c1_1_28,c1_1,Sugar and sugar products,0.4,0.4,null
c1_1_28_1,c1_1_28,Sugar,0.2,0.2,null
c1_1_28_2,c1_1_28,Other sugar products,0.2,0.2,null
c1_1_29,c1_1,"Jams, marmalades",0.3,0.3,null
c1_1_30,c1_1,Chocolate,2.1,2.1,null
c1_1_31,c1_1,Confectionery products,0.8,0.8,null
c1_1_32,c1_1,Edible ices and ice cream,0.7,0.7,null
c1_1_33,c1_1,Other food products,2.6,2.6,null
c1_1_33_1,c1_1_33,"Sauces, condiments",1.2,1.2,null
c1_1_33_2,c1_1_33,"Baker's yeast, dessert preparations, soups",1.1,1.1,null
c1_1_33_3,c1_1_33,"Salt, spices, culinary herbs and other food products",0.3,0.3,null
c1_2,c1,Non-alcoholic drinks,4.9,4.9,null
c1_2_1,c1_2,Coffee,0.9,0.9,null
c1_2_2,c1_2,Tea,0.4,0.4,null
c1_2_3,c1_2,Cocoa and powdered chocolate,0.1,0.1,null
c1_2_4,c1_2,Fruit and vegetable juices,1.1,1.1,null
c1_2_5,c1_2,Mineral or spring waters,0.4,0.4,null
c1_2_6,c1_2,Soft drinks (inc. fizzy and ready to drink fruit drinks),2,2,null
c2,c0,"Alcoholic drink, tobacco and narcotics",12.4,12.4,2.2
c2_1,c2,Alcoholic drinks,8.7,8.7,null
c2_1_1,c2_1,Spirits and liqueurs (brought home),2,2,null
c2_1_2,c2_1,"Wines, fortified wines (brought home)",4.5,4.5,null
c2_1_2_1,c2_1_2,Wine from grape or other fruit (brought home),3.8,3.8,null
c2_1_2_2,c2_1_2,Fortified wine (brought home),0.1,0.1,null
c2_1_2_3,c2_1_2,Champagne and sparkling wines (brought home),0.5,0.5,null
c2_1_3,c2_1,"Beer, lager, ciders and perry (brought home)",2.2,2.2,null
c2_1_3_1,c2_1_3,Beer and lager (brought home),1.8,1.8,null
c2_1_3_2,c2_1_3,Ciders and perry (brought home),0.4,0.4,null
c2_1_4,c2_1,Alcopops (brought home),0,0,null
c2_2,c2,Tobacco and narcotics,3.8,3.8,null
c2_2_1,c2_2,Cigarettes,2.6,2.6,null
c2_2_2,c2_2,"Cigars, other tobacco products and narcotics",1.1,1.1,null
c2_2_2_1,c2_2_2,Cigars,0.1,0.1,null
c2_2_2_2,c2_2_2,Other tobacco,1.1,1.1,null
c2_2_2_3,c2_2_2,Narcotics,0,0,null
c3,c0,Clothing and footwear,24.3,24.3,4.2
c3_1,c3,Clothing,19.6,19.6,null
c3_1_1,c3_1,Men's outer garments,5.1,5.1,null
c3_1_2,c3_1,Men's under garments,0.5,0.5,null
c3_1_3,c3_1,Women's outer garments,8.4,8.4,null
c3_1_4,c3_1,Women's under garments,1.2,1.2,null
c3_1_5,c3_1,Boys' outer garments (5-15),1,1,null
c3_1_6,c3_1,Girls' outer garments (5-15),1,1,null
c3_1_7,c3_1,Infants' outer garments (under 5),0.7,0.7,null
c3_1_8,c3_1,Children's under garments (under 16),0.4,0.4,null
c3_1_9,c3_1,Accessories,0.8,0.8,null
c3_1_9_1,c3_1_9,Men's accessories,0.3,0.3,null
c3_1_9_2,c3_1_9,Women's accessories,0.3,0.3,null
c3_1_9_3,c3_1_9,Children's accessories,0.1,0.1,null
c3_1_9_4,c3_1_9,Protective head gear (crash helmets),0.1,0.1,null
c3_1_10,c3_1,"Haberdashery, clothing materials and clothing hire",0.3,0.3,null
c3_1_11,c3_1,"Dry cleaners, laundry and dyeing",0.2,0.2,null
c3_1_11_1,c3_1_11,Dry cleaners and dyeing,0.2,0.2,null
c3_1_11_2,c3_1_11,"Laundry, launderettes",0,0,null
c3_2,c3,Footwear,4.8,4.8,null
c3_2_1,c3_2,Footwear for men,1.6,1.6,null
c3_2_2,c3_2,Footwear for women,2.3,2.3,null
c3_2_3,c3_2,Footwear for children (5 to 15 years) and infants (under 5),0.9,0.9,null
c3_2_4,c3_2,Repair and hire of footwear,0,0,null
c4,c0,"Housing (net), fuel and power",76.1,76.1,13.3
c4_1,c4,Actual rentals for housing,50.1,50.1,null
c4_1_3,c4_1,Net rent (the amount spent on rent after removing housing benefit and related allowances),36.1,36.1,null
c4_1_4,c4_1,Second dwelling - rent,0,0,null
c4_2,c4,Maintenance and repair of dwelling,8.2,8.2,null
c4_2_1,c4_2,Central heating repairs,1.3,1.3,null
c4_2_2,c4_2,House maintenance etc,5,5,null
c4_2_3,c4_2,"Paint, wallpaper, timber",1.3,1.3,null
c4_2_4,c4_2,"Equipment hire, small materials",0.6,0.6,null
c4_3,c4,Water supply and miscellaneous services relating to the dwelling,9.3,9.3,null
c4_3_1,c4_3,Water charges,7.5,7.5,null
c4_3_2,c4_3,Other regular housing payments including service charge for rent,1.7,1.7,null
c4_3_3,c4_3,"Refuse collection, including skip hire",0.1,0.1,null
c4_4,c4,"Electricity, gas and other fuels",22.5,22.5,null
c4_4_1,c4_4,Electricity,11.4,11.4,null
c4_4_2,c4_4,Gas,9.8,9.8,null
c4_4_3,c4_4,Other fuels,1.3,1.3,null
c4_4_3_1,c4_4_3,Coal and coke,0.1,0.1,null
c4_4_3_2,c4_4_3,Oil for central heating,1,1,null
c4_4_3_3,c4_4_3,"Paraffin, wood, peat, hot water etc",0.2,0.2,null
c5,c0,Household goods and services ,40.7,40.7,7.1
c5_1,c5,"Furniture and furnishings, carpets and other floor coverings",22.6,22.6,null
c5_1_1,c5_1,Furniture and furnishings,18.8,18.8,null
c5_1_1_1,c5_1_1,Furniture,17.2,17.2,null
c5_1_1_2,c5_1_1,"Fancy, decorative goods",1,1,null
c5_1_1_3,c5_1_1,Garden furniture,0.6,0.6,null
c5_1_2,c5_1,Floor coverings,3.8,3.8,null
c5_1_2_1,c5_1_2,Soft floor coverings,3.5,3.5,null
c5_1_2_2,c5_1_2,Hard floor coverings,0.3,0.3,null
c5_2,c5,Household textiles,2.2,2.2,null
c5_2_1,c5_2,"Bedroom textiles, including duvets and pillows",1,1,null
c5_2_2,c5_2,"Other household textiles, including cushions, towels, curtains",1.2,1.2,null
c5_3,c5,Household appliances,4.3,4.3,null
c5_3_1,c5_3,Gas cookers,0,0,null
c5_3_2,c5_3,"Electric cookers, combined gas/electric cookers",0.2,0.2,null
c5_3_3,c5_3,Clothes washing machines and drying machines,0.7,0.7,null
c5_3_4,c5_3,"Refrigerators, freezers and fridge-freezers",0.5,0.5,null
c5_3_5,c5_3,"Other major electrical appliances, dishwashers, micro-waves vacuum cleaners, heaters etc",1.9,1.9,null
c5_3_6,c5_3,"Fire extinguisher, water softener, safes etc",0,0,null
c5_3_7,c5_3,"Small electric household appliances, excluding hairdryers",0.5,0.5,null
c5_3_8,c5_3,Repairs to gas and electrical appliances and spare parts,0.5,0.5,null
c5_3_9,c5_3,Rental/hire of major household appliances,0,0,null
c5_4,c5,"Glassware, tableware and household utensils",1.9,1.9,null
c5_4_1,c5_4,"Glassware, china, pottery, cutlery and silverware",0.7,0.7,null
c5_4_2,c5_4,Kitchen and domestic utensils,0.8,0.8,null
c5_4_3,c5_4,"Repair of glassware, tableware and household utensils",0,0,null
c5_4_4,c5_4,Storage and other durable household articles,0.5,0.5,null
c5_5,c5,Tools and equipment for house and garden,2.9,2.9,null
c5_5_1,c5_5,Electrical tools,0.4,0.4,null
c5_5_2,c5_5,"Garden tools, equipment and accessories eg lawn mowers etc",0.4,0.4,null
c5_5_3,c5_5,Small tools,0.4,0.4,null
c5_5_4,c5_5,"Door, electrical and other fittings",0.8,0.8,null
c5_5_5,c5_5,Electrical consumables,0.9,0.9,null
c5_6,c5,Goods and services for routine household maintenance,6.7,6.7,null
c5_6_1,c5_6,Cleaning materials,2.4,2.4,null
c5_6_1_1,c5_6_1,"Detergents, washing-up liquid, washing powder",1,1,null
c5_6_1_2,c5_6_1,"Disinfectants, polishes, other cleaning materials etc",1.4,1.4,null
c5_6_2,c5_6,Household goods and hardware,1.7,1.7,null
c5_6_2_1,c5_6_2,Kitchen disposables,1,1,null
c5_6_2_2,c5_6_2,"Household hardware and appliances, matches",0.3,0.3,null
c5_6_2_3,c5_6_2,"Kitchen gloves, cloths etc",0.1,0.1,null
c5_6_2_4,c5_6_2,"Pins, needles, tape measures, nails, nuts and bolts etc",0.2,0.2,null
c5_6_3,c5_6,"Domestic services, carpet cleaning, hire/repair of furniture/furnishings",2.7,2.7,null
c5_6_3_1,c5_6_3,"Domestic services, including cleaners, gardeners, au pairs",2.1,2.1,null
c5_6_3_2,c5_6_3,"Carpet cleaning, ironing service, window cleaner",0.5,0.5,null
c5_6_3_3,c5_6_3,Hire/repair of household furniture and furnishings,0,0,null
c6,c0,Health,6.9,6.9,1.2
c6_1,c6,"Medical products, appliances and equipment",3.8,3.8,null
c6_1_1,c6_1,"Medicines, prescriptions and healthcare products",2.1,2.1,null
c6_1_1_1,c6_1_1,NHS prescription charges and payments,0.3,0.3,null
c6_1_1_2,c6_1_1,Medicines and medical goods (not NHS),1.6,1.6,null
c6_1_1_3,c6_1_1,"Other medical products (eg plasters, condoms, hot water bottle etc)",0.2,0.2,null
c6_1_1_4,c6_1_1,"Non-optical appliances and equipment (eg wheelchairs, batteries for hearing aids, shoe build-up)",0.1,0.1,null
c6_1_2,c6_1,"Spectacles, lenses, accessories and repairs",1.7,1.7,null
c6_1_2_1,c6_1_2,"Purchase of spectacles, lenses, prescription sunglasses",1.7,1.7,null
c6_1_2_2,c6_1_2,Accessories/repairs to spectacles/lenses,0,0,null
c6_2,c6,Hospital services,3.1,3.1,null
c6_2_1,c6_2,Out patient services,2.9,2.9,null
c6_2_1_1,c6_2_1,"NHS medical, optical, dental and medical auxiliary services",0.9,0.9,null
c6_2_1_2,c6_2_1,"Private medical, optical, dental and medical auxiliary services",2,2,null
c6_2_1_3,c6_2_1,Other services,0,0,null
c6_2_2,c6_2,In-patient hospital services,0,0,null
c7,c0,Transport,80.8,80.8,14.1
c7_1,c7,Purchase of vehicles,27.9,27.9,null
c7_1_1,c7_1,Purchase of new cars and vans,9.9,9.9,null
c7_1_1_1,c7_1_1,Outright purchases,5.2,5.2,null
c7_1_1_2,c7_1_1,Loan/Hire Purchase of new car/van,4.7,4.7,null
c7_1_2,c7_1,Purchase of second hand cars or vans,17.1,17.1,null
c7_1_2_1,c7_1_2,Outright purchases,12.1,12.1,null
c7_1_2_2,c7_1_2,Loan/Hire Purchase of second hand car/van,5,5,null
c7_1_3,c7_1,Purchase of motorcycles,0.9,0.9,null
c7_1_3_1,c7_1_3,Outright purchases of new or second hand motorcycles,0.3,0.3,null
c7_1_3_2,c7_1_3,Loan/Hire Purchase of new or second hand motorcycles,0,0,null
c7_1_3_3,c7_1_3,Purchase of bicycles and other vehicles,0.5,0.5,null
c7_2,c7,Operation of personal transport,33.2,33.2,null
c7_2_1,c7_2,Spares and accessories,2.4,2.4,null
c7_2_1_1,c7_2_1,Car/van accessories and fittings,0.3,0.3,null
c7_2_1_2,c7_2_1,Car/van spare parts,1.5,1.5,null
c7_2_1_3,c7_2_1,Motorcycle accessories and spare parts,0.1,0.1,null
c7_2_1_4,c7_2_1,"Bicycle accessories, repairs and other costs",0.5,0.5,null
c7_2_2,c7_2,"Petrol, diesel and other motor oils",21.2,21.2,null
c7_2_2_1,c7_2_2,Petrol,12.6,12.6,null
c7_2_2_2,c7_2_2,Diesel oil,8.5,8.5,null
c7_2_2_3,c7_2_2,Other motor oils,0.1,0.1,null
c7_2_3,c7_2,Repairs and servicing,6.5,6.5,null
c7_2_3_1,c7_2_3,"Car or van repairs, servicing and other work",6.4,6.4,null
c7_2_3_2,c7_2_3,Motorcycle repairs and servicing,0.1,0.1,null
c7_2_4,c7_2,Other motoring costs,3.1,3.1,null
c7_2_4_1,c7_2_4,Motoring organisation subscription (eg AA and RAC),0.7,0.7,null
c7_2_4_2,c7_2_4,"Garage rent, other costs (excluding fines), car washing etc",0.8,0.8,null
c7_2_4_3,c7_2_4,"Parking fees, tolls, and permits (excluding motoring fines)",1.1,1.1,null
c7_2_4_4,c7_2_4,Driving lessons,0.3,0.3,null
c7_2_4_5,c7_2_4,"Anti-freeze, battery water, cleaning materials",0.1,0.1,null
c7_3,c7,Transport services,19.7,19.7,null
c7_3_1,c7_3,Rail and tube fares,4.3,4.3,null
c7_3_1_1,c7_3_1,Season tickets,1.7,1.7,null
c7_3_1_2,c7_3_1,Other than season tickets,2.6,2.6,null
c7_3_2,c7_3,Bus and coach fares,1.5,1.5,null
c7_3_2_1,c7_3_2,Season tickets,0.7,0.7,null
c7_3_2_2,c7_3_2,Other than season tickets,0.8,0.8,null
c7_3_3,c7_3,Combined fares,0.9,0.9,null
c7_3_3_1,c7_3_3,Combined fares other than season tickets,0.1,0.1,null
c7_3_3_2,c7_3_3,Combined fares season tickets,0.8,0.8,null
c7_3_4,c7_3,Other travel and transport,13.1,13.1,null
c7_3_4_1,c7_3_4,Air fares (within UK),0.3,0.3,null
c7_3_4_2,c7_3_4,Air fares (international),6.7,6.7,null
c7_3_4_3,c7_3_4,School travel,0,0,null
c7_3_4_4,c7_3_4,Taxis and hired cars with drivers,1.3,1.3,null
c7_3_4_5,c7_3_4,Other personal travel and transport services,0.2,0.2,null
c7_3_4_6,c7_3_4,"Hire of self-drive cars, vans, bicycles",0.3,0.3,null
c7_3_4_7,c7_3_4,Car leasing,4.1,4.1,null
c7_3_4_8,c7_3_4,"Water travel, ferries and season tickets",0.2,0.2,null
c8,c0,Communication,17.9,17.9,3.1
c8_1,c8,Postal services,0.6,0.6,null
c8_2,c8,Telephone and telefax equipment,1.1,1.1,null
c8_2_1,c8_2,Telephone purchase,0,0,null
c8_2_2,c8_2,Mobile phone purchase,1.1,1.1,null
c8_2_3,c8_2,"Answering machine, fax machine, modem purchase",0,0,null
c8_3,c8,Telephone and telefax services,12.4,12.4,null
c8_3_1,c8_3,Telephone account,4.1,4.1,null
c8_3_2,c8_3,Telephone coin and other payments,0,0,null
c8_3_3,c8_3,Mobile phone account,7.9,7.9,null
c8_3_4,c8_3,Mobile phone - other payments,0.4,0.4,null
c8_4,c8,Internet subscription fees,3.8,3.8,null
c9,c0,Recreation and culture,74.6,74.6,13
c9_1,c9,"Audio-visual, photographic and information processing equipment",5.1,5.1,null
c9_1_1,c9_1,"Audio equipment and accessories, CD players",1.1,1.1,null
c9_1_1_1,c9_1_1,"Audio equipment, CD players including in car",0.5,0.5,null
c9_1_1_2,c9_1_1,"Audio accessories eg tapes, headphones etc",0.6,0.6,null
c9_1_2,c9_1,"TV, video and computers",3.5,3.5,null
c9_1_2_1,c9_1_2,Purchase of TV and digital decoder,0.7,0.7,null
c9_1_2_2,c9_1_2,Satellite dish purchase and installation,0,0,null
c9_1_2_3,c9_1_2,Cable TV connection,0,0,null
c9_1_2_4,c9_1_2,Video recorder,0,0,null
c9_1_2_5,c9_1_2,DVD player/recorder,0,0,null
c9_1_2_6,c9_1_2,"Blank, pre-recorded video cassettes, DVDs",0.4,0.4,null
c9_1_2_7,c9_1_2,"Personal computers, printers and calculators",2.2,2.2,null
c9_1_2_8,c9_1_2,"Spare parts for TV, video, audio",0,0,null
c9_1_2_9,c9_1_2,"Repair of audio-visual, photographic and information processing",0.1,0.1,null
c9_1_3,c9_1,"Photographic, cine and optical equipment",0.5,0.5,null
c9_1_3_1,c9_1_3,Photographic and cine equipment,0.4,0.4,null
c9_1_3_2,c9_1_3,Camera films,0,0,null
c9_1_3_3,c9_1_3,"Optical instruments, binoculars, telescopes, microscopes",0.1,0.1,null
c9_2,c9,Other major durables for recreation and culture,3,3,null
c9_2_1,c9_2,"Purchase of boats, trailers and horses",0.6,0.6,null
c9_2_2,c9_2,"Purchase of caravans, mobile homes (including decoration)",1,1,null
c9_2_3,c9_2,"Accessories for boats, horses, caravans and motor caravans",0.2,0.2,null
c9_2_4,c9_2,Musical instruments (purchase and hire),0.2,0.2,null
c9_2_5,c9_2,Major durables for indoor recreation ,0,0,null
c9_2_6,c9_2,Maintenance and repair of other major durables,0.2,0.2,null
c9_2_7,c9_2,Purchase of motor caravan (new and second-hand) - outright purchase,0.8,0.8,null
c9_2_8,c9_2,Purchase of motor caravan (new and second-hand) - loan/HP,0,0,null
c9_3,c9,"Other recreational items and equipment, gardens and pets",13.4,13.4,null
c9_3_1,c9_3,"Games, toys and hobbies",3.1,3.1,null
c9_3_2,c9_3,Computer software and games,1.1,1.1,null
c9_3_2_1,c9_3_2,Computer software and game cartridges,0.7,0.7,null
c9_3_2_2,c9_3_2,Computer games consoles,0.4,0.4,null
c9_3_3,c9_3,"Equipment for sport, camping and open-air recreation",1,1,null
c9_3_4,c9_3,"Horticultural goods, garden equipment and plants etc",2.6,2.6,null
c9_3_4_1,c9_3_4,BBQ and swings,0.1,0.1,null
c9_3_4_2,c9_3_4,"Plants, flowers, seeds, fertilisers, insecticides",2.3,2.3,null
c9_3_4_3,c9_3_4,Garden decorative,0.1,0.1,null
c9_3_4_4,c9_3_4,"Artificial flowers, pot pourri",0,0,null
c9_3_5,c9_3,Pets and pet food,5.6,5.6,null
c9_3_5_1,c9_3_5,Pet food,2.5,2.5,null
c9_3_5_2,c9_3_5,Pet purchase and accessories,1,1,null
c9_3_5_3,c9_3_5,Veterinary and other services for pets identified separately,2.1,2.1,null
c9_4,c9,Recreational and cultural services,20.9,20.9,null
c9_4_1,c9_4,"Sports admissions: subscriptions, leisure class fees and equipment hire",6.6,6.6,null
c9_4_1_1,c9_4_1,Spectator sports admission charges,0.5,0.5,null
c9_4_1_2,c9_4_1,Participant sports (excluding subscriptions),1.1,1.1,null
c9_4_1_3,c9_4_1,Subscriptions to sports and social clubs,2.3,2.3,null
c9_4_1_4,c9_4_1,Leisure class fees,2.5,2.5,null
c9_4_1_5,c9_4_1,Hire of equipment for sport and open air recreation,0.1,0.1,null
c9_4_2,c9_4,"Cinema, theatre and museums etc",3.1,3.1,null
c9_4_2_1,c9_4_2,Cinemas,0.9,0.9,null
c9_4_2_2,c9_4_2,"Live entertainment: theatre, concerts, shows",1.6,1.6,null
c9_4_2_3,c9_4_2,"Museums, zoological gardens, theme parks, houses and gardens",0.6,0.6,null
c9_4_3,c9_4,"TV, video, satellite rental, cable subscriptions and TV licences",7,7,null
c9_4_3_1,c9_4_3,TV licences,2.3,2.3,null
c9_4_3_2,c9_4_3,Satellite subscriptions,3.5,3.5,null
c9_4_3_3,c9_4_3,Rent for TV/Satellite/VCR,0,0,null
c9_4_3_4,c9_4_3,Cable subscriptions,1,1,null
c9_4_3_5,c9_4_3,TV slot meter payments,0.1,0.1,null
c9_4_3_6,c9_4_3,"Video, cassette and CD hire",0.1,0.1,null
c9_4_4,c9_4,Miscellaneous entertainments,1.3,1.3,null
c9_4_4_1,c9_4_4,"Admissions to clubs, dances, discos, bingo",0.6,0.6,null
c9_4_4_2,c9_4_4,Social events and gatherings,0.2,0.2,null
c9_4_4_3,c9_4_4,Subscriptions for leisure activities and other subscriptions,0.5,0.5,null
c9_4_5,c9_4,"Development of film, deposit for film development, passport photos, holiday and school photos",0.3,0.3,null
c9_4_6,c9_4,Gambling payments,2.6,2.6,null
c9_4_6_1,c9_4_6,Football pools stakes,0,0,null
c9_4_6_2,c9_4_6,Bingo stakes excluding admission,0.2,0.2,null
c9_4_6_3,c9_4_6,Lottery ,1.6,1.6,null
c9_4_6_4,c9_4_6,"Bookmaker, tote, other betting stakes",0.7,0.7,null
c9_5,c9,"Newspapers, books and stationery",5.3,5.3,null
c9_5_1,c9_5,Books,1.3,1.3,null
c9_5_2,c9_5,"Stationery, diaries, address books, art materials",0.8,0.8,null
c9_5_3,c9_5,"Cards, calendars, posters and other printed matter",1.3,1.3,null
c9_5_4,c9_5,Newspapers,1.3,1.3,null
c9_5_5,c9_5,Magazines and periodicals,0.7,0.7,null
c9_6,c9,Package holidays,26.9,26.9,null
c9_6_1,c9_6,Package holidays - UK,1.7,1.7,null
c9_6_2,c9_6,Package holidays - abroad,25.2,25.2,null
c10,c0,Education,8.7,8.7,1.5
c10_1,c10,Education fees,8.2,8.2,null
c10_1_1,c10_1,Nursery and primary education,1.1,1.1,null
c10_1_2,c10_1,Secondary education,1.9,1.9,null
c10_1_3,c10_1,Sixth form college/college education,1.6,1.6,null
c10_1_4,c10_1,University education,3.2,3.2,null
c10_1_5,c10_1,Other education,0.5,0.5,null
c10_2,c10,"Payments for school trips, other ad-hoc expenditure",0.5,0.5,null
c10_2_1,c10_2,Nursery and primary education,0.2,0.2,null
c10_2_2,c10_2,Secondary education,0.2,0.2,null
c10_2_3,c10_2,Sixth form college/college education,0,0,null
c10_2_4,c10_2,University education,0,0,null
c10_2_5,c10_2,Other education,0,0,null
c11,c0,Restaurants and hotels,49.6,49.6,8.7
c11_1,c11,Catering services,38.8,38.8,null
c11_1_1,c11_1,Restaurant and café meals,18.6,18.6,null
c11_1_2,c11_1,Alcoholic drinks (away from home),8,8,null
c11_1_3,c11_1,Take away meals eaten at home,5.1,5.1,null
c11_1_4,c11_1,Other take-away and snack food,5.1,5.1,null
c11_1_4_1,c11_1_4,Hot and cold food,3.9,3.9,null
c11_1_4_2,c11_1_4,Confectionery,0.3,0.3,null
c11_1_4_3,c11_1_4,Ice cream,0.1,0.1,null
c11_1_4_4,c11_1_4,Soft drinks,0.8,0.8,null
c11_1_5,c11_1,Contract catering (food),0.3,0.3,null
c11_1_6,c11_1,Canteens,1.7,1.7,null
c11_1_6_1,c11_1_6,School meals,0.8,0.8,null
c11_1_6_2,c11_1_6,Meals bought and eaten at the workplace,0.9,0.9,null
c11_2,c11,Accommodation services,10.9,10.9,null
c11_2_1,c11_2,Holiday in the UK,6,6,null
c11_2_2,c11_2,Holiday abroad,4.7,4.7,null
c11_2_3,c11_2,Room hire,0.2,0.2,null
c12,c0,Miscellaneous goods and services,43.5,43.5,7.6
c12_1,c12,Personal care,12.5,12.5,null
c12_1_1,c12_1,"Hairdressing, beauty treatment",3.8,3.8,null
c12_1_2,c12_1,Toilet paper,0.8,0.8,null
c12_1_3,c12_1,Toiletries and soap,2.5,2.5,null
c12_1_3_1,c12_1_3,"Toiletries (disposable including tampons, lipsyl, toothpaste etc)",1.5,1.5,null
c12_1_3_2,c12_1_3,"Bar of soap, liquid soap, shower gel etc",0.4,0.4,null
c12_1_3_3,c12_1_3,"Toilet requisites (durable including razors, hairbrushes, toothbrushes etc)",0.5,0.5,null
c12_1_4,c12_1,Baby toiletries and accessories (disposable),0.7,0.7,null
c12_1_5,c12_1,"Hair products, cosmetics and electrical appliances for personal care",4.6,4.6,null
c12_1_5_1,c12_1_5,Hair products,0.9,0.9,null
c12_1_5_2,c12_1_5,Cosmetics and related accessories,3.3,3.3,null
c12_1_5_3,c12_1_5,"Electrical appliances for personal care, including hairdryers, shavers etc",0.4,0.4,null
c12_2,c12,Personal effects ,4,4,null
c12_2_1,c12_2,"Jewellery, clocks and watches and other personal effects",2.2,2.2,null
c12_2_2,c12_2,Leather and travel goods (excluding baby items),1.3,1.3,null
c12_2_3,c12_2,Sunglasses (non-prescription),0.1,0.1,null
c12_2_4,c12_2,Baby equipment (excluding prams and pushchairs),0.2,0.2,null
c12_2_5,c12_2,"Prams, pram accessories and pushchairs",0.1,0.1,null
c12_2_6,c12_2,Repairs to personal goods,0,0,null
c12_3,c12,Social protection,4.4,4.4,null
c12_3_1,c12_3,Residential homes,0,0,null
c12_3_2,c12_3,Home help,0.7,0.7,null
c12_3_3,c12_3,"Nursery, crèche, playschools",0.9,0.9,null
c12_3_4,c12_3,Child care payments,2.1,2.1,null
c12_4,c12,Insurance,17.6,17.6,null
c12_4_1,c12_4,Household insurances,4.6,4.6,null
c12_4_1_1,c12_4_1,Structure insurance,2.3,2.3,null
