AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7
Knowsley,E08000011,55.6,57.3,57.8,58.6,59,59.1,58.4
Liverpool,E08000012,58.2,59,57.2,57.7,57.6,57.7,59.3
St. Helens,E08000013,60.9,61.4,62.2,60.2,59.4,58.5,57.9
Sefton,E08000014,62.5,62.1,60.8,59.9,61.2,60.7,62.4
Wirral,E08000015,61.2,60.6,60.1,60.3,61.2,61.3,59.8
Barnsley,E08000016,57.5,57.3,55.9,57.6,56.9,58.6,59.7
Doncaster,E08000017,58.1,57.7,58.4,57.4,59.7,59.6,61.8
Rotherham,E08000018,58,58.2,57.3,58.7,58.7,59.8,59.3
Sheffield,E08000019,59.4,60.2,60.3,60.7,59,60.4,62.5
Newcastle upon Tyne,E08000021,60.5,60,57.9,58.7,59,59.1,58.8
North Tyneside,E08000022,60.2,60,59.9,60,60.8,61.8,62.2
South Tyneside,E08000023,58,58.2,58.3,58.6,56.8,57.3,59.4
Sunderland,E08000024,57,57.7,58.5,58.4,58.6,58.7,57.7
Birmingham,E08000025,58.6,58,58.4,57.8,58.4,59.7,59.9
Coventry,E08000026,60.6,61.1,62.2,61.3,62.8,62.2,62.9
Dudley,E08000027,62,62.4,62.1,62.4,60.7,59.9,59.6
Sandwell,E08000028,57.7,58.3,59.4,59,57.7,57.1,57.1
Solihull,E08000029,65.9,64.9,65.3,63.4,63.9,64.7,63.4
Walsall,E08000030,58.9,59.5,59.7,59,58.1,57.8,57.7
Wolverhampton,E08000031,59.2,58.1,56.6,57.2,56.5,56.6,58.2
Bradford,E08000032,60.8,61.5,62.2,61.7,62.8,61.8,60.4
Calderdale,E08000033,62,60.2,61.1,62.4,63.4,63.4,61.6
Kirklees,E08000034,60.5,60,62,62,60.8,61.6,62.7
Leeds,E08000035,60.5,60.7,60.7,60.3,61.2,60.3,62
Wakefield,E08000036,58.5,59.3,58.1,58.8,58.6,57.3,58.9
Gateshead,E08000037,57.7,57.9,57.3,58.2,56.9,59.1,59.6
Barking and Dagenham,E09000002,60.6,60.3,61,59.1,59.7,58.2,62.8
Barnet,E09000003,66,68.5,68.5,67.3,68.5,64.6,64.4
Bexley,E09000004,65.2,65.1,65.5,64.9,66.1,65.8,65
Brent,E09000005,64.7,62.2,62.8,64.1,64.1,64.9,62.4
Bromley,E09000006,65.4,66.8,67.1,67.7,68.4,66.9,65.7
Camden,E09000007,61.2,63.3,60.8,64.1,63.5,64.2,63.4
Croydon,E09000008,62.6,63.8,63,63.4,63.1,62,61.1
Ealing,E09000009,61.4,61.6,63.3,63.8,64,62.6,62.5
Enfield,E09000010,62.2,64.5,63.7,68.4,68.5,64.3,65.1
Greenwich,E09000011,61.8,62.2,61.2,60.5,61.3,60.7,63.2
Hackney,E09000012,58.9,59.8,58.9,58.1,57.7,59.1,57.5
Hammersmith and Fulham,E09000013,62,61.5,60.8,61.8,62.6,63.8,62.8
Haringey,E09000014,60.6,59.9,64.1,64.1,64.9,65.2,65
Harrow,E09000015,63.6,63.7,65.4,68.5,69.2,66.4,68.3
Havering,E09000016,64,65,63.7,64.4,66.1,65.8,65.5
Hillingdon,E09000017,64,63.7,63.3,65.3,66.9,64.3,65.2
Hounslow,E09000018,60.1,61.7,63.2,63.7,63,62.7,63
Islington,E09000019,56.8,55.8,57.6,60.5,60.8,60.9,60.4
Kensington and Chelsea,E09000020,66.6,66.7,67.1,68.8,67.5,66.3,62.6
Kingston upon Thames,E09000021,63.2,64,64,66.5,67.8,69.1,67.2
Lambeth,E09000022,60.5,62,65.2,59.3,59.5,58.5,59.4
Lewisham,E09000023,60.6,62.9,66.9,63.1,60.9,62.9,61.9
Merton,E09000024,64.2,61.5,63.7,62.9,63.2,63.1,64.1
Newham,E09000025,59.5,59.2,60,59.8,62.4,65.3,60.6
Redbridge,E09000026,65.2,65.2,61.7,61.6,62.8,62.9,63.7
Richmond upon Thames,E09000027,68.8,69.2,68.6,69.2,68.7,69.8,69.6
Southwark,E09000028,60.6,59.7,59.4,58.5,61.2,61.2,62.4
Sutton,E09000029,63,65.3,65.6,65.5,63.2,64,69.8
Tower Hamlets,E09000030,55.5,53,54.2,53.9,54.1,61.4,61.9
Waltham Forest,E09000031,61.7,62.2,60.7,61.1,59.5,62.2,62.4
Wandsworth,E09000032,62.7,63.5,63.2,65.2,64.9,61.5,66.9
Westminster,E09000033,66.7,67.9,65.7,66.7,64.5,62,62.3
Buckinghamshire,E10000002,67.59585,68.20259,67.05224,68.35605,69.55335,69.31498,68.7725
Cambridgeshire,E10000003,64.36328,64.9539,66.29279,65.86182,65.65699,65.23696,64.31459
Cumbria,E10000006,61.50357,61.60514,62.90191,62.65075,62.58538,63.20154,64.44721
Derbyshire,E10000007,62.57199,64.00974,62.53762,62.90227,63.42544,63.77238,63.40543
Devon,E10000008,66.06745,65.37359,66.03748,65.28558,65.31035,66.67112,66.67495
Dorset,E10000009,66.93981,67.18069,66.83282,68.8621,67.98836,64.75197,64.36684
East Sussex,E10000011,62.34005,63.06749,63.47382,62.49109,63.98493,65.05384,64.69216
Essex,E10000012,64.91246,64.74757,64.48895,65.41231,65.82642,64.55936,64.52676
Gloucestershire,E10000013,65.03866,64.40029,63.344,63.50629,66.23181,66.10423,66.01083
Hampshire,E10000014,66.99768,66.44211,65.53586,67.26055,67.18315,67.51525,68.00437
Hertfordshire,E10000015,65.64054,65.42546,65.53552,65.33361,64.32953,66.11721,65.90795
Kent,E10000016,63.3627,63.31802,62.86283,63.58573,63.70945,64.14828,64.23179
Lancashire,E10000017,62.29175,62.12085,61.2671,61.17649,61.7944,62.43862,61.08134
Leicestershire,E10000018,64.33961,64.90439,63.83062,64.72543,63.59111,65.15338,65.15294
Lincolnshire,E10000019,64.37591,64.4113,64.06687,63.23214,62.907,61.06167,61.72041
Norfolk,E10000020,63.4185,63.50273,64.14532,64.69506,64.53676,64.59865,63.07585
Northamptonshire,E10000021,64.6168,64.8153,64.37345,63.86242,65.38193,64.72791,65.22112
North Yorkshire,E10000023,65.09549,64.5649,63.24406,65.4869,67.27525,66.89352,64.86285
Nottinghamshire,E10000024,60.91604,61.21022,61.9818,62.35638,61.05013,61.69408,62.52133
Oxfordshire,E10000025,67.00208,66.19098,66.63623,68.70517,68.69908,67.06627,68.64849
Somerset,E10000027,65.1859,66.09247,67.2069,66.27054,65.43142,64.81202,64.7314
Staffordshire,E10000028,64.25811,63.9391,62.67243,63.67996,64.37738,64.77083,63.35314
Suffolk,E10000029,65.26944,66.10244,64.44793,65.63514,65.06196,63.45242,63.18777
Surrey,E10000030,67.548,68.14273,67.99075,67.43806,68.56941,68.82988,68.28669
Warwickshire,E10000031,66.38606,65.61558,67.26146,67.60689,68.11319,66.23725,64.00988
West Sussex,E10000032,66.20142,66.19441,66.76988,66.3289,64.56976,65.35288,65.7509
Worcestershire,E10000034,65.07515,64.88359,66.0027,66.64343,65.62674,66.56509,65.72479
