id,parentId,classification,payment holiday possible,code,name,size,realsize,percent
c3_32,c3,D,N,1.2.5,Mineral or spring waters,0.4239,0.4239,null
c3_33,c3,D,N,1.2.6,Soft drinks (inc. fizzy and ready to drink fruit drinks),2.2985,2.2985,null
c3_34,c3,D,N,2.1.1,Spirits and liqueurs (brought home),2.0277,2.0277,null
c3_35,c3,D,N,2.1.2,"Wines, fortified wines (brought home)",4.5535,4.5535,null
c3_36,c3,D,N,2.1.3,"Beer, lager, ciders and perry (brought home)",2.4758,2.4758,null
c3_37,c3,D,N,2.1.4,Alcopops (brought home),0.0253,0.0253,null
c3_38,c3,D,N,2.2.1,Cigarettes,2.6947,2.6947,null
c3_39,c3,D,N,2.2.2,"Cigars, other tobacco products and narcotics",1.2122,1.2122,null
c3_40,c3,D,N,4.2,Maintenance and repair of dwelling,7.5242,7.5242,null
c3_41,c3,D,N,5.1.1,Furniture and furnishings,18.7085,18.7085,null
c3_42,c3,D,N,5.1.2,Floor coverings,4.2474,4.2474,null
c3_43,c3,D,N,5.2,Household textiles,2.1737,2.1737,null
c3_44,c3,D,N,5.3,Household appliances,3.7379,3.7379,null
c3_45,c3,D,N,5.4,"Glassware, tableware and household utensils",1.8413,1.8413,null
c3_46,c3,D,N,5.5,Tools and equipment for house and garden,2.8909,2.8909,null
c3_47,c3,D,N,6.1.2,"Spectacles, lenses, accessories and repairs",1.6679,1.6679,null
c3_48,c3,D,N,7.2.1,Spares and accessories,2.2199,2.2199,null
c3_49,c3,D,N,8.1,Postal services,0.5741,0.5741,null
c3_50,c3,D,N,8.2,Telephone and telefax equipment,1.0434,1.0434,null
c3_51,c3,D,N,8.3,Telephone and telefax services,8.8946,8.8946,null
c3_52,c3,D,N,8.4,Internet subscription fees (ex. combined packages),0.7865,0.7865,null
c3_53,c3,D,N,8.5,Combined telecom services,10.0393,10.0393,null
c3_54,c3,D,N,12.1.5,"Hair products, cosmetics and related electrical appliances",4.6436,4.6436,null
c3_55,c3,D,Y,12.4.1,"Household insurances - structural, contents and appliances",5.0716,5.0716,null
c3_56,c3,D,Y,14.7,Pay off loan to clear other debt,0.0554,0.0554,null
c5,c0,,,,Prevented during lockdown,1,182.3102,22
c5_1,c5,P,N,3.1.1,Men's outer garments,4.8207,4.8207,null
c5_2,c5,P,N,3.1.2,Men's under garments,0.487,0.487,null
c5_3,c5,P,N,3.1.3,Women's outer garments,8.4151,8.4151,null
c5_4,c5,P,N,3.1.4,Women's under garments,1.2005,1.2005,null
c5_5,c5,P,N,3.1.5,Boys' outer garments (5-15),0.8139,0.8139,null
c5_6,c5,P,N,3.1.6,Girls' outer garments (5-15),1.0895,1.0895,null
c5_7,c5,P,N,3.1.7,Infants' outer garments (under 5),0.6157,0.6157,null
c5_8,c5,P,N,3.1.8,Children's under garments (under 16),0.4242,0.4242,null
c5_9,c5,P,N,3.1.9,Accessories,0.7397,0.7397,null
c5_10,c5,P,N,3.1.10,Haberdashery and clothing hire,0.3126,0.3126,null
c5_11,c5,P,N,3.1.11,"Dry cleaners, laundry and dyeing",0.2246,0.2246,null
c5_12,c5,P,N,3.2,Footwear,5.2911,5.2911,null
c5_13,c5,P,N,5.6.3,"Domestic services, carpet cleaning, hire/repair of furniture/furnishings",2.8872,2.8872,null
c5_14,c5,P,Y,7.1.1,Purchase of new cars and vans,8.6575,8.6575,null
c5_15,c5,P,Y,7.1.2,Purchase of second hand cars or vans,14.7007,14.7007,null
c5_16,c5,P,Y,7.1.3,Purchase of motorcycles and other vehicles,0.6368,0.6368,null
c5_17,c5,P,N,7.2.3,Repairs and servicing,6.8386,6.8386,null
c5_18,c5,P,N,7.2.4,Other motoring costs,2.7951,2.7951,null
c5_19,c5,P,N,7.3.1,Rail and tube fares,4.6396,4.6396,null
c5_20,c5,P,N,7.3.2,Bus and coach fares,1.6449,1.6449,null
c5_21,c5,P,N,7.3.3,Combined fares,0.7169,0.7169,null
c5_22,c5,P,N,7.3.4,Other travel and transport,14.1309,14.1309,null
c5_23,c5,P,N,9.4.1,"Sports admissions, subscriptions, leisure class fees and equipment hire",7.5389,7.5389,null
c5_24,c5,P,N,9.4.2,"Cinema, theatre and museums etc.",3.4146,3.4146,null
c5_25,c5,P,N,9.6.1,Package holidays - UK,2.0891,2.0891,null
c5_26,c5,P,N,9.6.2,Package holidays - abroad,28.3503,28.3503,null
c5_27,c5,P,N,10.2,"Payments for school trips, other ad-hoc expenditure",0.6045,0.6045,null
c5_28,c5,P,N,11.1.1,Restaurant and café meals,19.3604,19.3604,null
c5_29,c5,P,N,11.1.2,Alcoholic drinks (away from home),7.9969,7.9969,null
c5_30,c5,P,N,11.1.5,Contract catering (food) and canteens,2.3463,2.3463,null
c5_31,c5,P,N,11.2.1,Holiday in the UK,5.6451,5.6451,null
c5_32,c5,P,N,11.2.2,Holiday abroad,4.8313,4.8313,null
c5_33,c5,P,N,11.2.3,Room hire,0.1084,0.1084,null
c5_34,c5,P,N,12.1.1,"Hairdressing, beauty treatment",4.3411,4.3411,null
c5_35,c5,P,Y,12.4.4,"Non-package holiday, other travel insurance",1.0354,1.0354,null
c5_36,c5,P,N,13.3,Holiday spending,12.5651,12.5651,null
