topic,topic_text,topic_code,color,measure,change1,change3,measure_code,graphic,url,link_to,period,two_series,markers,data_start,text,tickNo,centreline,margin_t,margin_r,margin_b,margin_l,svg,ymin,ymax,rolling
,,health,#6E4A75,Health satisfaction,,no,helsat,line,none,https://www.understandingsociety.ac.uk,years,no,no,"2000, 01, 02","<p class=""blurb"">In 2015 to 2016, over half (51.0%) of people aged 16 and over in the UK were mostly or completely satisfied with their health, an improvement over the short-term (49.6% in 2014 to 2015) and no overall change over the long-term (51.8% in 2010 to 2011). </p><p class= ""updatedDate"">Updated: 25 April 2018</p>",2,yes,30,20,35,30,none,20,70,none
,,health,#6E4A75,Depression or Anxiety,,up,psycho,line,none,https://www.understandingsociety.ac.uk,years,no,no,"2000, 01, 03","<p class=""blurb"">In 2015 to 2016, 17.8% of people in the UK aged 16 and over showed some evidence of anxiety or depression. While over the short-term this measure showed no overall change (17.4% in 2014 to 2015), there was an improvement over the long-term (18.9% in 2010 to 2011). </p><p class= ""updatedDate"">Updated: 25 April 2018</p>",2,no,30,20,25,30,none,0,25,none
"<h2><a name=""section4""></a>What we do</h2>",<p>Includes work and leisure activities and the balance between them.</p>,whwedo,#5f7682,Unemployment rate,,up,unempr,line,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/unemployment/timeseries/mgsx/lms/data,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/unemployment/timeseries/mgsx/lms,months,no,no,"2005, 05, 01","<p class=""blurb"">There was an improvement in the unemployment rate in the UK over the long-term between the three months ending February 2018 (4.2%) and the three months ending February 2013 (8.0%). There was also an improvement over the one year period (4.7% in the three months ending February 2017).   </p> <p class= ""updatedDate"">Updated: 25 April 2018</p>",2,no,30,20,25,30,none,0,10,none
,,whwedo,#5f7682,Job satisfaction,,down,jobsat,line,none,https://www.understandingsociety.ac.uk,years,no,no,"2000, 01, 05","<p class=""blurb"">Over half of people aged 16 and over in the UK (55.5%) were mostly or completely satisfied with their job in 2015 to 2016. While over the short-term this measure showed no overall change (55.8% in 2014 to 2015), there was a deterioration over the long-term (59.0% in 2010 to 2011). </p><p class= ""updatedDate"">Updated: 25 April 2018</p>",2,no,30,20,25,30,none,0,70,none
,,whwedo,#5f7682,Satisfaction with leisure time,,up,leisat,line,none,https://www.understandingsociety.ac.uk,years,no,no,"2000, 01, 05","<p class=""blurb"">The proportion of people aged 16 and over in the UK who were mostly or completely satisfied with their amount of leisure time was 44.6% in 2015 to 2016. While over the short-term this measure showed no overall change (43.7% in 2014 to 2015), there was an improvement over the long-term (42.2% in 2010 to 2011). </p><p class= ""updatedDate"">Updated: 25 April 2018</p>",2,no,30,20,25,30,none,0,50,none
,,whwedo,#5f7682,Volunteering,,up,volunt,vbar,vbar,https://www.understandingsociety.ac.uk,other,no,yes,"2000, 01, 05","<p class=""blurb"">Almost 1 in 5 people in the UK (19.1%) aged 16 and over reported that they had participated in some kind of volunteering more than once in the last year in 2014 to 2015. This was an improvement over both the short-term (17.4% in 2012 to 2013) and the long-term from 2010 to 2011 (16.5%). </p><p class= ""updatedDate"">Updated: 25 April 2018</p>",2,no,30,20,25,30,none,auto,20,none
,,whwedo,#5f7682,Art and culture participation,,no,artcul,line,none,https://www.gov.uk/government/collections/taking-part,years,no,no,"2000, 01, 05","<p class=""blurb"">In the year ending March 2017, just over 8 in 10 people in England (82.2%) had participated in an arts or cultural activity at least three times in the past year. This has remained unchanged over both the short-term (82.1% in the year ending March 2016) and the long-term (83.9% in the year ending March 2012).  </p> <p class= ""updatedDate"">Updated: 10 October 2017</p>",2,yes,30,20,35,30,none,80,85,none
,,whwedo,#5f7682,Sports participation,,null,sportp,vbar,vbar,https://www.sportengland.org/research/active-lives-survey,other,no,no,"2000, 01, 05","<p class=""blurb"">Over 6 in 10  adults aged 16 and over in England took part in at least 150 minutes of sport and physical activities a week between November 2016 and November 2017 (61.8%). There was no overall change since the previous year (62.1%). Due to this measure originating from a new survey the long-term change cannot be assessed.</p><p class= ""updatedDate"">Updated: 25 April 2018</p>",2,yes,30,20,35,30,none,50,65,none
"<h2><a name=""section5""></a>Where we live</h2>","<p>Reflects an individual&#39;s dwelling, their local environment and the type of community in which they live. Measures include having a safe, clean and pleasant environment, access to facilities and being part of a cohesive community. </p>",whlive,#507D3A,Crime,,up,crimer,line,none,https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/bulletins/crimeinenglandandwales/yearendingmar2017,years,no,no,"2000, 01, 05","<p class=""blurb"">In the year ending March 2017, there were an estimated 51 personal crimes per 1,000 adults (aged 16 and over) in England and Wales. There was no overall change over the short-term (56 crimes per 1,000 adults in the year ending March 2016) and an improvement over the long-term (82 crimes per 1,000 adults in the year ending March 2012). </p><p class= ""updatedDate"">Updated: 10 October 2017</p>",1,yes,30,20,35,30,none,50,90,none
,,whlive,#507D3A,Feeling safe,,m_up_f_nochange,safedk,line,none,https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/bulletins/crimeinenglandandwales/yearendingmar2016,years,yes,no,"2000, 01, 05","<p class=""blurb"">In the year ending March 2016, 87.9% of men and 61.7% of women aged 16 and over in England and Wales reported that they felt fairly or very safe walking alone after dark. While there has been an improvement over the long term for men (86.0%) in the year ending March 2011, there was no overall change for women (63.5%). Over the short-term there was no change for either men or women (85.8% and 61.7% respectively in the year ending March 2015).</p> <p class= ""updatedDate"">Updated: 6 April 2017</p>",1,no,30,20,25,30,none,0,100,none
,,whlive,#507D3A,Accessed natural environment,,up,natenv,vbar,vbar,https://www.gov.uk/government/statistics/monitor-of-engagement-with-the-natural-environment-2015-to-2016,other,no,no,"2000, 01, 05","<p class=""blurb"">Nearly 6 in 10 people in the UK (57.6%) visited the natural environment at least once a week in the 12 months prior to interview in the year ending March 2016. There was no overall change from the previous year (58.9%) and an improvement over the long-term (53.4% in the year ending March 2011). </p> <p class= ""updatedDate"">Updated: 10 October 2017</p>",2,no,30,20,25,30,none,auto,60,none
,,whlive,#507D3A,Belonging to neighbourhood,,up,neibel,line,none,https://www.understandingsociety.ac.uk,years,no,no,"2000, 01, 05","<p class=""blurb"">The proportion of people in the UK aged 16 and over who agreed or agreed strongly they felt they belonged to their neighbourhood in 2014 to 2015 was 68.8%. While change was not assessed over the short-term period, there was an improvement over the long-term (66.0% in 2009 to 2010).</p><p class= ""updatedDate"">Updated: 6 April 2017</p>",4,no,30,20,25,30,none,0,80,none
,,whlive,#507D3A,Access to key services,,null,mintra,hbar,hbar,https://www.gov.uk/government/statistical-data-sets/journey-times-to-key-services-jts01,other,no,no,"2000, 01, 05","<p class=""blurb"">The average minimum travel time by public transport or walking to an average of 8 main services was 17.5 minutes in England in 2015. As there is only two data points at present, the change has not been assessed. </p> <p class= ""updatedDate"">Updated: 10 October 2017</p>",2,no,40,10,0,115,none,auto,auto,none
,,whlive,#507D3A,Satisfaction with accommodation ,,no,accoma,line,none,https://www.gov.uk/government/statistical-data-sets/attitudes-and-satisfaction,years,no,no,"2000, 01, 05","<p class=""blurb"">Around 9 in 10 people aged 16 and over in England (90.3%) were satisfied with their accommodation in the year ending March 2016. This has remained unchanged over both the short-term and the long-term (89.9% in the year ending March 2015 and 90.8% in the year ending March 2011).  </p><p class= ""updatedDate"">Updated: 17 October 2017</p>",2,yes,30,20,35,30,none,86,92,none
"<h2><a name=""section6""></a>Personal Finance</h2>","<p>Includes household income and wealth, its distribution and stability.</p>",perfin,#3a73a9,Low income households,,no,hhldin,line,none,https://www.gov.uk/government/statistics/households-below-average-income-199495-to-201617,years,no,no,"2000, 01, 05","<p class=""blurb"">In the year ending March 2017 the proportion of individuals living in households in the UK with less than 60% of median income before housing costs was 16%. There was no overall change in both the short-term (16% in the year ending March 2016) and the long-term (16% in the year ending March 2012). </p><p class= ""updatedDate"">Updated: 25 April 2018</p>",4,no,30,20,25,30,none,0,20,none
,,perfin,#3a73a9,Household wealth,,up,hhldwe,vbar,vbar,https://www.ons.gov.uk/peoplepopulationandcommunity/personalandhouseholdfinances/incomeandwealth/bulletins/wealthingreatbritainwave5/2014to2016,other,no,no,"2000, 01, 05","<p class=""blurb"">In July 2014 to June 2016 the median wealth per household, including pension wealth was &pound;259,400. While change was not assessed over the short-term there was an improvement over the long-term (&pound;216,500 in July 2010 to June 2012). </p><p class= ""updatedDate"">Updated: 6 April 2017</p>",2,no,30,20,25,45,none,auto,260000,none
,,perfin,#3a73a9,Household income,,up,realin,line,none,https://www.ons.gov.uk/peoplepopulationandcommunity/personalandhouseholdfinances/incomeandwealth/datasets/householddisposableincomeandinequality,years,no,no,"2000, 01, 05","<p class=""blurb"">Real median household income was &pound;27,310 in the UK in the year ending March 2017, an improvement on both the short-term (&pound;26,683 in the year ending March 2016) and over the long-term (&pound;24,466 in the year ending March 2013).  </p> <p class= ""updatedDate"">Updated: 25 April 2018</p>",4,yes,30,20,35,45,none,15000,30000,none
,,perfin,#3a73a9,Satisfied with household income,,up,satinc,line,none,https://www.understandingsociety.ac.uk,years,no,no,"2000, 01, 05","<p class=""blurb"">In 2015 to 2016, 45.6% of people in the UK aged 16 and over were mostly or completely satisfied with the income of their household. This was an improvement for both the short-term (42.8% in 2014 to 2015) and the long-term (37.9% in 2010 to 2011). </p><p class= ""updatedDate"">Updated: 25 April 2018</p>",2,no,30,20,25,30,none,0,50,none
,,perfin,#3a73a9,Difficulty managing financially,,up,financ,line,none,https://www.understandingsociety.ac.uk,years,no,no,"2000, 01, 05","<p class=""blurb"">In 2015 to 2016, 5.9% of people in the UK aged 16 and over reported finding it quite or very difficult to get by financially. While there was no overall change over the short-term (6.6% in 2014 to 2015), there was an improvement over the long-term (10.7% in 2010 to 2011). </p><p class= ""updatedDate"">Updated: 25 April 2018</p>",2,no,30,20,25,30,none,0,12,none
"<h2><a name=""section6""></a>Economy</h2>",<p>Provides an important contextual domain for national well-being and includes measures of inflation and public sector debt.</p>,econom,#cc4c02,Disposable income,,up,dispin,line,https://www.ons.gov.uk/economy/grossdomesticproductgdp/timeseries/mwb7/ukea/data,https://www.ons.gov.uk/economy/grossdomesticproductgdp/timeseries/mwb7/ukea,years,no,no,"2002, 01, 01","<p class=""blurb"">The real net national disposable income per head in the UK was &pound;25,368 in 2017, an improvement from the previous year (&pound;24,752) and over the 5 year period (&pound;23,149 in 2012).</p> <p class= ""updatedDate"">Updated: 25 April 2018</p>",4,yes,30,20,35,40,none,21000,26000,none
,,econom,#cc4c02,Public sector debt,,null,netdeb,line,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/hf6x/pusf/data,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/hf6x/pusf,years,no,no,"2000, 01, 05","<p class=""blurb"">In 2017, public sector net debt in the UK stood at 85.4% of GDP, compared with 84.7% in 2016. This change has not been assessed. </p><p class= ""updatedDate"">Updated: 25 April 2018</p>",4,no,30,20,25,30,none,0,100,none
,,econom,#cc4c02,Inflation,,null,inflat,line,https://www.ons.gov.uk/economy/inflationandpriceindices/timeseries/l55o/mm23/data,https://www.ons.gov.uk/economy/inflationandpriceindices/timeseries/l55o/mm23,years,no,no,"2000, 01, 05","<p class=""blurb"">In 2017 the rate of inflation in the UK was 2.6%, compared to 1.0% a year earlier. This change has not been assessed.</p> <p class= ""updatedDate"">Updated: 25 April 2018</p>",2,no,30,20,25,30,none,0,4,none
"<h2><a name=""section8""></a>Education and Skills</h2>",<p>Includes aspects of education and the stock of human capital in the labour market with some more information about levels of educational achievement and skills.</p>,eduski,#307993,Human capital,,up,humcap,line,none,https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/articles/humancapitalestimates/2015,years,no,no,"2000, 01, 05","<p class=""blurb"">In 2015, the value of full human capital amounted to &pound;19.9 trillion. This was an improvement both from the previous year's data (&pound;19.1 trillion) and over the long-term (&pound;19.4 trillion in 2010).</p> <p class= ""updatedDate"">Updated: 6 April 2017</p>",2,no,30,20,25,30,none,0,20,none
,,eduski,#307993,NEETs,,up,tneets,line,none,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/unemployment/bulletins/youngpeoplenotineducationemploymentortrainingneet/aug2016/relateddata,quarters,no,no,"2000, 01, 05","<p class=""blurb"">The percentage of all young people in the UK who were NEET was 11.2% in October to December 2017. While there was no overall change since the previous year (11.6%) there was an improvement over the long-term (14.8% in October to December 2012).  </p> <p class= ""updatedDate"">Updated: 25 April 2018</p>",1,no,30,20,25,30,none,0,20,none
,,eduski,#307993,No qualifications,,up,noqual,line,none,https://www.ons.gov.uk/employmentandlabourmarket ,years,no,no,"2000, 01, 05","<p class=""blurb"">In 2017, 8.0% of UK residents had no qualifications, there was no change over the short-term (8.2% in 2016) however there was an improvement over the long-term (9.4% in 2012).  </p> <p class= ""updatedDate"">Updated: 25 April 2018</p>",2,no,30,20,25,30,none,0,20,none
"<h2><a name=""section9""></a>Governance</h2>",<p>Includes democracy and trust in institutions</p>,govern,#497d44,Voter turnout,,up,votert,line,none,https://www.electoralcommission.org.uk/our-work/our-research/electoral-data,months,no,no,"1940, 01, 05","<p class=""blurb"">Voter turnout at the UK general election in 2017 was 68.8%, an improvement on 2015 (66.2%) and 2010 (65.1%) </p> <p class= ""updatedDate"">Updated: 10 October 2017</p>",10,no,30,20,25,30,none,0,100,none
,,govern,#497d44,Trust in government,,up,trustg,line,none,https://ec.europa.eu/COMMFrontOffice/publicopinion/index.cfm,months,no,no,"1940, 01, 05","<p class=""blurb"">In the autumn of 2017, 34% of people aged 15 and over in the UK reported that they &#39;tended to trust&#39' their national government. While there was no overall change over the short-term (35% in 2016) there was an improvement over the long-term (25% in 2012). </p> <p class= ""updatedDate"">Updated: 25 April 2018</p>",2,no,30,20,25,30,none,0,40,none
"<h2><a name=""section10""></a>Environment</h2>","<p>Reflects areas such as climate change, the natural environment and the effects our activities have on the global environment.</p>",enviro,#9e3525,Greenhouse gas emissions,,up,greeng,line,none,https://www.gov.uk/government/statistics/final-uk-greenhouse-gas-emissions-national-statistics-1990-2016,years,no,no,"1940, 01, 05","<p class=""blurb"">The UK&#39;s greenhouse gas emissions were estimated at 467.9 million tonnes carbon dioxide equivalent (MtCO2e) in 2016. This decreased (improved) both for the short-term (492.4 MtCO2e in 2015) and the long-term (549.1 MtCO2e in 2011). </p> <p class= ""updatedDate"">Updated: 25 April 2018</p>",5,no,30,20,25,30,none,0,1000,none
,,enviro,#9e3525,Protected areas,,up,protec,line,none,http://jncc.defra.gov.uk/page-4,years,no,no,"1940, 01, 05","<p class=""blurb"">In the UK in 2017, 27.4 million hectares of land and sea was designated as a nationally or internationally important protected area. This was an improvement on the previous year (23.5 million hectares) and over the long-term (14.5 million hectares in 2012). </p> <p class= ""updatedDate"">Updated: 10 October 2017</p>",5,no,30,20,25,30,none,0,30,none
,,enviro,#9e3525,Renewable energy,,up,energy,line,none,https://www.gov.uk/government/statistics/renewable-sources-of-energy-chapter-6-digest-of-united-kingdom-energy-statistics-dukes,years,no,no,"1940, 01, 05","<p class=""blurb"">8.9% of energy consumption came from renewable sources in 2016. This has improved over both the short term (8.2% in 2015) and the long term (4.3% in 2011).  </p> <p class= ""updatedDate"">Updated: 10 October 2017</p>",5,no,30,20,25,30,none,0,10,none
,,enviro,#9e3525,Household recycling,,no,recycl,line,none,https://www.gov.uk/government/statistical-data-sets/env23-uk-waste-data-and-management,years,no,no,"1940, 01, 05","<p class=""blurb"">The household recycling rate for the UK in 2016 was 44.6%. An assessment of change is made by measuring progress towards the EU target of recycling 50% of waste from households by 2020. Change is only assessed as improved if growth is sufficient to meet this target, therefore there was no overall change over the short-term (44.2% in 2015) and the long-term (42.9% in 2011).</p> <p class= ""updatedDate"">Updated: 25 April 2018</p>",1,no,30,20,25,30,none,0,50,none
