name,group,Region,quadrant,jobdensity,imd
Frome BUA,Medium,South West,Most Deprived Residential,0.486,0.39
Bagshot BUA,Small,South East,Least Deprived Working,0.889,0.82
Ross-on-Wye BUA,Small,West Midlands,Mid Deprived Working,1.081,0.44
Storrington BUA,Small,South East,Least Deprived Residential,0.477,0.84
Alnwick BUA,Small,North East,Most Deprived Working,0.894,0.38
Billinge BUA,Small,North West,Least Deprived Residential,0.239,0.66
Hailsham BUA,Small,South East,Most Deprived Residential,0.527,0.35
Richmond BUA,Small,Yorkshire and The Humber,Least Deprived Mixed,0.631,0.61
Cheddar BUA,Small,South West,Least Deprived Working,0.929,0.62
Oakley (Basingstoke and Deane) BUA,Small,South East,Least Deprived Mixed,0.253,0.98
Mablethorpe BUA,Small,East Midlands,Most Deprived Residential,0.435,0.02
Lutterworth BUA,Small,East Midlands,Least Deprived Working,2.242,0.79
Sawston BUA,Small,East of England,Least Deprived Working,0.918,0.8
Sidmouth BUA,Small,South West,Least Deprived Working,0.790,0.72
Epping BUA,Small,East of England,Least Deprived Working,0.877,0.62
Torpoint BUA,Small,South West,Mid Deprived Residential,0.374,0.4
Hilton (South Derbyshire) BUA,Small,East Midlands,Least Deprived Working,0.303,0.96
Burghfield Common BUA,Small,South East,Least Deprived Residential,0.516,0.86
Buckingham BUA,Small,South East,Least Deprived Mixed,0.612,0.89
Netley BUA,Small,South East,Least Deprived Residential,0.514,0.64
Brackley BUA,Small,East Midlands,Least Deprived Working,0.746,0.94
Ivybridge BUA,Small,South West,Least Deprived Residential,0.371,0.79
Marske-by-the-Sea BUA,Small,North East,Mid Deprived Working,0.287,0.43
Denmead BUA,Small,South East,Least Deprived Residential,0.381,0.84
Paddock Wood BUA,Small,South East,Least Deprived Working,0.959,0.7
Garforth BUA,Small,Yorkshire and The Humber,Least Deprived Mixed,0.596,0.85
Northallerton BUA,Small,Yorkshire and The Humber,Mid Deprived Working,1.343,0.58
Tenterden BUA,Small,South East,Least Deprived Working,0.877,0.67
Market Warsop BUA,Small,East Midlands,Most Deprived Residential,0.241,0.13
Tadcaster BUA,Small,Yorkshire and The Humber,Least Deprived Working,1.223,0.88
Long Ashton BUA,Small,South West,Least Deprived Residential,0.420,0.92
Hayle BUA,Small,South West,Most Deprived Mixed,0.614,0.14
Conisbrough BUA,Small,Yorkshire and The Humber,Most Deprived Residential,0.308,0.04
Nantwich BUA,Small,North West,Least Deprived Mixed,0.645,0.63
Market Drayton BUA,Small,West Midlands,Most Deprived Working,0.749,0.38
Portishead BUA,Medium,South West,Least Deprived Working,0.827,0.9
Crofton BUA,Small,Yorkshire and The Humber,Least Deprived Residential,0.166,0.68
Wotton-under-Edge BUA,Small,South West,Least Deprived Residential,0.387,0.8
Marple BUA,Small,North West,Least Deprived Mixed,0.628,0.77
Southwell BUA,Small,East Midlands,Least Deprived Working,0.697,0.93
Dawlish BUA,Small,South West,Most Deprived Residential,0.471,0.35
Dronfield BUA,Medium,East Midlands,Least Deprived Mixed,0.570,0.86
Wootton Bassett BUA,Small,South West,Least Deprived Mixed,0.570,0.66
Hawkinge BUA,Small,South East,Mid Deprived Residential,0.157,0.51
Peasedown St John BUA,Small,South West,Least Deprived Residential,0.313,0.65
New Waltham BUA,Small,Yorkshire and The Humber,Least Deprived Residential,0.196,0.84
Dinnington (Rotherham) BUA,Small,Yorkshire and The Humber,Most Deprived Mixed,0.611,0.29
Stansted Mountfitchet BUA,Small,East of England,Least Deprived Working,0.875,0.87
Balsall Common BUA,Small,West Midlands,Least Deprived Residential,0.422,0.98
Bayston Hill BUA,Small,West Midlands,Least Deprived Residential,0.331,0.89
Faringdon BUA,Small,South East,Mid Deprived Residential,0.485,0.45
Weaverham BUA,Small,North West,Most Deprived Residential,0.314,0.32
Ilminster BUA,Small,South West,Mid Deprived Mixed,0.602,0.52
Ferryhill BUA,Small,North East,Most Deprived Working,0.305,0.03
Raunds BUA,Small,East Midlands,Mid Deprived Residential,0.427,0.54
Halstead BUA,Small,East of England,Mid Deprived Mixed,0.559,0.44
Newport (Isle of Wight) BUA,Medium,South East,Most Deprived Working,1.235,0.22
Ponteland BUA,Small,North East,Least Deprived Residential,0.545,0.97
Measham BUA,Small,East Midlands,Mid Deprived Mixed,0.592,0.42
Oakham BUA,Small,East Midlands,Least Deprived Working,0.948,0.81
Brotton BUA,Small,North East,Most Deprived Residential,0.389,0.13
Okehampton BUA,Small,South West,Most Deprived Working,0.698,0.32
Great Wakering BUA,Small,East of England,Mid Deprived Residential,0.194,0.57
Clitheroe BUA,Small,North West,Least Deprived Working,0.810,0.65
Helsby BUA,Small,North West,Least Deprived Mixed,0.603,0.9
Petersfield BUA,Small,South East,Least Deprived Working,0.998,0.81
Louth BUA,Small,East Midlands,Most Deprived Working,0.813,0.2
Ashington (Northumberland) BUA,Medium,North East,Least Deprived Mixed,0.561,0.08
Newmarket BUA,Medium,East of England,Least Deprived Working,0.899,0.63
Culcheth BUA,Small,North West,Least Deprived Residential,0.371,0.82
Heswall BUA,Medium,North West,Least Deprived Residential,0.542,0.79
Sheerness BUA,Small,South East,Most Deprived Mixed,0.579,0
Driffield BUA,Small,Yorkshire and The Humber,Mid Deprived Residential,0.511,0.58
Retford BUA,Medium,East Midlands,Most Deprived Residential,0.541,0.31
Radcliffe on Trent BUA,Small,East Midlands,Least Deprived Residential,0.379,0.86
Ruskington BUA,Small,East Midlands,Mid Deprived Residential,0.354,0.48
Wigton BUA,Small,North West,Most Deprived Working,0.837,0.37
Leominster BUA,Small,West Midlands,Most Deprived Working,0.760,0.14
Bodmin BUA,Small,South West,Most Deprived Working,0.910,0.13
Caister-on-Sea BUA,Small,East of England,Most Deprived Working,0.307,0.38
Devizes BUA,Small,South West,Mid Deprived Working,0.969,0.47
Cotgrave BUA,Small,East Midlands,Mid Deprived Working,0.297,0.51
Wingate BUA,Small,North East,Most Deprived Residential,0.190,0.15
Elland BUA,Small,Yorkshire and The Humber,Most Deprived Working,1.237,0.35
Bishop's Stortford BUA,Medium,East of England,Least Deprived Mixed,0.660,0.91
Kenilworth BUA,Medium,West Midlands,Least Deprived Working,0.857,0.92
Hungerford BUA,Small,South East,Least Deprived Working,1.011,0.71
Countesthorpe BUA,Small,East Midlands,Least Deprived Residential,0.236,0.88
Easington (County Durham) BUA,Small,North East,Least Deprived Residential,0.370,0.09
New Romney BUA,Small,South East,Most Deprived Mixed,0.625,0.37
Highworth BUA,Small,South West,Least Deprived Residential,0.492,0.68
Washingborough BUA,Small,East Midlands,Least Deprived Residential,0.236,0.88
South Ockendon BUA,Small,East of England,Most Deprived Residential,0.354,0.1
Chipping Norton BUA,Small,South East,Least Deprived Mixed,0.672,0.69
West Chiltington Common BUA,Small,South East,Least Deprived Mixed,0.572,0.86
New Rossington BUA,Small,Yorkshire and The Humber,Most Deprived Mixed,0.250,0.16
Brightlingsea BUA,Small,East of England,Mid Deprived Residential,0.414,0.5
Stanford-le-Hope BUA,Medium,East of England,Mid Deprived Residential,0.483,0.54
Yeovil BUA,Medium,South West,Mid Deprived Working,1.019,0.44
North Baddesley BUA,Small,South East,Least Deprived Working,0.286,0.72
Amesbury BUA,Small,South West,Least Deprived Mixed,0.655,0.66
Crook BUA,Small,North East,Mid Deprived Residential,0.423,0.06
Shipston-on-Stour BUA,Small,West Midlands,Least Deprived Residential,0.553,0.71
Maldon BUA,Medium,East of England,Mid Deprived Working,0.776,0.43
Sudbury BUA,Medium,East of England,Most Deprived Working,0.694,0.32
Brandon (County Durham) BUA,Small,North East,Most Deprived Working,0.814,0.23
Ormskirk BUA,Medium,North West,Least Deprived Mixed,0.589,0.78
Blyth (Northumberland) BUA,Medium,North East,Least Deprived Residential,0.430,0.08
Holbeach BUA,Small,East Midlands,Most Deprived Residential,0.473,0.38
East Horsley BUA,Small,South East,Least Deprived Residential,0.491,0.99
Burwell BUA,Small,East of England,Least Deprived Residential,0.359,0.86
Darlington BUA,Large,North East,Most Deprived Working,0.856,0.16
Axminster BUA,Small,South West,Mid Deprived Mixed,0.650,0.49
Looe BUA,Small,South West,Most Deprived Mixed,0.653,0.25
Southwater BUA,Small,South East,Least Deprived Residential,0.373,0.97
Cranfield BUA,Small,East of England,Least Deprived Working,1.098,0.96
Norton Canes BUA,Small,West Midlands,Most Deprived Working,1.386,0.27
Newquay BUA,Medium,South West,Most Deprived Mixed,0.578,0.22
Hemsworth BUA,Small,Yorkshire and The Humber,Most Deprived Residential,0.366,0.12
Lightwater BUA,Small,South East,Least Deprived Residential,0.423,0.99
Bewdley BUA,Small,West Midlands,Least Deprived Residential,0.367,0.64
Sawtry BUA,Small,East of England,Least Deprived Residential,0.493,0.75
Millom BUA,Small,North West,Most Deprived Residential,0.435,0.21
Thirsk BUA,Small,Yorkshire and The Humber,Mid Deprived Residential,0.498,0.59
Huntingdon BUA,Medium,East of England,Mid Deprived Working,1.125,0.43
Shirebrook BUA,Small,East Midlands,Least Deprived Mixed,0.626,0.08
Sherborne BUA,Small,South West,Mid Deprived Working,1.015,0.58
Silsden BUA,Small,Yorkshire and The Humber,Least Deprived Residential,0.415,0.8
Willington (County Durham) BUA,Small,North East,Most Deprived Mixed,0.260,0.01
South Molton BUA,Small,South West,Most Deprived Working,1.102,0.34
Honiton BUA,Small,South West,Mid Deprived Working,0.708,0.48
Chippenham (Wiltshire) BUA,Medium,South West,Least Deprived Working,0.769,0.62
Gillingham (North Dorset) BUA,Small,South West,Least Deprived Mixed,0.603,0.75
Redbourn BUA,Small,East of England,Least Deprived Residential,0.460,0.78
West Mersea BUA,Small,East of England,Least Deprived Residential,0.418,0.69
Tring BUA,Small,East of England,Least Deprived Mixed,0.584,0.89
Guisborough BUA,Small,North East,Most Deprived Residential,0.529,0.39
Olney BUA,Small,South East,Least Deprived Working,0.695,0.91
New Alresford BUA,Small,South East,Least Deprived Mixed,0.670,0.93
Marchwood BUA,Small,South East,Least Deprived Residential,0.528,0.89
Rugeley BUA,Medium,West Midlands,Most Deprived Mixed,0.640,0.36
Saffron Walden BUA,Small,East of England,Least Deprived Working,0.742,0.8
Knutsford BUA,Small,North West,Least Deprived Working,1.463,0.66
Shepley BUA,Small,Yorkshire and The Humber,Least Deprived Residential,0.314,0.96
Biggleswade BUA,Small,East of England,Mid Deprived Residential,0.534,0.57
Ripon BUA,Small,Yorkshire and The Humber,Least Deprived Mixed,0.675,0.73
Selsey BUA,Small,South East,Mid Deprived Residential,0.554,0.42
Ilfracombe BUA,Small,South West,Most Deprived Mixed,0.579,0.13
Saltburn-by-the-Sea BUA,Small,North East,Most Deprived Residential,0.439,0.19
Ventnor BUA,Small,South East,Most Deprived Working,0.747,0.14
Newton Aycliffe BUA,Medium,North East,Most Deprived Working,1.001,0.15
Newbiggin-by-the-Sea BUA,Small,North East,Most Deprived Working,0.305,0.02
Filey BUA,Small,Yorkshire and The Humber,Most Deprived Residential,0.476,0.19
Hoo St Werburgh BUA,Small,South East,Mid Deprived Residential,0.209,0.41
Arlesey BUA,Small,East of England,Least Deprived Working,0.292,0.64
South Woodham Ferrers BUA,Small,East of England,Least Deprived Residential,0.501,0.85
Earls Barton BUA,Small,East Midlands,Least Deprived Residential,0.527,0.78
Lichfield BUA,Medium,West Midlands,Mid Deprived Working,0.879,0.53
Calverton BUA,Small,East Midlands,Mid Deprived Residential,0.390,0.53
Blackfield BUA,Small,South East,Mid Deprived Mixed,0.584,0.44
Yaxley BUA,Small,East of England,Least Deprived Residential,0.485,0.62
Lymm BUA,Small,North West,Least Deprived Mixed,0.642,0.94
Dereham BUA,Medium,East of England,Most Deprived Mixed,0.675,0.37
Shrewsbury BUA,Medium,West Midlands,Mid Deprived Working,1.066,0.46
Witley BUA,Small,South East,Least Deprived Residential,0.446,0.76
Newport (Telford and Wrekin) BUA,Small,West Midlands,Least Deprived Residential,0.430,0.68
Beaconsfield BUA,Small,South East,Least Deprived Working,1.379,0.97
Croesowallt BUA,Small,West Midlands,Most Deprived Working,0.731,0.28
Chapel-en-le-Frith BUA,Small,East Midlands,Least Deprived Mixed,0.585,0.75
Longridge BUA,Small,North West,Least Deprived Mixed,0.634,0.88
Verwood BUA,Small,South West,Least Deprived Residential,0.423,0.9
Whitchurch (Shropshire) BUA,Small,West Midlands,Most Deprived Mixed,0.610,0.33
Tidworth BUA,Small,South West,Least Deprived Residential,0.318,0.94
Bracebridge Heath BUA,Small,East Midlands,Least Deprived Residential,0.389,0.83
Barton-upon-Humber BUA,Small,Yorkshire and The Humber,Most Deprived Mixed,0.642,0.22
Aylsham BUA,Small,East of England,Least Deprived Mixed,0.633,0.69
Poringland BUA,Small,East of England,Least Deprived Mixed,0.255,0.87
Manningtree BUA,Small,East of England,Least Deprived Mixed,0.624,0.69
Keynsham BUA,Small,South West,Mid Deprived Mixed,0.670,0.58
Sleaford BUA,Small,East Midlands,Mid Deprived Working,0.720,0.52
Barrow-in-Furness BUA,Medium,North West,Most Deprived Working,0.998,0.11
Wellesbourne BUA,Small,West Midlands,Least Deprived Mixed,0.627,0.82
Clowne BUA,Small,East Midlands,Most Deprived Residential,0.450,0.3
Chatteris BUA,Small,East of England,Mid Deprived Residential,0.464,0.4
Brixham BUA,Small,South West,Most Deprived Mixed,0.571,0.18
Murton (County Durham) BUA,Small,North East,Most Deprived Residential,0.328,0.12
Tiverton BUA,Small,South West,Most Deprived Mixed,0.682,0.35
Hurstpierpoint BUA,Small,South East,Least Deprived Residential,0.361,0.96
South Hayling BUA,Small,South East,Mid Deprived Residential,0.446,0.51
Egremont BUA,Small,North West,Most Deprived Residential,0.404,0.24
Swaffham BUA,Small,East of England,Most Deprived Working,0.798,0.21
Ledbury BUA,Small,West Midlands,Least Deprived Working,0.693,0.6
Skipton BUA,Small,Yorkshire and The Humber,Mid Deprived Working,1.721,0.46
Bradford on Avon BUA,Small,South West,Least Deprived Mixed,0.564,0.66
Oundle BUA,Small,East Midlands,Least Deprived Working,0.869,0.93
Sherburn in Elmet BUA,Small,Yorkshire and The Humber,Least Deprived Working,1.565,0.76
Ludlow BUA,Small,West Midlands,Most Deprived Working,0.742,0.35
Bingham BUA,Small,East Midlands,Least Deprived Residential,0.427,0.76
Lewes BUA,Small,South East,Mid Deprived Working,1.121,0.53
Benson BUA,Small,South East,Least Deprived Residential,0.389,0.99
Liphook BUA,Small,South East,Least Deprived Working,0.696,0.67
Haxby BUA,Small,Yorkshire and The Humber,Least Deprived Mixed,0.251,0.97
Shaftesbury BUA,Small,South West,Mid Deprived Working,0.757,0.56
Bungay BUA,Small,East of England,Most Deprived Working,0.734,0.37
Calne BUA,Small,South West,Mid Deprived Residential,0.447,0.47
King's Hill BUA,Small,South East,Least Deprived Working,1.634,0.95
Cobham (Elmbridge) BUA,Small,South East,Least Deprived Working,0.788,0.95
Beccles BUA,Small,East of England,Most Deprived Working,0.719,0.36
Tiptree BUA,Small,East of England,Least Deprived Mixed,0.573,0.72
Peacehaven BUA,Small,South East,Most Deprived Residential,0.247,0.33
Tetbury BUA,Small,South West,Least Deprived Mixed,0.654,0.67
Leighton Buzzard BUA,Medium,East of England,Least Deprived Mixed,0.562,0.64
Broughton Astley BUA,Small,East Midlands,Least Deprived Residential,0.360,0.95
Whittlesey BUA,Small,East of England,Most Deprived Residential,0.401,0.36
Brandon (Forest Heath) BUA,Small,East of England,Most Deprived Residential,0.459,0.39
Cottenham BUA,Small,East of England,Least Deprived Residential,0.513,0.63
Bourne BUA,Small,East Midlands,Least Deprived Working,0.731,0.67
Staplehurst BUA,Small,South East,Least Deprived Residential,0.404,0.8
Cheadle BUA,Small,West Midlands,Mid Deprived Residential,0.398,0.53
Brixworth BUA,Small,East Midlands,Least Deprived Mixed,0.658,0.84
Chipping Ongar BUA,Small,East of England,Mid Deprived Mixed,0.687,0.51
Fleetwood BUA,Medium,North West,Mid Deprived Residential,0.546,0.05
Shildon BUA,Small,North East,Most Deprived Residential,0.470,0.01
Hemsby BUA,Small,East of England,Most Deprived Residential,0.494,0.33
Ashby-de-la-Zouch BUA,Small,East Midlands,Least Deprived Working,1.442,0.64
Wadebridge BUA,Small,South West,Mid Deprived Mixed,0.617,0.44
Harpenden BUA,Medium,East of England,Least Deprived Working,1.414,0.98
Halesworth BUA,Small,East of England,Mid Deprived Working,1.131,0.46
Attleborough BUA,Small,East of England,Mid Deprived Mixed,0.635,0.59
Fleet BUA,Medium,South East,Least Deprived Mixed,0.578,0.98
Ramsey (Huntingdonshire) BUA,Small,East of England,Mid Deprived Residential,0.451,0.43
Wantage BUA,Small,South East,Least Deprived Residential,0.473,0.8
East Leake BUA,Small,East Midlands,Least Deprived Mixed,0.610,0.82
Askern BUA,Small,Yorkshire and The Humber,Most Deprived Residential,0.237,0.04
Long Sutton (South Holland) BUA,Small,East Midlands,Mid Deprived Mixed,0.688,0.45
Battle BUA,Small,South East,Mid Deprived Working,0.803,0.56
New Ollerton BUA,Small,East Midlands,Most Deprived Mixed,0.647,0.17
Uttoxeter BUA,Small,West Midlands,Least Deprived Working,0.812,0.64
Bircotes BUA,Small,East Midlands,Most Deprived Residential,0.244,0.17
North Walsham BUA,Small,East of England,Most Deprived Mixed,0.629,0.3
Seaton (East Devon) BUA,Small,South West,Mid Deprived Mixed,0.619,0.59
Stotfold BUA,Small,East of England,Least Deprived Residential,0.247,0.84
Shepshed BUA,Small,East Midlands,Least Deprived Mixed,0.573,0.71
Clacton-on-Sea BUA,Medium,East of England,Most Deprived Mixed,0.665,0.04
Whitby BUA,Small,Yorkshire and The Humber,Most Deprived Working,0.777,0.26
Ashbourne BUA,Small,East Midlands,Least Deprived Working,1.074,0.68
Cheltenham BUA,Large,South West,Mid Deprived Working,0.983,0.54
Congleton BUA,Medium,North West,Mid Deprived Mixed,0.613,0.56
Rishton BUA,Small,North West,Most Deprived Residential,0.484,0.23
Todmorden BUA,Small,Yorkshire and The Humber,Most Deprived Residential,0.458,0.23
Stocksbridge BUA,Small,Yorkshire and The Humber,Mid Deprived Residential,0.401,0.47
Shifnal BUA,Small,West Midlands,Mid Deprived Residential,0.332,0.56
Twyford (Wokingham) BUA,Small,South East,Least Deprived Working,0.735,0.98
Spennymoor BUA,Small,North East,Least Deprived Mixed,0.564,0.07
Stubbington BUA,Medium,South East,Least Deprived Residential,0.434,0.91
Alton (East Hampshire) BUA,Small,South East,Least Deprived Working,0.868,0.73
Radlett BUA,Small,East of England,Least Deprived Mixed,0.583,0.95
Withernsea BUA,Small,Yorkshire and The Humber,Most Deprived Residential,0.460,0.01
Neston BUA,Small,North West,Least Deprived Residential,0.438,0.61
Middlewich BUA,Small,North West,Least Deprived Mixed,0.669,0.68
Edenbridge BUA,Small,South East,Mid Deprived Mixed,0.676,0.58
Maryport BUA,Small,North West,Least Deprived Residential,0.502,0.09
Wymondham (South Norfolk) BUA,Small,East of England,Least Deprived Working,0.780,0.67
Creswell BUA,Small,East Midlands,Least Deprived Residential,0.184,0.07
Saltash BUA,Small,South West,Mid Deprived Residential,0.385,0.52
Potters Bar BUA,Medium,East of England,Least Deprived Working,0.890,0.72
Pembury BUA,Small,South East,Least Deprived Working,1.285,0.84
Clevedon BUA,Medium,South West,Least Deprived Working,0.765,0.72
Anstey BUA,Small,East Midlands,Least Deprived Working,0.304,0.62
Great Torrington BUA,Small,South West,Most Deprived Residential,0.528,0.33
Wroughton BUA,Small,South West,Mid Deprived Residential,0.515,0.58
Tavistock BUA,Small,South West,Mid Deprived Mixed,0.657,0.53
Codsall BUA,Small,West Midlands,Least Deprived Residential,0.365,0.61
Cockermouth BUA,Small,North West,Least Deprived Working,0.795,0.65
Blandford Forum BUA,Small,South West,Mid Deprived Working,0.710,0.54
Sittingbourne BUA,Medium,South East,Most Deprived Mixed,0.672,0.27
Buxton (High Peak) BUA,Medium,East Midlands,Mid Deprived Mixed,0.654,0.48
Newhaven BUA,Small,South East,Most Deprived Mixed,0.662,0.22
Hadleigh BUA,Small,East of England,Least Deprived Working,0.884,0.67
Thetford BUA,Medium,East of England,Most Deprived Mixed,0.657,0.28
Billingshurst BUA,Small,South East,Least Deprived Residential,0.476,0.77
Annfield Plain BUA,Small,North East,Mid Deprived Residential,0.533,0.05
Emsworth BUA,Small,South East,Least Deprived Residential,0.408,0.71
Bognor Regis BUA,Medium,South East,Mid Deprived Mixed,0.640,0.43
Tarleton BUA,Small,North West,Least Deprived Residential,0.406,0.87
Westbury (Wiltshire) BUA,Small,South West,Mid Deprived Residential,0.423,0.51
Strensall BUA,Small,Yorkshire and The Humber,Least Deprived Mixed,0.248,0.94
Liss BUA,Small,South East,Least Deprived Residential,0.436,0.76
Towcester BUA,Small,East Midlands,Least Deprived Mixed,0.558,0.85
Totnes BUA,Small,South West,Most Deprived Working,1.066,0.2
Hinckley BUA,Medium,East Midlands,Least Deprived Working,0.843,0.63
Yarm BUA,Small,North East,Least Deprived Residential,0.546,0.84
Princes Risborough BUA,Small,South East,Least Deprived Working,0.710,0.85
Seaham BUA,Medium,North East,Most Deprived Residential,0.500,0.12
Hexham BUA,Small,North East,Least Deprived Working,0.919,0.62
Scunthorpe BUA,Large,Yorkshire and The Humber,Most Deprived Working,0.871,0.15
Belper BUA,Medium,East Midlands,Least Deprived Residential,0.465,0.72
Littleport BUA,Small,East of England,Mid Deprived Working,0.276,0.44
Freckleton BUA,Small,North West,Least Deprived Working,1.445,0.68
Berwick-upon-Tweed BUA,Small,North East,Most Deprived Working,0.843,0.3
Stratford-upon-Avon BUA,Medium,West Midlands,Least Deprived Working,1.099,0.77
Wombourne BUA,Small,West Midlands,Least Deprived Residential,0.440,0.67
Burgess Hill BUA,Medium,South East,Least Deprived Working,0.757,0.85
Spalding BUA,Medium,East Midlands,Mid Deprived Working,0.934,0.55
Ampthill BUA,Medium,East of England,Least Deprived Residential,0.535,0.89
Barnard Castle BUA,Small,North East,Mid Deprived Working,1.167,0.53
Matlock BUA,Small,East Midlands,Least Deprived Working,0.889,0.6
Aveley BUA,Small,East of England,Most Deprived Residential,0.447,0.24
Morpeth BUA,Small,North East,Least Deprived Working,0.903,0.68
Fakenham BUA,Small,East of England,Mid Deprived Working,1.086,0.45
Lydney BUA,Small,South West,Most Deprived Mixed,0.620,0.25
Cleator Moor BUA,Small,North West,Most Deprived Residential,0.309,0.14
Brentwood BUA,Medium,East of England,Least Deprived Working,0.778,0.74
Warrington BUA,Large,North West,Most Deprived Working,1.176,0.39
Coleshill (North Warwickshire) BUA,Small,West Midlands,Least Deprived Working,2.377,0.72
Winsford (Cheshire West and Chester) BUA,Medium,North West,Most Deprived Working,0.746,0.11
Kirkby BUA,Medium,North West,Most Deprived Working,0.963,0
Alcester BUA,Small,West Midlands,Least Deprived Working,1.531,0.61
Desborough BUA,Small,East Midlands,Least Deprived Residential,0.333,0.6
Biddulph BUA,Small,West Midlands,Mid Deprived Working,0.294,0.48
