topic,unit_pre,unit_suf,topic_text,topic_code,color,measure,change,change_val,measure_code,graphic,url,link_to,period,two_series,markers,data_start,start_label,end_label,text,updated,tickNo,centreline,margin_t,margin_r,margin_b,margin_l,svg,unit,ymin,ymax,rolling
,Change since last year,%,,health,#6E2585,Health satisfaction,up,,helsat,line,none,https://www.understandingsociety.ac.uk,years,no,no,"2000, 01, 02",2002,2016/17,"In 2016 to 2017, around half (49.9%) of people aged 16 and over in the UK were mostly or completely satisfied with their health, no overall change over the short-term (51.0% in 2015 to 2016) and an improvement over the long-term (45.3% in 2011 to 2012).",15-May-19,4,no,17,20,17,30,none,,20,70,none
,Change since last year,%,,health,#6E2585,Depression or Anxiety,no,,psycho,line,none,https://www.understandingsociety.ac.uk,years,no,no,"2000, 01, 03",2002,2016/17,"In 2016 to 2017, 19.1% of people in the UK aged 16 and over showed some evidence of anxiety or depression. While over the short-term this measure had deteriorated (17.8% in 2015 to 2016), there was no overall change over the long-term (18.8% in 2011 to 2012).",15-May-19,4,no,17,20,17,30,none,,15,25,none
"<h2><a name=""section4""></a>What we do</h2>",Change since last year,%,<p>Includes work and leisure activities and the balance between them.</p>,whwedo,#008080,Unemployment rate,up,,unempr,line,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/unemployment/timeseries/mgsx/lms/data,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/unemployment/timeseries/mgsx/lms,months,no,no,"2005, 05, 01",JM 2008,JA 2019,There was an improvement in the unemployment rate in the UK over the long-term between the three months ending August 2019 (3.9%) and the three months ending August 2014 (6.0%). There was no change over the one year period (4.0% in the three months ending August 2018).,23-Oct-19,4,no,17,20,17,30,none,,0,10,none
,Change from financial year ending 2016 to 2018,%,,whwedo,#008080,Job satisfaction,up,,jobsat,line,none,https://www.understandingsociety.ac.uk,years,no,no,"2000, 01, 05",2002,2016/17,"Over half of people aged 16 and over in the UK (56.0%) were mostly or completely satisfied with their job in 2016 to 2017. While over the short-term this measure showed no overall change (55.5% in 2015 to 2016), there was an improvement over the long-term (54.1% in 2011 to 2012).",15-May-19,5,no,17,20,17,30,none,,0,60,none
,Change since last quarter,%,,whwedo,#008080,Satisfaction with leisure time,up,,leisat,line,none,https://www.understandingsociety.ac.uk,years,no,no,"2000, 01, 05",2002,2016/17,"The proportion of people aged 16 and over in the UK who were mostly or completely satisfied with their amount of leisure time was 44.8% in 2016 to 2017. While over the short-term this measure showed no overall change (44.6% in 2015 to 2016), there was an improvement over the long-term (40.4% in 2011 to 2012).",15-May-19,5,no,17,20,17,30,none,,0,50,none
,Change from 2015 to 2016,%,,whwedo,#008080,Volunteering,no,,volunt,line,none,https://www.understandingsociety.ac.uk,other,no,no,"2000, 01, 05",2010/11,2016/17,17.1% of people in the UK aged 16 and over reported that they had participated in some kind of volunteering more than once in the last year in 2016 to 2017. This was a deteriation over the short-term (19.1% in 2014 to 2015) and no overall change over the long-term (16.5% in 2010 to 2011).,15-May-19,4,no,17,20,17,30,none,,10,20,none
,Change from 2015 to 2016,%,,whwedo,#008080,Art and culture participation,down,,artcul,line,none,https://www.gov.uk/government/collections/taking-part,years,no,no,"2000, 01, 05",2008/09,2018/19,"In the year ending March 2019, just over 8 in 10 people in England (80.8%) had participated in an arts or cultural activity at least three times in the past year. This was unchanged over the short-term (82.3% in the year ending March 2018) but deteriorated over the long-term (83.4% in the year ending March 2014).",23-Oct-19,4,no,17,20,17,30,none,,80,85,none
,Change in aggregate balance from last quarter,,,whwedo,#008080,Sports participation,null,,sportp,vbar,vbar,https://www.sportengland.org/research/active-lives-survey,other,no,no,"2000, 01, 05",2015/16,2017/18,Over 6 in 10 adults aged 16 and over in England took part in at least 150 minutes of sport and physical activities a week between November 2017 and November 2018 (62.6%). There was no overall change since the previous year (61.8%). Due to this measure originating from a new survey the long-term change cannot be assessed.,15-May-19,4,no,17,20,17,30,none,,50,70,none
"<h2><a name=""section5""></a>Where we live</h2>",Change since last quarter,p.p,"<p>Reflects an individual&#39;s dwelling, their local environment and the type of community in which they live. Measures include having a safe, clean and pleasant environment, access to facilities and being part of a cohesive community. </p>",whlive,#0F8243,Crime,up,,crimer,line,none,https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/bulletins/crimeinenglandandwales/yearendingmarch2019,years,no,no,"2000, 01, 05",2010/11,2018/19,"In the year ending March 2019, there were an estimated 58 personal crimes per 1,000 adults (aged 16 and over) in England and Wales. There was no overall change over the short-term (57 crimes per 1,000 adults in the year ending March 2018) and an improvement over the long-term (72 crimes per 1,000 adults in the year ending March 2014).",23-Oct-19,4,no,17,20,17,30,none,,50,90,none
,Change since last quarter,p.p,,whlive,#0F8243,Feeling safe,up,,safedk,line,none,https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/bulletins/crimeinenglandandwales/yearendingmarch2019,years,yes,no,"2000, 01, 05",2010/11,2018/19,"In the year ending March 2019, 88.4% of men and 68.8% of women aged 16 and over in England and Wales reported that they felt fairly or very safe walking alone after dark. An improvement over the long term for men (84.7%) and women (56.7%) in the year ending March 2013. Over the short-term there was no change for men and an improvement for women (87.2% and 63.7% respectively in the year ending March 2018).",23-Oct-19,4,no,17,20,17,30,none,,0,100,none
,Change since last year,%,,whlive,#0F8243,Accessed natural environment,up,,natenv,line,none,https://www.gov.uk/government/collections/monitor-of-engagement-with-the-natural-environment-survey-purpose-and-results,years,no,no,"2000, 01, 05",2009/10,2018/19,Over 6 in 10 people in the UK (64.7%) visited the natural environment at least once a week in the 12 months prior to interview in the year ending March 2019. There was no overall change from the previous year (62.4%) and an improvement over the long-term (57.6% in the year ending March 2014).,23-Oct-19,4,no,17,20,17,30,none,,50,70,none
,Change since last year,%,,whlive,#0F8243,Belonging to neighbourhood,up,,neibel,line,none,https://www.understandingsociety.ac.uk,years,no,no,"2000, 01, 05",1998,2014/15,"The proportion of people in the UK aged 16 and over who agreed or agreed strongly they felt they belonged to their neighbourhood in 2014 to 2015 was 68.8%. While change was not assessed over the short-term period, there was an improvement over the long-term (66.0% in 2009 to 2010).",06-Apr-17,4,no,17,20,17,30,none,,0,80,none
,Change since last year,%,,whlive,#0F8243,Access to key services,null,,mintra,vbar,vbar,https://www.gov.uk/government/statistical-data-sets/journey-times-to-key-services-jts01,other,no,no,"2000, 01, 05",2014,2016,"The average minimum travel time by public transport or walking to an average of 8 main services was 17.7 minutes in England in 2016. As there is only three data points at present, the change has not been assessed.",26-Sep-18,4,no,17,20,17,30,none,,0,20,none
,Change from financial year ending 2016 to 2019,%,,whlive,#0F8243,Satisfaction with accommodation ,no,,accoma,line,none,https://www.gov.uk/government/statistical-data-sets/attitudes-and-satisfaction,years,no,no,"2000, 01, 05",2008/09,2017/18,Around 9 in 10 people aged 16 and over in England (90.1%) were satisfied with their accommodation in the year ending March 2018. This has remained unchanged over both the short-term and the long-term (90.3% in the year ending March 2017 and 90.6% in the year ending March 2013).,23-Oct-19,4,no,17,20,17,30,none,,86,92,none
"<h2><a name=""section6""></a>Personal Finance</h2>",Change since last quarter,%,"<p>Includes household income and wealth, its distribution and stability.</p>",perfin,#36ADD9,Low income households,no,,hhldin,line,none,https://www.gov.uk/government/collections/households-below-average-income-hbai--2,years,no,no,"2000, 01, 05",1998/99,2017/18,In the year ending March 2018 the proportion of individuals living in households in the UK with less than 60% of median income before housing costs was 17%. There was no overall change in both the short-term (16% in the year ending March 2017) and the long-term (15% in the year ending March 2013).,15-May-19,4,no,17,20,17,30,none,,0,20,none
,Change from 2015 to 2016,%,,perfin,#36ADD9,Household wealth,up,,hhldwe,line,none,https://www.ons.gov.uk/peoplepopulationandcommunity/personalandhouseholdfinances/incomeandwealth/bulletins/wealthingreatbritainwave5/2014to2016,years,no,no,"2000, 01, 05",Jul 08  -Jun 10,Jul 14 - Jun 16,"In July 2014 to June 2016 the median wealth per household, including pension wealth was £259,400. While change was not assessed over the short-term there was an improvement over the long-term (£216,500 in July 2010 to June 2012).",06-Apr-17,4,no,17,35,17,45,none,,150000,320000,none
,Change from 2015 to 2016,%,,perfin,#36ADD9,Household income,up,,realin,line,none,https://www.ons.gov.uk/peoplepopulationandcommunity/personalandhouseholdfinances/incomeandwealth/datasets/householddisposableincomeandinequality,years,no,no,"2000, 01, 05",1999/2000,2017/18,"Real median household income was £28,418 in the UK in the year ending March 2018. There was no overall change over the short-term (£28,437 in the year ending March 2017) and and improvement over the long-term (£25,488 in the year ending March 2013).",15-May-19,4,no,17,20,17,45,none,,10000,30000,none
,Change in aggregate balance from last quarter,,,perfin,#36ADD9,Satisfied with household income,up,,satinc,line,none,https://www.understandingsociety.ac.uk,years,no,no,"2000, 01, 05",2002,2017,"In 2016 to 2017, 45.7% of people in the UK aged 16 and over were mostly or completely satisfied with the income of their household. There was no change over the short-term (45.6% in 2015 to 2016) and and improvement over the long-term (34.0% in 2011 to 2012).",15-May-19,4,no,17,20,17,30,none,,0,50,none
,Change since last quarter,p.p,,perfin,#36ADD9,Difficulty managing financially,up,,financ,line,none,https://www.understandingsociety.ac.uk,years,no,no,"2000, 01, 05",2001,2016/17,"In 2016 to 2017, 6.6% of people in the UK aged 16 and over reported finding it quite or very difficult to get by financially. While there was no overall change over the short-term (5.9% in 2015 to 2016), there was an improvement over the long-term (10.9% in 2011 to 2012).",15-May-19,4,no,17,20,17,30,none,,0,15,none
"<h2><a name=""section6""></a>Economy</h2>",Change since last quarter,p.p,<p>Provides an important contextual domain for national well-being and includes measures of inflation and public sector debt.</p>,econom,#FF9933,Disposable income,up,,dispin,line,https://www.ons.gov.uk/economy/grossdomesticproductgdp/timeseries/mwb7/ukea/data,https://www.ons.gov.uk/economy/grossdomesticproductgdp/timeseries/mwb7/ukea,years,no,no,"2002, 01, 01",2002,2018,"The real net national disposable income per head in the UK was £26,065 in 2018, an improvement from the previous year (£25,979) and over the 5 year period (£23,765 in 2013).",15-May-19,2,no,17,20,17,40,none,,21000,26000,none
,Change since last year,%,,econom,#FF9933,Public sector debt,null,,netdeb,line,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/hf6x/pusf/data,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/hf6x/pusf,years,no,no,"2000, 01, 05",1993,2018,"In 2018, public sector net debt in the UK stood at 84.2% of GDP, compared with 84.5% in 2017. This change has not been assessed.",15-May-19,4,no,17,20,17,30,none,,0,100,none
,Change since last year,%,,econom,#FF9933,Inflation,null,,inflat,line,https://www.ons.gov.uk/economy/inflationandpriceindices/timeseries/l55o/mm23/data,https://www.ons.gov.uk/economy/inflationandpriceindices/timeseries/l55o/mm23,years,no,no,"2002, 01, 05",2002,2018,"In 2018 the rate of inflation in the UK was 2.3%, compared to 2.6% a year earlier. This change has not been assessed.",15-May-19,4,no,17,20,17,30,none,,0,4,none
"<h2><a name=""section8""></a>Education and Skills</h2>",Change since last year,%,<p>Includes aspects of education and the stock of human capital in the labour market with some more information about levels of educational achievement and skills.</p>,eduski,#00A7A3,Human capital,up,,humcap,line,none,https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/articles/humancapitalestimates/2015,years,no,no,"2000, 01, 05",2004,2017,"In 2017, the value of full human capital amounted to £20.4 trillion. This was an deterioration from the previous year's data (£20.6 trillion) and an improvement over the long-term (£19.0 trillion in 2012).",15-May-19,4,no,17,20,17,30,none,,10,25,none
,Change from financial year ending 2016 to 2020,%,,eduski,#00A7A3,NEETs,up,,tneets,line,none,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/unemployment/datasets/youngpeoplenotineducationemploymentortrainingneettable1,quarters,no,no,"2000, 01, 05",Q4 2012,Q2 2019,The percentage of all young people aged 16 to 24 in the UK who were NEET was 11.5% in April to June 2019. While there was no overall change since the previous year (11.1%) there was an improvement over the long-term (13.2% in April to June 2014).,23-Oct-19,4,no,17,20,17,30,none,,0,20,none
,Change since last quarter,%,,eduski,#00A7A3,No qualifications,up,,noqual,line,none,https://www.ons.gov.uk/employmentandlabourmarket ,years,no,no,"2000, 01, 05",2002,2017,"In 2018, 7.8% of UK residents had no qualifications, there was no change over the short-term (8.0% in 2017) and an improvement over the long-term (9.4% in 2013). ",25-Apr-18,4,no,17,20,17,30,none,,0,20,none
"<h2><a name=""section9""></a>Governance</h2>",Change from 2015 to 2016,%,<p>Includes democracy and trust in institutions</p>,govern,#B8860B,Voter turnout,up,,votert,line,none,https://www.electoralcommission.org.uk/our-work/our-research/electoral-data,months,no,no,"1940, 01, 05",1945,2017,"Voter turnout at the UK general election in 2017 was 68.8%, an improvement on 2015 (66.2%) and 2010 (65.1%) ", 10-Oct-17,4,no,17,20,17,30,none,,0,100,none
,Change from 2015 to 2016,%,,govern,#B8860B,Trust in government,down,,trustg,line,none,https://ec.europa.eu/COMMFrontOffice/publicopinion/index.cfm,months,no,no,"1940, 01, 05",2005,2019,"In the spring of 2019, 19% of people aged 15 and over in the UK reported that they 'tended to trust' their national government. This was a deterioration over the short-term (31% in 2018) and over the long-term (25% in 2014).",23-Oct-19,4,no,17,20,17,30,none,,0,40,none
"<h2><a name=""section10""></a>Environment</h2>",Change in aggregate balance from last quarter,,"<p>Reflects areas such as climate change, the natural environment and the effects our activities have on the global environment.</p>",enviro,#37288B,Greenhouse gas emissions,up,,greeng,line,none,https://www.gov.uk/government/collections/final-uk-greenhouse-gas-emissions-national-statistic,years,no,no,"1940, 01, 05",1990,2016,The UK's greenhouse gas emissions were estimated at 460.2 million tonnes carbon dioxide equivalent (MtCO2e) in 2017. This decreased (improved) both for the short-term (473.1 MtCO2e in 2016) and the long-term (570.4 MtCO2e in 2012).,15-May-19,4,no,17,20,17,30,none,,0,1000,none
,Change since last quarter,p.p,,enviro,#37288B,Protected areas,up,,protec,line,none,https://jncc.gov.uk/our-work/ukbi-c1-protected-areas/,years,no,no,"1940, 01, 05",2000,2019,"In the UK in 2019, 28.6 million hectares of land and sea was designated as a nationally or internationally important protected area. This was an improvement on the previous year (27.7 million hectares) and over the long-term (21.2 million hectares in 2014).",23-Oct-19,4,no,17,20,17,30,none,,0,30,none
,Change since last quarter,p.p,,enviro,#37288B,Renewable energy,up,,energy,line,none,https://www.gov.uk/government/statistics/renewable-sources-of-energy-chapter-6-digest-of-united-kingdom-energy-statistics-dukes,years,no,no,"1940, 01, 05",2004,2018,11.0% of energy consumption came from renewable sources in 2018. This has improved over both the short term (9.9% in 2017) and the long term (5.7% in 2013).,23-Oct-19,4,no,17,20,17,30,none,,0,12,none
,Change since last year,%,,enviro,#37288B,Household recycling,no,,recycl,line,none,https://www.gov.uk/government/statistical-data-sets/env23-uk-waste-data-and-management,years,no,no,"1940, 01, 05",2010,2017,"The household recycling rate for the UK in 2017 was 45.0%. An assessment of change is made by measuring progress towards the EU target of recycling 50% of waste from households by 2020. Change is only assessed as improved if growth is sufficient to meet this target, therefore there was no overall change over the short-term (44.7% in 2016) and the long-term (43.9% in 2012).",15-May-19,4,no,17,20,17,30,none,,0,50,none
