topic,unit_pre,unit_suf,topic_text,topic_code,color,measure,change,change_val,measure_code,graphic,url,link_to,period,two_series,markers,data_start,start_label,end_label,text,updated,tickNo,centreline,margin_t,margin_r,margin_b,margin_l,svg,unit,ymin,ymax,rolling
,Change since last year,%,,health,#6E2585,Health satisfaction,no,,helsat,line,none,https://www.understandingsociety.ac.uk,years,no,no,"2000, 01, 02",2002,2015/16,"In 2015 to 2016, over half (51.0%) of people aged 16 and over in the UK were mostly or completely satisfied with their health, an improvement over the short-term (49.6% in 2014 to 2015) and no overall change over the long-term (51.8% in 2010 to 2011). ",25-Apr-18,4,no,17,20,17,30,none,,20,70,none
,Change since last year,%,,health,#6E2585,Depression or Anxiety,up,,psycho,line,none,https://www.understandingsociety.ac.uk,years,no,no,"2000, 01, 03",2002,2015/16,"In 2015 to 2016, 17.8% of people in the UK aged 16 and over showed some evidence of anxiety or depression. While over the short-term this measure showed no overall change (17.4% in 2014 to 2015), there was an improvement over the long-term (18.9% in 2010 to 2011).",25-Apr-18,4,no,17,20,17,30,none,,15,25,none
"<h2><a name=""section4""></a>What we do</h2>",Change since last year,%,<p>Includes work and leisure activities and the balance between them.</p>,whwedo,#008080,Unemployment rate,up,,unempr,line,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/unemployment/timeseries/mgsx/lms/data,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/unemployment/timeseries/mgsx/lms,months,no,no,"2005, 05, 01",Q1 2008,Q1 2018,There was an improvement in the unemployment rate in the UK over the long-term between the three months ending July 2018 (4.0%) and the three months ending July 2013 (7.7%). There was also an improvement over the one year period (4.3% in the three months ending July 2017).,26-Sep-18,4,no,17,20,17,30,none,,0,10,none
,Change from financial year ending 2016 to 2018,%,,whwedo,#008080,Job satisfaction,down,,jobsat,line,none,https://www.understandingsociety.ac.uk,years,no,no,"2000, 01, 05",2002,2015/16,"Over half of people aged 16 and over in the UK (55.5%) were mostly or completely satisfied with their job in 2015 to 2016. While over the short-term this measure showed no overall change (55.8% in 2014 to 2015), there was a deterioration over the long-term (59.0% in 2010 to 2011). ",25-Apr-18,5,no,17,20,17,30,none,,0,60,none
,Change since last quarter,%,,whwedo,#008080,Satisfaction with leisure time,up,,leisat,line,none,https://www.understandingsociety.ac.uk,years,no,no,"2000, 01, 05",2002,2015/16,"The proportion of people aged 16 and over in the UK who were mostly or completely satisfied with their amount of leisure time was 44.6% in 2015 to 2016. While over the short-term this measure showed no overall change (43.7% in 2014 to 2015), there was an improvement over the long-term (42.2% in 2010 to 2011). ",25-Apr-18,5,no,17,20,17,30,none,,0,50,none
,Change from 2015 to 2016,%,,whwedo,#008080,Volunteering,up,,volunt,line,none,https://www.understandingsociety.ac.uk,other,no,no,"2000, 01, 05",2010/11,2014/15,Almost 1 in 5 people in the UK (19.1%) aged 16 and over reported that they had participated in some kind of volunteering more than once in the last year in 2014 to 2015. This was an improvement over both the short-term (17.4% in 2012 to 2013) and the long-term from 2010 to 2011 (16.5%). ,25-Apr-18,4,no,17,20,17,30,none,,10,20,none
,Change from 2015 to 2016,%,,whwedo,#008080,Art and culture participation,no,,artcul,line,none,https://www.gov.uk/government/collections/taking-part,years,no,no,"2000, 01, 05",2008/09,2017/18,"In the year ending March 2018, 82.3% of people in England had participated in an arts or cultural activity at least three times in the past year. This has remained unchanged for the short-term (82.2% in the year ending March 2017) and the long-term (83.1% in the year ending March 2013).",26-Sep-18,4,no,17,20,17,30,none,,80,85,none
,Change in aggregate balance from last quarter,,,whwedo,#008080,Sports participation,null,,sportp,vbar,vbar,https://www.sportengland.org/research/active-lives-survey,other,no,no,"2000, 01, 05",2015/16,2016/17,Over 6 in 10  adults aged 16 and over in England took part in at least 150 minutes of sport and physical activities a week between November 2016 and November 2017 (61.8%). There was no overall change since the previous year (62.1%). Due to this measure originating from a new survey the long-term change cannot be assessed.,25-Apr-18,4,no,17,20,17,30,none,,50,65,none
"<h2><a name=""section5""></a>Where we live</h2>",Change since last quarter,p.p,"<p>Reflects an individual&#39;s dwelling, their local environment and the type of community in which they live. Measures include having a safe, clean and pleasant environment, access to facilities and being part of a cohesive community. </p>",whlive,#0F8243,Crime,up,,crimer,line,none,https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/bulletins/crimeinenglandandwales/yearendingmar2017,years,no,no,"2000, 01, 05",2010/11,2016/17,"In the year ending March 2017, there were an estimated 51 personal crimes per 1,000 adults (aged 16 and over) in England and Wales. There was no overall change over the short-term (56 crimes per 1,000 adults in the year ending March 2016) and an improvement over the long-term (82 crimes per 1,000 adults in the year ending March 2012).", 10-Oct-17,4,no,17,20,17,30,none,,50,90,none
,Change since last quarter,p.p,,whlive,#0F8243,Feeling safe,m_up_f_nochange,,safedk,line,none,https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/bulletins/crimeinenglandandwales/yearendingmar2016,years,yes,no,"2000, 01, 05",2010/11,2015/16,"In the year ending March 2016, 87.9% of men and 61.7% of women aged 16 and over in England and Wales reported that they felt fairly or very safe walking alone after dark. While there has been an improvement over the long term for men (86.0%) in the year ending March 2011, there was no overall change for women (63.5%). Over the short-term there was no change for either men or women (85.8% and 61.7% respectively in the year ending March 2015).",06-Apr-17,4,no,17,20,17,30,none,,0,100,none
,Change since last year,%,,whlive,#0F8243,Accessed natural environment,up,,natenv,line,none,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/738891/Monitorof_Engagementwiththe_Natural_Environment_Headline_Report_March_2016to_February_2018.pdf,years,no,no,"2000, 01, 05",2009/10,2017/18,"In the year ending March 2018, 62.4% of people in the UK visited the natural environment at least once a week in the 12 months prior to interview. There was no overall change from the previous year (63.9%) and an improvement over the long-term (54.7% in the year ending March 2013).",26-Sep-18,4,no,17,20,17,30,none,,50,70,none
,Change since last year,%,,whlive,#0F8243,Belonging to neighbourhood,up,,neibel,line,none,https://www.understandingsociety.ac.uk,years,no,no,"2000, 01, 05",1998,2014/15,"The proportion of people in the UK aged 16 and over who agreed or agreed strongly they felt they belonged to their neighbourhood in 2014 to 2015 was 68.8%. While change was not assessed over the short-term period, there was an improvement over the long-term (66.0% in 2009 to 2010).",06-Apr-17,4,no,17,20,17,30,none,,0,80,none
,Change since last year,%,,whlive,#0F8243,Access to key services,null,,mintra,vbar,vbar,https://www.gov.uk/government/statistical-data-sets/journey-times-to-key-services-jts01,other,no,no,"2000, 01, 05",2014,2016,"The average minimum travel time by public transport or walking to an average of 8 main services was 17.7 minutes in England in 2016. As there is only three data points at present, the change has not been assessed.",26-Sep-18,4,no,17,20,17,30,none,,0,20,none
,Change from financial year ending 2016 to 2019,%,,whlive,#0F8243,Satisfaction with accommodation ,no,,accoma,line,none,https://www.gov.uk/government/statistical-data-sets/attitudes-and-satisfaction,years,no,no,"2000, 01, 05",2008/09,2016/17,"In the year ending March 2017, 90.3% people aged 16 and over in England were satisfied with their accommodation. Unchanged over both the short-term and the long-term (90.3% in the year ending March 2016 and 91.2% in the year ending March 2012).",26-Sep-18,4,no,17,20,17,30,none,,86,92,none
"<h2><a name=""section6""></a>Personal Finance</h2>",Change since last quarter,%,"<p>Includes household income and wealth, its distribution and stability.</p>",perfin,#36ADD9,Low income households,no,,hhldin,line,none,https://www.gov.uk/government/statistics/households-below-average-income-199495-to-201617,years,no,no,"2000, 01, 05",1998/99,2016/17,In the year ending March 2017 the proportion of individuals living in households in the UK with less than 60% of median income before housing costs was 16%. There was no overall change in both the short-term (16% in the year ending March 2016) and the long-term (16% in the year ending March 2012).,25-Apr-18,4,no,17,20,17,30,none,,0,20,none
,Change from 2015 to 2016,%,,perfin,#36ADD9,Household wealth,up,,hhldwe,line,none,https://www.ons.gov.uk/peoplepopulationandcommunity/personalandhouseholdfinances/incomeandwealth/bulletins/wealthingreatbritainwave5/2014to2016,years,no,no,"2000, 01, 05",Jul 08  -Jun 10,Jul 14 - Jun 16,"In July 2014 to June 2016 the median wealth per household, including pension wealth was £259,400. While change was not assessed over the short-term there was an improvement over the long-term (£216,500 in July 2010 to June 2012).",06-Apr-17,4,no,17,35,17,45,none,,150000,320000,none
,Change from 2015 to 2016,%,,perfin,#36ADD9,Household income,up,,realin,line,none,https://www.ons.gov.uk/peoplepopulationandcommunity/personalandhouseholdfinances/incomeandwealth/datasets/householddisposableincomeandinequality,years,no,no,"2000, 01, 05",1999/2000,2014/16,"Real median household income was £27,310 in the UK in the year ending March 2017, an improvement on both the short-term (£26,683 in the year ending March 2016) and over the long-term (£24,466 in the year ending March 2013). ",25-Apr-18,4,no,17,20,17,45,none,,10000,30000,none
,Change in aggregate balance from last quarter,,,perfin,#36ADD9,Satisfied with household income,up,,satinc,line,none,https://www.understandingsociety.ac.uk,years,no,no,"2000, 01, 05",2002,2017,"In 2015 to 2016, 45.6% of people in the UK aged 16 and over were mostly or completely satisfied with the income of their household. This was an improvement for both the short-term (42.8% in 2014 to 2015) and the long-term (37.9% in 2010 to 2011).",25-Apr-18,4,no,17,20,17,30,none,,0,50,none
,Change since last quarter,p.p,,perfin,#36ADD9,Difficulty managing financially,up,,financ,line,none,https://www.understandingsociety.ac.uk,years,no,no,"2000, 01, 05",2001,2015/16,"In 2015 to 2016, 5.9% of people in the UK aged 16 and over reported finding it quite or very difficult to get by financially. While there was no overall change over the short-term (6.6% in 2014 to 2015), there was an improvement over the long-term (10.7% in 2010 to 2011).",25-Apr-18,4,no,17,20,17,30,none,,0,15,none
"<h2><a name=""section6""></a>Economy</h2>",Change since last quarter,p.p,<p>Provides an important contextual domain for national well-being and includes measures of inflation and public sector debt.</p>,econom,#FF9933,Disposable income,up,,dispin,line,https://www.ons.gov.uk/economy/grossdomesticproductgdp/timeseries/mwb7/ukea/data,https://www.ons.gov.uk/economy/grossdomesticproductgdp/timeseries/mwb7/ukea,years,no,no,"2002, 01, 01",2002,2017,"The real net national disposable income per head in the UK was £25,368 in 2017, an improvement from the previous year (£24,752) and over the 5 year period (£23,149 in 2012).",25-Apr-18,2,no,17,20,17,40,none,,21000,26000,none
,Change since last year,%,,econom,#FF9933,Public sector debt,null,,netdeb,line,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/hf6x/pusf/data,https://www.ons.gov.uk/economy/governmentpublicsectorandtaxes/publicsectorfinance/timeseries/hf6x/pusf,years,no,no,"2000, 01, 05",1993,2017,"In 2017, public sector net debt in the UK stood at 85.4% of GDP, compared with 84.7% in 2016. This change has not been assessed.",25-Apr-18,4,no,17,20,17,30,none,,0,100,none
,Change since last year,%,,econom,#FF9933,Inflation,null,,inflat,line,https://www.ons.gov.uk/economy/inflationandpriceindices/timeseries/l55o/mm23/data,https://www.ons.gov.uk/economy/inflationandpriceindices/timeseries/l55o/mm23,years,no,no,"2000, 01, 05",2006,2017,"In 2017 the rate of inflation in the UK was 2.6%, compared to 1.0% a year earlier. This change has not been assessed.",25-Apr-18,4,no,17,20,17,30,none,,0,4,none
"<h2><a name=""section8""></a>Education and Skills</h2>",Change since last year,%,<p>Includes aspects of education and the stock of human capital in the labour market with some more information about levels of educational achievement and skills.</p>,eduski,#00A7A3,Human capital,up,,humcap,line,none,https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/articles/humancapitalestimates/2015,years,no,no,"2000, 01, 05",2004,2015,"In 2015, the value of full human capital amounted to £19.9 trillion. This was an improvement both from the previous year's data (£19.1 trillion) and over the long-term (£19.4 trillion in 2010).",06-Apr-17,4,no,17,20,17,30,none,,10,25,none
,Change from financial year ending 2016 to 2020,%,,eduski,#00A7A3,NEETs,up,,tneets,line,none,https://www.ons.gov.uk/employmentandlabourmarket/peoplenotinwork/unemployment/bulletins/youngpeoplenotineducationemploymentortrainingneet/aug2016/relateddata,quarters,no,no,"2000, 01, 05",Q4 2012,Q3 2018,The percentage of all young people aged 16 to 24 in the UK who were NEET was 11.2% in April to June 2018. No overall change since the previous year (11.1%) and an improvement over the long-term (14.9% in April to June 2013).,26-Sep-18,4,no,17,20,17,30,none,,0,20,none
,Change since last quarter,%,,eduski,#00A7A3,No qualifications,up,,noqual,line,none,https://www.ons.gov.uk/employmentandlabourmarket ,years,no,no,"2000, 01, 05",2002,2017,"In 2017, 8.0% of UK residents had no qualifications, there was no change over the short-term (8.2% in 2016) however there was an improvement over the long-term (9.4% in 2012). ",25-Apr-18,4,no,17,20,17,30,none,,0,20,none
"<h2><a name=""section9""></a>Governance</h2>",Change from 2015 to 2016,%,<p>Includes democracy and trust in institutions</p>,govern,#B8860B,Voter turnout,up,,votert,line,none,https://www.electoralcommission.org.uk/our-work/our-research/electoral-data,months,no,no,"1940, 01, 05",1945,2017,"Voter turnout at the UK general election in 2017 was 68.8%, an improvement on 2015 (66.2%) and 2010 (65.1%) ", 10-Oct-17,4,no,17,20,17,30,none,,0,100,none
,Change from 2015 to 2016,%,,govern,#B8860B,Trust in government,up,,trustg,line,none,https://ec.europa.eu/COMMFrontOffice/publicopinion/index.cfm,months,no,no,"1940, 01, 05",2005,2018,"In spring 2018, 31% of people aged 15 and over in the UK reported that they  ""tended to trust"" their national government. A deterioration over the short-term (36% in 2017) and an improvement over the long-term (22% in 2013).",26-Sep-18,4,no,17,20,17,30,none,,0,40,none
"<h2><a name=""section10""></a>Environment</h2>",Change in aggregate balance from last quarter,,"<p>Reflects areas such as climate change, the natural environment and the effects our activities have on the global environment.</p>",enviro,#37288B,Greenhouse gas emissions,up,,greeng,line,none,https://www.gov.uk/government/statistics/final-uk-greenhouse-gas-emissions-national-statistics-1990-2016,years,no,no,"1940, 01, 05",1990,2016,The UK's greenhouse gas emissions were estimated at 467.9 million tonnes carbon dioxide equivalent (MtCO2e) in 2016. This decreased (improved) both for the short-term (492.4 MtCO2e in 2015) and the long-term (549.1 MtCO2e in 2011).,25-Apr-18,4,no,17,20,17,30,none,,0,1000,none
,Change since last quarter,p.p,,enviro,#37288B,Protected areas,up,,protec,line,none,http://jncc.defra.gov.uk/page-4,years,no,no,"1940, 01, 05",2000,2018,"In the UK in 2018, 28.0 million hectares of land and sea was designated as a nationally or internationally important protected area. No overall change on the previous year (27.8 million hectares) and an improvement over the long-term (15.4 million hectares in 2013).",26-Sep-18,4,no,17,20,17,30,none,,0,30,none
,Change since last quarter,p.p,,enviro,#37288B,Renewable energy,up,,energy,line,none,https://www.gov.uk/government/statistics/renewable-sources-of-energy-chapter-6-digest-of-united-kingdom-energy-statistics-dukes,years,no,no,"1940, 01, 05",2004,2017,10.2% of energy consumption came from renewable sources in 2017. An improvment over both the short term (9.2% in 2016) and the long term (4.7% in 2012).,26-Sep-18,4,no,17,20,17,30,none,,0,12,none
,Change since last year,%,,enviro,#37288B,Household recycling,no,,recycl,line,none,https://www.gov.uk/government/statistical-data-sets/env23-uk-waste-data-and-management,years,no,no,"1940, 01, 05",2010,2016,"The household recycling rate for the UK in 2016 was 44.6%. An assessment of change is made by measuring progress towards the EU target of recycling 50% of waste from households by 2020. Change is only assessed as improved if growth is sufficient to meet this target, therefore there was no overall change over the short-term (44.2% in 2015) and the long-term (42.9% in 2011).",25-Apr-18,4,no,17,20,17,30,none,,0,50,none
