"Table BT.01: Births, by sex, Scotland, 1855 to 2016",,,
,,,
Year,                           Births,,
1958,"99,481","51,018","48,463"
1959,"99,251","51,126","48,125"
1960,"101,292","51,938","49,354"
1961,"101,169","51,964","49,205"
1962,"104,334","53,943","50,391"
1963,"102,691","52,669","50,022"
1964,"104,355","53,696","50,659"
1965,"100,660","52,037","48,623"
1966,"96,536","49,772","46,764"
1967,"96,221","49,627","46,594"
1968,"94,786","48,884","45,902"
1969,"90,290","46,660","43,630"
1970,"87,335","45,038","42,297"
1971,"86,728","44,467","42,261"
1972,"78,550","40,280","38,270"
1973,"74,392","38,601","35,791"
1974,"70,093","35,824","34,269"
1975,"67,943","35,017","32,926"
1976,"64,895","33,501","31,394"
1977,"62,342","31,993","30,349"
1978,"64,295","33,059","31,236"
1979,"68,366","35,351","33,015"
1980,"68,892","35,395","33,497"
1981,"69,054","35,283","33,771"
1982,"66,196","33,911","32,285"
1983,"65,078","33,656","31,422"
1984,"65,106","33,144","31,962"
1985,"66,676","34,120","32,556"
1986,"65,812","33,874","31,938"
1987,"66,241","33,970","32,271"
1988,"66,212","34,060","32,152"
1989,"63,480","32,504","30,976"
1990,"65,973","33,898","32,075"
1991,"67,024","34,419","32,605"
1992,"65,789","33,610","32,179"
1993,"63,337","32,374","30,963"
1994,"61,656","31,399","30,257"
1995,"60,051","30,652","29,399"
1996,"59,296","30,523","28,773"
1997,"59,440","30,516","28,924"
1998,"57,319","29,496","27,823"
1999,"55,147","28,246","26,901"
2000,"53,076","27,196","25,880"
2001,"52,527","26,786","25,741"
2002,"51,270","26,218","25,052"
2003,"52,432","26,906","25,526"
2004,"53,957","27,769","26,188"
2005,"54,386","28,083","26,303"
2006,"55,690","28,473","27,217"
2007,"57,781","29,694","28,087"
2008,"60,041","30,570","29,471"
2009,"59,046","30,165","28,881"
2010,"58,791","29,872","28,919"
2011,"58,590","30,111","28,479"
2012,"58,027","29,713","28,314"
2013,"56,014","28,828","27,186"
2014,"56,725","29,056","27,669"
2015,"55,098","28,354","26,744"
2016,"54,488","28,236","26,252"
,,,
,,,
© Crown Copyright 2017,,,
