AREANM,AREACD,time1,time2,time3,time4,time5,time6,time7
Barnsley,E08000016,8,7.7,7,8.3,8.7,8.2,9.5
Doncaster,E08000017,9.5,8.7,8.9,8.7,9.3,10.1,10
Rotherham,E08000018,8.6,8.8,8.7,8.2,8.2,7.6,8.7
Sheffield,E08000019,8.2,9.1,8.7,9.4,8.9,8,9.3
Newcastle upon Tyne,E08000021,9.6,9.9,9.7,9.3,11.2,10,9.6
North Tyneside,E08000022,9.8,9.8,9.7,10.8,9.7,10,10.6
South Tyneside,E08000023,8.6,8.4,8.8,8.4,8,8.1,7.5
Sunderland,E08000024,7.2,7.4,7.3,7.4,8.5,8.3,8.6
Birmingham,E08000025,8,8.2,9.4,8.8,8.8,8.5,8
Coventry,E08000026,9.5,9.1,9.1,10.1,9.4,9.4,9.6
Dudley,E08000027,10,11.5,9.5,9.9,9.4,9.2,8.4
Sandwell,E08000028,7.3,7.4,7.7,6.8,8,7.7,7.9
Solihull,E08000029,11.6,11.8,10.5,11.6,12.2,11.3,11.7
Walsall,E08000030,9,9.4,8.8,11.1,9.7,8.5,8.9
Wolverhampton,E08000031,7.8,7.7,7.5,7.4,7.2,6.7,7.1
Bradford,E08000032,9.4,10.4,8.6,9,9.2,9.3,8.3
Calderdale,E08000033,11.2,10.2,10.3,10.1,12,11.5,12.4
Kirklees,E08000034,8.8,9,11.8,11.2,10.7,9,8.8
Leeds,E08000035,9.9,10,9.4,10.8,10.5,9.6,10.3
Wakefield,E08000036,8.1,9.1,8.1,9.6,9.7,9.7,9
Gateshead,E08000037,8,8.2,7.9,8.4,7.8,8.9,8.5
Barking and Dagenham,E09000002,6.6,7.9,7.1,6.1,8.5,8.8,9.4
Barnet,E09000003,10.6,11.6,11.1,12.7,12.8,13.2,12.6
Bexley,E09000004,10.9,11.6,10.5,10.8,7.9,9.7,8.7
Brent,E09000005,12,11.8,9.5,11.2,11.3,11,10.6
Bromley,E09000006,13,11.6,12.2,11,14.3,13.5,13.7
Camden,E09000007,12.9,10.9,13,13.9,13.5,10.6,10.7
Croydon,E09000008,11.7,13,11,10.1,10.6,10.7,9.4
Ealing,E09000009,9.2,8.1,8.5,8.9,8.5,7,9.4
Enfield,E09000010,10.1,9.3,10.3,11.2,10.2,8.6,10.2
Greenwich,E09000011,10.9,10.2,10.7,10.6,8.3,7.5,9.3
Hackney,E09000012,7.7,8.8,8.5,7.8,6.6,7.2,10.2
Hammersmith and Fulham,E09000013,10.2,11.3,9.8,9.1,8.8,10.9,10.1
Haringey,E09000014,8.2,7.7,9.3,10.1,9.9,10.3,10.9
Harrow,E09000015,12,11.6,11.9,11.9,11.9,11,9.7
Havering,E09000016,10,11.5,12.7,10.3,10.5,10.4,11.3
Hillingdon,E09000017,11.1,10.1,10.5,9.4,8.7,10.9,10.1
Hounslow,E09000018,9.7,10.3,7.6,8.3,9,9.6,9
Islington,E09000019,8.3,9,6.5,7.5,8.3,10,10.8
Kensington and Chelsea,E09000020,11.2,12,12.2,13.5,12.1,13.8,14.8
Kingston upon Thames,E09000021,8.8,9.7,11.5,11.2,12.5,13.5,10.9
Lambeth,E09000022,9.2,7.2,9.5,11.1,13.6,13.7,13.9
Lewisham,E09000023,8.5,9.1,10.6,8,10.3,9.8,10.1
Merton,E09000024,10.1,11.2,9.7,10.3,12.2,11.1,10.4
Newham,E09000025,5.3,6.2,7.4,11.4,7.9,8.6,8.8
Redbridge,E09000026,8.7,8.4,8.9,9.6,9.1,8.2,10.9
Richmond upon Thames,E09000027,12.5,12.7,11,13.9,13.5,12.2,10.4
Southwark,E09000028,6.1,8.7,7.6,7.1,7.5,9,17.8
Sutton,E09000029,13.6,11.6,11.2,11.2,12.1,11,10.3
Tower Hamlets,E09000030,6.2,6.2,5.6,6.9,6.6,7.2,8.7
Waltham Forest,E09000031,9.3,7.3,7.8,8,6.9,10.5,11.1
Wandsworth,E09000032,14,11.9,11.9,11.3,13.5,13,13.8
Westminster,E09000033,10.7,12,11.4,11.5,11.7,12.7,12.7
Buckinghamshire,E10000002,12.6245,12.45755,12.92218,12.84924,13.71698,13.98964,14.89116
Cambridgeshire,E10000003,12.10428,12.08556,11.48476,12.7837,12.58883,11.4614,11.3516
Cumbria,E10000006,10.17686,10.61785,10.86579,11.00493,12.16985,12.672,11.99653
Derbyshire,E10000007,9.64684,8.97456,8.4256,10.14543,9.76303,11.89016,10.63643
Devon,E10000008,12.60307,12.94114,12.30282,12.29378,12.71541,12.79879,12.5805
Dorset,E10000009,12.72774,12.39418,12.3917,12.30497,12.35847,12.99789,12.82783
East Sussex,E10000011,13.39664,12.9791,12.00144,11.20021,11.06733,11.30109,11.43224
Essex,E10000012,12.35731,12.27218,11.00206,11.11827,10.85574,11.40596,11.23593
Gloucestershire,E10000013,12.15113,12.07209,11.35582,11.62067,12.0125,12.00435,11.83673
Hampshire,E10000014,13.17351,13.00412,11.91888,12.47829,12.37973,13.2541,13.03674
Hertfordshire,E10000015,11.03538,11.76854,11.66426,11.68369,11.50048,10.83986,11.18379
Kent,E10000016,11.54833,11.68339,11.25478,11.60725,11.81654,11.41195,11.47063
Lancashire,E10000017,11.06808,10.718,11.02608,10.50169,10.8258,10.01785,10.5361
Leicestershire,E10000018,10.7438,11.24499,11.58442,11.33568,11.54597,12.32957,11.71529
Lincolnshire,E10000019,10.67884,11.18349,10.68716,10.2102,10.2106,10.48303,10.93755
Norfolk,E10000020,11.58893,11.43131,11.00003,10.57078,11.38746,10.00463,10.76018
Northamptonshire,E10000021,12.00597,11.90764,10.50329,10.58084,11.72612,10.3393,9.92007
North Yorkshire,E10000023,11.20168,11.47689,11.59891,11.84222,13.40635,12.34052,13.20935
Nottinghamshire,E10000024,10.52664,10.98276,11.28439,9.57085,9.83239,10.2876,9.71205
Oxfordshire,E10000025,11.69387,12.87418,11.68422,13.20827,14.03302,13.54036,14.25281
Somerset,E10000027,10.99043,11.90308,13.07281,11.69852,13.63481,14.01257,12.48182
Staffordshire,E10000028,10.43137,9.72,10.0407,9.8863,10.69284,11.50067,10.38822
Suffolk,E10000029,11.80902,12.45733,10.90768,11.3965,12.66457,12.67248,11.93736
Surrey,E10000030,12.48093,12.55992,13.06699,12.99048,12.18995,13.36385,13.1283
Warwickshire,E10000031,10.78541,11.7187,11.62007,11.61718,11.22602,11.21303,11.6774
West Sussex,E10000032,13.26497,12.59108,13.14771,14.88241,13.01671,12.14699,11.65006
Worcestershire,E10000034,12.86443,13.2622,12.53209,12.4732,11.71766,12.04077,12.19523
