North East	North West	Yorkshire and The Humber	East Midlands	West Midlands	East	London	South East	South West	England	Wales	Scotland	Northern Ireland	United Kingdom	toplevel	secondlevel	name
0.90	1.00	1.90	1.10	1.30	1.70	0.80	2.10	2.00	1.50	0.90	1.00	0.70	1.40	Miscellaneous goods and services	Other services	Other services and professional fees
11.90	13.60	13.60	14.00	13.50	16.60	21.00	18.90	16.30	16.10	14.10	14.70	17.50	15.90	Restaurants and hotels	Catering services	Restaurant and café meals
7.40	7.00	7.20	6.20	6.60	6.30	9.50	7.20	7.50	7.30	5.10	6.90	9.80	7.20	Restaurants and hotels	Catering services	Alcoholic drinks (away from home)
4.20	4.10	4.20	3.90	4.00	4.30	5.00	3.80	3.50	4.10	4.20	4.70	7.80	4.30	Restaurants and hotels	Catering services	Take away meals eaten at home
3.80	4.00	4.10	3.50	3.50	4.20	6.60	4.30	3.80	4.30	3.80	4.30	5.80	4.30	Restaurants and hotels	Catering services	Other take-away and snack food
1.80	2.20	2.60	1.80	1.50	1.70	2.20	2.70	1.70	2.10	2.10	1.60	2.50	2.00	Restaurants and hotels	Catering services	Contract catering (food) and canteens
3.20	4.40	4.20	4.10	4.20	5.40	3.30	5.00	5.40	4.40	3.30	4.60	1.60	4.30	Restaurants and hotels	Accommodation services	Holiday in the UK
1.50	2.80	2.30	1.10	2.50	2.80	6.30	4.10	2.30	3.20	0.50	1.80	1.40	2.90	Restaurants and hotels	Accommodation services	Holiday abroad
0.30	0.10	0.00	0.10	0.10	0.10	0.10	0.10	0.70	0.20	0.00	0.30	0.00	0.20	Restaurants and hotels	Accommodation services	Room hire
0.40	0.80	1.00	1.30	0.80	1.60	1.10	1.10	1.10	1.10	0.80	0.60	1.00	1.00	Recreation and culture	Audio-visual, photographic and information	Audio equipment and accessories, CD players
4.10	2.70	3.80	6.50	3.60	4.80	4.60	4.40	3.50	4.20	2.70	4.10	3.70	4.10	Recreation and culture	Audio-visual, photographic and information	TV, video and computers
0.30	0.50	0.10	0.10	0.30	0.30	0.30	0.40	0.40	0.30	0.10	0.30	0.40	0.30	Recreation and culture	Audio-visual, photographic and information	Photographic, cine and optical equipment
0.80	2.50	2.10	3.00	1.70	1.60	1.70	2.20	2.10	2.00	1.20	1.60	0.30	1.90	Recreation and culture	Other major durables for recreation and culture	Other major durables for recreation and culture
2.30	2.30	2.10	2.30	1.90	2.20	2.30	3.00	2.50	2.30	2.30	2.50	1.90	2.30	Recreation and culture	Other recreational items and equipment, gardens and pets	Games, toys and hobbies
0.90	1.00	0.60	0.80	0.90	0.70	0.60	1.00	1.30	0.90	0.80	0.70	1.40	0.90	Recreation and culture	Other recreational items and equipment, gardens and pets	Computer software and games
1.00	1.40	0.90	0.80	0.80	1.30	0.80	1.20	0.70	1.00	0.80	1.00	2.00	1.00	Recreation and culture	Other recreational items and equipment, gardens and pets	Equipment for sport, camping and open-air recreation
1.80	2.10	1.90	2.40	2.20	3.10	1.70	3.30	2.90	2.40	2.40	2.30	2.80	2.40	Recreation and culture	Other recreational items and equipment, gardens and pets	Horticultural goods, garden equipment and plants
2.80	3.80	3.40	4.90	4.70	5.10	2.60	5.60	6.20	4.40	4.40	4.60	3.70	4.40	Recreation and culture	Other recreational items and equipment, gardens and pets	Pets and pet food
4.30	5.70	4.70	4.50	5.20	5.70	10.50	7.60	6.30	6.40	3.70	4.60	4.50	6.10	Recreation and culture	Recreational and cultural services	Sports admissions, subscriptions, leisure class fees and equipment hire
1.80	2.50	1.70	1.80	2.20	2.60	3.10	3.90	2.80	2.60	2.10	2.20	1.80	2.60	Recreation and culture	Recreational and cultural services	Cinema, theatre and museums etc
6.60	7.10	6.40	6.50	6.40	6.60	6.20	7.00	6.30	6.60	7.50	7.20	6.80	6.70	Recreation and culture	Recreational and cultural services	TV, video, satellite rental, cable subscriptions and TV licences
1.10	1.00	1.10	1.30	1.00	1.30	1.00	1.60	1.50	1.20	0.90	1.00	1.10	1.20	Recreation and culture	Recreational and cultural services	Miscellaneous entertainments
0.20	0.20	0.20	0.40	0.30	0.20	0.30	0.30	0.40	0.30	0.20	0.20	0.40	0.30	Recreation and culture	Recreational and cultural services	Development of film, deposit for film development, passport photos, holiday and school photos
3.60	3.20	3.10	2.60	2.50	2.90	2.00	2.80	3.10	2.80	2.80	3.40	4.80	2.90	Recreation and culture	Recreational and cultural services	Gambling payments
0.70	1.00	1.00	1.00	0.90	1.20	1.80	1.30	1.40	1.20	1.10	1.20	1.00	1.20	Recreation and culture	Newspapers, books and stationery	Books
1.80	1.60	1.60	1.90	1.70	2.00	1.80	2.40	2.20	1.90	1.90	1.80	1.40	1.90	Recreation and culture	Newspapers, books and stationery	Diaries, address books, cards etc
1.70	1.40	1.40	1.40	1.40	1.60	1.40	1.70	1.70	1.50	1.50	2.40	2.40	1.60	Recreation and culture	Newspapers, books and stationery	Newspapers
0.70	0.70	0.70	0.80	0.80	0.90	0.60	0.80	1.00	0.80	0.70	0.70	0.80	0.80	Recreation and culture	Newspapers, books and stationery	Magazines and periodicals
1.00	1.10	1.60	1.90	1.30	2.40	1.10	1.80	1.20	1.50	1.30	1.10	0.70	1.40	Recreation and culture	Package holidays6	Package holidays - UK
19.80	21.50	20.30	20.70	16.10	20.80	19.70	22.90	19.90	20.40	18.60	16.90	13.70	19.80	Recreation and culture	Package holidays7	Package holidays - abroad
0.50	0.50	0.50	0.90	0.40	0.70	0.70	0.60	0.80	0.60	0.50	0.70	0.60	0.60	Communication	Postal services	Postal services
0.80	0.80	0.30	1.00	0.70	0.40	0.60	0.40	0.50	0.60	1.20	0.30	1.50	0.60	Communication	Telephone and telefax equipment	Telephone and telefax equipment
9.20	10.00	9.90	10.30	10.40	10.80	12.30	11.30	10.60	10.70	9.30	10.10	11.10	10.60	Communication	Telephone and telefax services	Telephone and telefax services
2.30	2.50	2.40	2.70	2.60	3.00	3.00	3.00	2.90	2.80	2.50	2.60	2.90	2.70	Communication	Internet subscription fees	Internet subscription fees
4.20	6.90	7.10	6.60	6.80	8.60	6.00	9.80	5.70	7.20	4.80	12.50	4.00	7.40	Transport	Purchase of vehicles	Purchase of new cars and vans
10.40	12.30	11.90	15.70	12.30	15.70	7.30	16.10	17.40	13.30	10.30	12.70	5.60	12.80	Transport	Purchase of vehicles	Purchase of second hand cars or vans
0.40	0.50	0.60	1.00	0.40	0.70	1.10	0.90	0.90	0.70	1.00	1.00	0.10	0.80	Transport	Purchase of vehicles	Purchase of motorcycles and other vehicles
2.30	1.50	2.30	2.50	2.70	3.10	1.50	3.10	3.80	2.50	3.50	2.20	2.20	2.50	Transport	Operation of personal transport	Spares and accessories
19.20	20.40	21.80	24.50	24.80	25.80	16.60	27.70	26.50	23.20	27.30	23.90	34.20	23.70	Transport	Operation of personal transport	Petrol, diesel and other motor oils
3.70	4.50	5.30	7.00	4.70	7.40	5.50	8.90	9.00	6.40	3.80	5.30	4.50	6.10	Transport	Operation of personal transport	Repairs and servicing
1.70	1.90	1.90	2.70	2.50	2.70	2.20	3.40	2.90	2.50	2.10	1.90	1.90	2.40	Transport	Operation of personal transport	Other motoring costs
1.60	1.80	1.80	1.60	2.00	6.40	7.60	6.90	1.50	3.90	1.10	2.40	0.90	3.60	Transport	Transport services5	Rail and tube fares
1.90	1.60	1.80	1.60	1.80	1.10	1.50	1.50	1.10	1.50	0.80	1.80	1.40	1.50	Transport	Transport services6	Bus and coach fares
0.10	0.10	0.10	0.00	0.10	0.50	5.10	0.30	0.00	0.90	0.00	0.10	0.10	0.70	Transport	Transport services7	Combined fares
5.30	7.50	7.20	6.40	5.50	6.70	12.90	9.40	7.80	8.10	5.80	9.60	9.60	8.20	Transport	Transport services8	Other travel and transport
13.80	15.10	13.20	13.60	12.70	12.40	17.80	15.90	14.90	14.70	12.40	11.80	14.30	14.30	Household goods and services	Furniture and furnishings, carpets and other floor coverings4	Furniture and furnishings
4.80	3.80	2.20	4.70	2.30	2.90	2.80	4.20	2.90	3.30	3.70	2.60	3.20	3.30	Household goods and services	Furniture and furnishings, carpets and other floor coverings5	Floor coverings
1.70	1.80	1.70	1.80	1.50	1.70	1.60	1.90	2.20	1.80	1.70	1.90	1.60	1.80	Household goods and services	Household textiles	Household textiles
2.40	4.50	2.70	4.20	3.00	3.00	1.90	3.60	3.90	3.30	1.80	3.30	1.10	3.10	Household goods and services	Household appliances	Household appliances
1.50	1.30	1.30	1.50	1.40	1.70	2.00	2.00	1.60	1.60	1.30	1.60	1.50	1.60	Household goods and services	Glassware, tableware and household utensils	Glassware, tableware and household utensils
4.20	2.20	2.20	2.80	1.90	2.50	2.20	2.80	2.10	2.40	3.20	1.70	1.80	2.40	Household goods and services	Tools and equipment for house and garden	Tools and equipment for house and garden
1.90	2.10	2.00	2.30	2.40	2.80	2.40	2.70	2.40	2.40	2.20	2.20	2.50	2.40	Household goods and services	Goods and services for routine household maintenance	Cleaning materials
1.00	1.10	1.10	1.20	1.30	1.60	1.70	1.80	1.50	1.40	1.30	1.40	1.50	1.40	Household goods and services	Goods and services for routine household maintenance	Household goods and hardware
1.40	1.70	2.10	1.50	2.10	2.50	2.70	2.60	2.80	2.20	1.70	1.40	2.60	2.20	Household goods and services	Goods and services for routine household maintenance	Domestic services, carpet cleaning and hire/repair of furniture/furnishings
45.60	41.50	38.90	36.90	39.80	42.90	96.20	48.10	37.70	49.60	33.80	31.10	28.70	46.70	Housing (net), fuel and power	Actual rentals for housing	Gross rent
20.70	16.80	15.40	12.50	15.90	12.30	30.40	13.00	11.10	16.70	13.10	12.50	12.80	16.00	Housing (net), fuel and power	Actual rentals for housing	less housing benefit, rebates and allowances rec'd
24.90	24.70	23.50	24.30	23.90	30.60	65.80	35.10	26.60	33.00	20.80	18.60	16.00	30.70	Housing (net), fuel and power	Actual rentals for housing	Net rent2
0.20	0.00	0.10	0.30	0.00	0.10	0.00	0	0.10	0.10	0.00	0.10	0.00	0.10	Housing (net), fuel and power	Actual rentals for housing	Second dwelling rent
5.30	5.90	6.00	7.80	5.60	8.70	7.20	9.30	8.00	7.30	4.80	6.30	5.40	7.00	Housing (net), fuel and power	Maintenance and repair of dwelling	Maintenance and repair of dwelling
7.70	9.10	8.00	8.00	8.40	8.90	11.40	9.00	10.20	9.10	8.50	7.40	0	0	Housing (net), fuel and power	Water supply and miscellaneous services relating to the dwelling	Water supply and miscellaneous services relating to the dwelling
10.60	11.60	10.90	11.20	11.80	11.60	11.10	12.00	11.80	11.50	11.90	12.60	13.60	11.60	Housing (net), fuel and power	Electricity, gas and other fuels3	Electricity
11.80	12.30	12.70	11.70	12.40	10.80	13.40	12.00	9.80	12.00	11.20	11.20	3.30	11.60	Housing (net), fuel and power	Electricity, gas and other fuels4	Gas
0.90	0.60	1.10	1.80	1.70	2.50	0.10	1.50	2.50	1.40	2.70	2.00	17.40	1.90	Housing (net), fuel and power	Electricity, gas and other fuels5	Other fuels
4.40	4.50	4.60	4.40	4.30	4.70	6.60	4.90	4.20	4.80	4.00	4.90	8.70	4.90	Clothing and footwear	Clothing	Men's outer garments
0.50	0.50	0.50	0.40	0.50	0.50	0.50	0.50	0.40	0.50	0.50	0.40	0.70	0.50	Clothing and footwear	Clothing	Men's under garments
6.90	8.50	7.40	6.80	5.90	7.90	8.70	8.70	8.30	7.90	8.10	8.30	12.60	8.00	Clothing and footwear	Clothing	Women's outer garments
1.10	1.10	0.90	1.00	1.00	1.10	0.90	1.30	1.30	1.10	1.00	1.10	1.70	1.10	Clothing and footwear	Clothing	Women's under garments
0.60	0.70	0.70	0.70	0.90	0.70	0.90	0.70	0.60	0.70	1.20	0.70	1.00	0.80	Clothing and footwear	Clothing	Boys' outer garments (5-15)
1.00	1.00	0.80	0.80	1.10	0.90	1.10	1.00	0.80	1.00	1.40	0.90	1.20	1.00	Clothing and footwear	Clothing	Girls' outer garments (5-15)
0.60	0.80	0.70	0.80	0.70	0.70	1.00	0.70	0.80	0.80	0.70	0.90	0.80	0.80	Clothing and footwear	Clothing	Infants' outer garments (under 5)
0.40	0.40	0.40	0.30	0.40	0.40	0.40	0.50	0.40	0.40	0.50	0.40	0.40	0.40	Clothing and footwear	Clothing	Children's under garments (under 16)
0.70	0.60	0.50	0.70	0.70	0.80	1.00	0.90	0.90	0.80	0.60	0.90	0.90	0.80	Clothing and footwear	Clothing	Accessories
0.10	0.20	0.30	0.30	0.30	0.20	0.10	0.30	0.30	0.20	0.20	0.10	0.10	0.20	Clothing and footwear	Clothing	Haberdashery, clothing materials and clothing hire
0.20	0.20	0.10	0.20	0.10	0.30	0.60	0.40	0.10	0.30	0.20	0.20	0.30	0.30	Clothing and footwear	Clothing	Dry cleaners, laundry and dyeing
4.30	4.00	4.30	4.20	3.80	4.00	5.50	5.20	4.40	4.50	4.50	4.30	7.40	4.50	Clothing and footwear	Footwear	Footwear
1.50	1.70	1.70	1.80	1.60	1.30	1.70	1.60	1.50	1.60	1.00	2.50	2.00	1.70	Alcoholic drink, tobacco and narcotics	Alcoholic drinks	Spirits and liqueurs (brought home)
2.80	3.90	3.30	3.90	3.20	4.60	4.10	4.90	4.40	4.00	3.10	4.60	3.00	4.00	Alcoholic drink, tobacco and narcotics	Alcoholic drinks	Wines, fortified wines (brought home)
2.50	2.20	2.60	2.50	2.10	1.90	1.40	2.20	1.90	2.10	1.90	1.70	2.40	2.10	Alcoholic drink, tobacco and narcotics	Alcoholic drinks	Beer, lager, ciders and perry (brought home)
0.00	0.10	0.00	0.10	0.10	0.10	0.00	0.00	0.10	0.10	0.10	0.10	0.10	0.10	Alcoholic drink, tobacco and narcotics	Alcoholic drinks	Alcopops (brought home)
4.10	4.40	4.10	3.50	3.60	2.70	2.80	3.40	2.10	3.40	3.10	5.80	6.50	3.60	Alcoholic drink, tobacco and narcotics	Tobacco and narcotics	Cigarettes
0.70	0.90	0.80	0.70	0.90	0.90	0.50	0.70	1.30	0.80	1.10	0.90	1.00	0.80	Alcoholic drink, tobacco and narcotics	Tobacco and narcotics	Cigars, other tobacco products and narcotics
5.00	5.10	4.90	5.40	5.40	5.60	5.70	5.60	5.50	5.40	5.10	5.50	6.20	5.40	Food and non-alcoholic drinks	Food	Bread, rice and cereals
0.40	0.40	0.40	0.50	0.40	0.40	0.60	0.50	0.40	0.40	0.40	0.40	0.50	0.40	Food and non-alcoholic drinks	Food	Pasta products
3.00	3.30	3.10	3.60	3.60	3.90	3.60	3.90	3.90	3.60	3.50	3.50	4.40	3.60	Food and non-alcoholic drinks	Food	Buns, cakes, biscuits etc
0.70	0.80	0.80	0.80	0.80	0.80	0.70	0.90	0.90	0.80	0.60	0.80	0.70	0.80	Food and non-alcoholic drinks	Food	Pastry (savoury)
1.80	1.80	1.70	1.80	1.80	2.00	1.80	2.10	1.70	1.80	1.80	2.20	3.20	1.90	Food and non-alcoholic drinks	Food	Beef (fresh, chilled or frozen)
0.70	0.60	0.70	0.80	0.70	0.80	0.70	0.70	0.80	0.70	0.80	0.50	0.80	0.70	Food and non-alcoholic drinks	Food	Pork (fresh, chilled or frozen)
0.40	0.60	0.50	0.60	0.70	0.70	1.20	0.80	0.60	0.70	0.70	0.30	0.30	0.70	Food and non-alcoholic drinks	Food	Lamb (fresh, chilled or frozen)
1.90	2.20	2.00	2.30	2.20	2.60	2.90	2.60	2.30	2.40	2.10	2.10	2.90	2.40	Food and non-alcoholic drinks	Food	Poultry (fresh, chilled or frozen)
1.00	1.10	1.00	1.00	0.90	1.00	0.80	1.10	1.10	1.00	1.00	1.20	1.40	1.00	Food and non-alcoholic drinks	Food	Bacon and ham
6.10	6.30	5.80	5.80	6.00	6.30	5.60	6.40	6.20	6.10	6.20	7.00	7.10	6.20	Food and non-alcoholic drinks	Food	Other meat and meat preparations
2.00	2.30	2.30	2.30	2.40	2.80	3.60	3.00	2.60	2.70	2.10	2.30	2.10	2.60	Food and non-alcoholic drinks	Food	Fish and fish products
2.30	2.40	2.30	2.60	2.40	2.40	2.30	2.40	2.60	2.40	2.50	2.10	2.70	2.40	Food and non-alcoholic drinks	Food	Milk
1.40	1.80	1.60	2.00	1.80	2.20	2.10	2.30	2.30	2.00	1.70	1.70	1.80	1.90	Food and non-alcoholic drinks	Food	Cheese and curd
0.60	0.60	0.60	0.70	0.70	0.70	0.90	0.90	0.70	0.70	0.60	0.70	0.70	0.70	Food and non-alcoholic drinks	Food	Eggs
1.60	1.80	1.80	2.10	1.90	2.10	2.30	2.40	2.30	2.10	1.80	2.00	2.30	2.10	Food and non-alcoholic drinks	Food	Other milk products
0.50	0.50	0.40	0.50	0.40	0.50	0.40	0.50	0.50	0.50	0.40	0.60	0.50	0.50	Food and non-alcoholic drinks	Food	Butter
0.40	0.50	0.50	0.60	0.60	0.50	0.50	0.60	0.60	0.50	0.50	0.50	0.40	0.50	Food and non-alcoholic drinks	Food	Margarine, other vegetable fats and peanut butter
0.30	0.20	0.30	0.30	0.30	0.40	0.60	0.40	0.30	0.30	0.20	0.30	0.40	0.30	Food and non-alcoholic drinks	Food	Cooking oils and fats
2.40	2.60	2.80	3.10	3.00	3.60	4.20	4.00	3.70	3.40	2.90	3.00	3.50	3.30	Food and non-alcoholic drinks	Food	Fresh fruit
0.30	0.30	0.30	0.30	0.30	0.40	0.50	0.40	0.40	0.40	0.30	0.40	0.50	0.40	Food and non-alcoholic drinks	Food	Other fresh, chilled or frozen fruits
0.40	0.50	0.50	0.70	0.60	0.80	1.10	0.90	0.90	0.70	0.50	0.50	0.60	0.70	Food and non-alcoholic drinks	Food	Dried fruit and nuts
0.10	0.10	0.10	0.10	0.10	0.20	0.10	0.10	0.20	0.10	0.10	0.20	0.10	0.10	Food and non-alcoholic drinks	Food	Preserved fruit and fruit based products
3.10	3.50	3.50	4.10	3.80	4.70	5.50	5.30	4.80	4.40	3.70	3.30	3.60	4.20	Food and non-alcoholic drinks	Food	Fresh vegetables
0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.10	0.00	0.00	0.00	0.10	0.00	0.00	Food and non-alcoholic drinks	Food	Dried vegetables
1.20	1.30	1.20	1.40	1.30	1.50	1.80	1.50	1.40	1.40	1.20	1.30	1.40	1.40	Food and non-alcoholic drinks	Food	Other preserved or processed vegetables
0.80	0.90	0.90	0.90	0.90	1.00	0.80	1.00	1.00	0.90	1.00	0.80	1.40	0.90	Food and non-alcoholic drinks	Food	Potatoes
1.50	1.60	1.50	1.60	1.70	1.60	1.30	1.50	1.50	1.50	1.50	1.90	2.00	1.60	Food and non-alcoholic drinks	Food	Other tubers and products of tuber vegetables
0.30	0.40	0.40	0.50	0.40	0.50	0.40	0.50	0.50	0.40	0.50	0.40	0.40	0.40	Food and non-alcoholic drinks	Food	Sugar and sugar products
0.30	0.30	0.20	0.30	0.20	0.30	0.40	0.30	0.30	0.30	0.30	0.30	0.40	0.30	Food and non-alcoholic drinks	Food	Jams, marmalades
1.70	1.80	1.60	1.70	1.70	2.00	1.60	1.90	1.90	1.80	1.90	1.90	2.10	1.80	Food and non-alcoholic drinks	Food	Chocolate
0.70	0.70	0.70	0.70	0.70	0.70	0.60	0.70	0.60	0.70	0.70	0.80	1.00	0.70	Food and non-alcoholic drinks	Food	Confectionery products
0.50	0.60	0.50	0.50	0.50	0.70	0.60	0.70	0.70	0.60	0.60	0.60	0.60	0.60	Food and non-alcoholic drinks	Food	Edible ices and ice cream
2.30	2.40	2.30	2.70	2.40	2.70	2.70	3.00	2.70	2.60	2.40	2.50	2.60	2.60	Food and non-alcoholic drinks	Food	Other food products
0.60	0.80	0.70	0.80	0.70	0.80	0.70	0.80	0.90	0.80	0.80	0.70	0.60	0.80	Food and non-alcoholic drinks	Non-alcoholic drinks	Coffee
0.40	0.40	0.40	0.50	0.50	0.50	0.50	0.50	0.60	0.50	0.40	0.40	0.50	0.50	Food and non-alcoholic drinks	Non-alcoholic drinks	Tea
0.10	0.10	0.10	0.10	0.10	0.10	0.10	0.20	0.10	0.10	0.10	0.10	0.10	0.10	Food and non-alcoholic drinks	Non-alcoholic drinks	Cocoa and powdered chocolate
0.90	1.00	0.90	1.10	1.10	1.30	1.40	1.40	1.30	1.20	1.10	1.20	1.10	1.20	Food and non-alcoholic drinks	Non-alcoholic drinks	Fruit and vegetable juices (inc. fruit squash)
0.20	0.30	0.20	0.20	0.30	0.30	0.60	0.30	0.30	0.30	0.20	0.30	0.40	0.30	Food and non-alcoholic drinks	Non-alcoholic drinks	Mineral or spring waters
1.90	1.90	1.80	1.90	1.80	2.00	2.00	1.80	1.70	1.90	1.90	2.60	2.50	1.90	Food and non-alcoholic drinks	Non-alcoholic drinks	Soft drinks (inc. fizzy and ready to drink fruit drinks)
