Category,Household spending per week (£'s)
"Non-optical appliances and equipment (eg wheelchairs, batteries for hearing aids, shoe build-up)",0.1
"Spectacles, lenses, accessories and repairs",1.7
"Purchase of spectacles, lenses, prescription sunglasses",1.7
Accessories/repairs to spectacles/lenses,0
Hospital services,3.1
Out patient services,2.9
"NHS medical, optical, dental and medical auxiliary services",0.9
"Private medical, optical, dental and medical auxiliary services",2
Other services,0
In-patient hospital services,0
Transport,80.8
Purchase of vehicles,27.9
Purchase of new cars and vans,9.9
Outright purchases,5.2
Loan/Hire Purchase of new car/van,4.7
Purchase of second hand cars or vans,17.1
Outright purchases,12.1
Loan/Hire Purchase of second hand car/van,5
Purchase of motorcycles,0.9
Outright purchases of new or second hand motorcycles,0.3
Loan/Hire Purchase of new or second hand motorcycles,0
Purchase of bicycles and other vehicles,0.5
Operation of personal transport,33.2
Spares and accessories,2.4
Car/van accessories and fittings,0.3
Car/van spare parts,1.5
Motorcycle accessories and spare parts,0.1
"Bicycle accessories, repairs and other costs",0.5
"Petrol, diesel and other motor oils",21.2
Petrol,12.6
Diesel oil,8.5
Other motor oils,0.1
Repairs and servicing,6.5
"Car or van repairs, servicing and other work",6.4
Motorcycle repairs and servicing,0.1
Other motoring costs,3.1
Motoring organisation subscription (eg AA and RAC),0.7
"Garage rent, other costs (excluding fines), car washing etc",0.8
"Parking fees, tolls, and permits (excluding motoring fines)",1.1
Driving lessons,0.3
"Anti-freeze, battery water, cleaning materials",0.1
Transport services,19.7
Rail and tube fares,4.3
Season tickets,1.7
Other than season tickets,2.6
Bus and coach fares,1.5
Season tickets,0.7
Other than season tickets,0.8
Combined fares,0.9
Combined fares other than season tickets,0.1
Combined fares season tickets,0.8
Other travel and transport,13.1
Air fares (within UK),0.3
Air fares (international),6.7
School travel,0
Taxis and hired cars with drivers,1.3
Other personal travel and transport services,0.2
"Hire of self-drive cars, vans, bicycles",0.3
Car leasing,4.1
"Water travel, ferries and season tickets",0.2
Communication,17.9
Postal services,0.6
Telephone and telefax equipment,1.1
Telephone purchase,0
Mobile phone purchase,1.1
"Answering machine, fax machine, modem purchase",0
Telephone and telefax services,12.4
Telephone account,4.1
Telephone coin and other payments,0
Mobile phone account,7.9
Mobile phone - other payments,0.4
Internet subscription fees,3.8
Recreation and culture,74.6
"Audio-visual, photographic and information processing equipment",5.1
"Audio equipment and accessories, CD players",1.1
"Audio equipment, CD players including in car",0.5
"Audio accessories eg tapes, headphones etc",0.6
"TV, video and computers",3.5
Purchase of TV and digital decoder,0.7
Satellite dish purchase and installation,0
Cable TV connection,0
Video recorder,0
DVD player/recorder,0
"Blank, pre-recorded video cassettes, DVDs",0.4
"Personal computers, printers and calculators",2.2
"Spare parts for TV, video, audio",0
"Repair of audio-visual, photographic and information processing",0.1
"Photographic, cine and optical equipment",0.5
Photographic and cine equipment,0.4
Camera films,0
"Optical instruments, binoculars, telescopes, microscopes",0.1
Other major durables for recreation and culture,3
"Purchase of boats, trailers and horses",0.6
"Purchase of caravans, mobile homes (including decoration)",1
"Accessories for boats, horses, caravans and motor caravans",0.2
Musical instruments (purchase and hire),0.2
Major durables for indoor recreation ,0
Maintenance and repair of other major durables,0.2
Purchase of motor caravan (new and second-hand) - outright purchase,0.8
Purchase of motor caravan (new and second-hand) - loan/HP,0
"Other recreational items and equipment, gardens and pets",13.4
"Games, toys and hobbies",3.1
Computer software and games,1.1
Computer software and game cartridges,0.7
Computer games consoles,0.4
"Equipment for sport, camping and open-air recreation",1
"Horticultural goods, garden equipment and plants etc",2.6
BBQ and swings,0.1
"Plants, flowers, seeds, fertilisers, insecticides",2.3
Garden decorative,0.1
"Artificial flowers, pot pourri",0
Pets and pet food,5.6
Pet food,2.5
Pet purchase and accessories,1
Veterinary and other services for pets identified separately,2.1
Recreational and cultural services,20.9
"Sports admissions: subscriptions, leisure class fees and equipment hire",6.6
Spectator sports admission charges,0.5
Participant sports (excluding subscriptions),1.1
Subscriptions to sports and social clubs,2.3
Leisure class fees,2.5
Hire of equipment for sport and open air recreation,0.1
"Cinema, theatre and museums etc",3.1
Cinemas,0.9
"Live entertainment: theatre, concerts, shows",1.6
"Museums, zoological gardens, theme parks, houses and gardens",0.6
"TV, video, satellite rental, cable subscriptions and TV licences",7
TV licences,2.3
Satellite subscriptions,3.5
Rent for TV/Satellite/VCR,0
Cable subscriptions,1
TV slot meter payments,0.1
"Video, cassette and CD hire",0.1
Miscellaneous entertainments,1.3
"Admissions to clubs, dances, discos, bingo",0.6
Social events and gatherings,0.2
Subscriptions for leisure activities and other subscriptions,0.5
"Development of film, deposit for film development, passport photos, holiday and school photos",0.3
Gambling payments,2.6
Football pools stakes,0
Bingo stakes excluding admission,0.2
Lottery ,1.6
"Bookmaker, tote, other betting stakes",0.7
"Newspapers, books and stationery",5.3
Books,1.3
"Stationery, diaries, address books, art materials",0.8
"Cards, calendars, posters and other printed matter",1.3
Newspapers,1.3
Magazines and periodicals,0.7
Package holidays,26.9
Package holidays - UK,1.7
Package holidays - abroad,25.2
Education,8.7
Education fees,8.2
Nursery and primary education,1.1
Secondary education,1.9
Sixth form college/college education,1.6
University education,3.2
Other education,0.5
"Payments for school trips, other ad-hoc expenditure",0.5
Nursery and primary education,0.2
Secondary education,0.2
Sixth form college/college education,0
University education,0
Other education,0
Restaurants and hotels,49.6
Catering services,38.8
Restaurant and café meals,18.6
Alcoholic drinks (away from home),8
Take away meals eaten at home,5.1
Other take-away and snack food,5.1
Hot and cold food,3.9
Confectionery,0.3
Ice cream,0.1
Soft drinks,0.8
Contract catering (food),0.3
Canteens,1.7
School meals,0.8
Meals bought and eaten at the workplace,0.9
Accommodation services,10.9
Holiday in the UK,6
Holiday abroad,4.7
Room hire,0.2
Miscellaneous goods and services,43.5
Personal care,12.5
"Hairdressing, beauty treatment",3.8
Toilet paper,0.8
Toiletries and soap,2.5
"Toiletries (disposable including tampons, lipsyl, toothpaste etc)",1.5
"Bar of soap, liquid soap, shower gel etc",0.4
"Toilet requisites (durable including razors, hairbrushes, toothbrushes etc)",0.5
Baby toiletries and accessories (disposable),0.7
"Hair products, cosmetics and electrical appliances for personal care",4.6
Hair products,0.9
Cosmetics and related accessories,3.3
"Electrical appliances for personal care, including hairdryers, shavers etc",0.4
Personal effects ,4
"Jewellery, clocks and watches and other personal effects",2.2
Leather and travel goods (excluding baby items),1.3
Sunglasses (non-prescription),0.1
Baby equipment (excluding prams and pushchairs),0.2
"Prams, pram accessories and pushchairs",0.1
Repairs to personal goods,0
Social protection,4.4
Residential homes,0
Home help,0.7
"Nursery, crèche, playschools",0.9
Child care payments,2.1
Insurance,17.6
Household insurances,4.6
Structure insurance,2.3
Contents insurance,2.1
Insurance for household appliances,0.1
Medical insurance premiums,2
Vehicle insurance including boat insurance,10.8
Vehicle insurance,10.8
Boat insurance (not home),0
"Non-package holiday, other travel insurance",0.3
Other services,5.1
Moving house,3.1
Moving and storage of furniture,0.5
Property transaction - purchase and sale,1.2
Property transaction - sale only,0.5
Property transaction - purchase only,0.5
Property transaction - other payments,0.5
"Bank, building society, post office, credit card charges",0.5
Bank and building society charges,0.5
Bank and Post Office counter charges,0
Annual standing charge for credit cards,0.1
Commission travellers' cheques and currency,0
Other services and professional fees,1.4
Other professional fees including court fines,0.1
Legal fees,0.3
Funeral expenses,0.2
TU and professional organisations,0.6
Other payments for services eg photocopying,0.1
Other expenditure items,76.4
"Housing: mortgage interest payments, council tax etc",46.6
Mortgage interest payments,20.9
Mortgage protection premiums,1
"Council tax, domestic rates",23.6
"Council tax, mortgage (second dwelling)",1.2
"Licences, fines and transfers",3.7
"Stamp duty, licences and fines (excluding motoring fines)",0.3
Motoring fines,0.1
Motor vehicle road taxation payments less refunds,3.3
Holiday spending,12.4
Money spent abroad,12.4
Duty free goods bought in UK,0
Money transfers and credit,13.7
"Money, cash gifts given to children",0.1
Money given to children for specific purposes,0.1
Cash gifts to children (no specific purpose),0
Cash gifts and donations,12.6
Money/presents given to those outside the household,6.2
Charitable donations and subscriptions,3
Money sent abroad,1.5
Maintenance allowance expenditure,2
Club instalment payments (child) and interest on credit cards,1
Club instalment payment,0
Interest on credit cards,1
