id,unique,value
Professional,Health professionals n.e.c.,34874
Professional,Physiotherapists,32319
Professional,Occupational therapists,30650
Professional,Speech and language therapists,30215
Professional,Therapy professionals n.e.c.,32271
Professional,Nurses,33242
Professional,Midwives,36799
Professional,Higher education teaching professionals,49862
Professional,Further education teaching professionals,36699
Professional,Secondary education teaching professionals,39279
Professional,Primary and nursery education teaching professionals,35677
Professional,Special needs education teaching professionals,35798
Professional,Senior professionals of educational establishments,53735
Professional,Education advisers and school inspectors,39154
Professional,Teaching and other educational professionals n.e.c.,26091
Professional,Solicitors,42494
Professional,Legal professionals n.e.c.,74701
Professional,Chartered and certified accountants,38805
Professional,Management consultants and business analysts,41695
Professional,Business and financial project management professionals,49113
Professional,"Actuaries, economists and statisticians",47089
Professional,Business and related research professionals,34979
Professional,"Business, research and administrative professionals n.e.c.",44898
Professional,Architects,40987
Professional,Town planning officers,35224
Professional,Quantity surveyors,44548
Professional,Chartered surveyors,37015
Professional,Construction project managers and related professionals,38625
Professional,Social workers,34853
Professional,Probation officers,33969
Professional,Clergy,26601
Professional,Welfare professionals n.e.c.,30746
Professional,Librarians,26732
Professional,Archivists and curators,27071
Professional,Quality control and planning engineers,36950
Professional,Quality assurance and regulatory professionals,43545
Professional,Environmental health professionals,36320
Professional,"Journalists, newspaper and periodical editors",34064
Professional,Public relations professionals,34168
Professional,Advertising accounts managers and creative directors,42531
Associate  professional  & technical,Laboratory technicians,20887
Associate  professional  & technical,Electrical and electronics technicians,35921
Associate  professional  & technical,Engineering technicians,33395
Associate  professional  & technical,Quality assurance technicians,27634
Associate  professional  & technical,"Planning, process and production technicians",29767
Associate  professional  & technical,"Science, engineering and production technicians n.e.c.",28471
Associate  professional  & technical,Architectural and town planning technicians,29152
Associate  professional  & technical,Draughtspersons,30217
Associate  professional  & technical,IT operations technicians,31798
Associate  professional  & technical,IT user support technicians,30298
Associate  professional  & technical,Paramedics,39605
Associate  professional  & technical,Dispensing opticians,24685
Associate  professional  & technical,Medical and dental technicians,27394
Associate  professional  & technical,Health associate professionals n.e.c.,20543
Associate  professional  & technical,Youth and community workers,25514
Associate  professional  & technical,Child and early years officers,24240
Associate  professional  & technical,Housing officers,27875
Associate  professional  & technical,Counsellors,24446
Associate  professional  & technical,Welfare and housing associate professionals n.e.c.,24208
Associate  professional  & technical,Police officers (sergeant and below),41284
Associate  professional  & technical,Fire service officers (watch manager and below),36321
Associate  professional  & technical,Prison service officers (below principal officer),30512
Associate  professional  & technical,Police community support officers,25624
Associate  professional  & technical,Protective service associate professionals n.e.c.,34636
Associate  professional  & technical,"Authors, writers and translators",30508
Associate  professional  & technical,Musicians,41008
Associate  professional  & technical,"Arts officers, producers and directors",38360
Associate  professional  & technical,"Photographers, audio-visual and broadcasting equipment operators",25958
Associate  professional  & technical,Graphic designers,27516
Associate  professional  & technical,"Product, clothing and related designers",30237
Associate  professional  & technical,"Sports coaches, instructors and officials",24832
Associate  professional  & technical,Fitness instructors,19150
Associate  professional  & technical,Air traffic controllers,94431
Associate  professional  & technical,Aircraft pilots and flight engineers,78570
Associate  professional  & technical,Ship and hovercraft officers,42442
Associate  professional  & technical,Legal associate professionals,29738
Associate  professional  & technical,"Estimators, valuers and assessors",31325
Associate  professional  & technical,Insurance underwriters,34043
Associate  professional  & technical,Finance and investment analysts and advisers,36596
Associate  professional  & technical,Taxation experts,47176
Associate  professional  & technical,Importers and exporters,32760
Associate  professional  & technical,Financial and accounting technicians,45470
Associate  professional  & technical,Financial accounts managers,38423
Associate  professional  & technical,Business and related associate professionals n.e.c.,29495
Associate  professional  & technical,Buyers and procurement officers,30904
Associate  professional  & technical,Business sales executives,34864
Associate  professional  & technical,Marketing associate professionals,28518
Associate  professional  & technical,Sales accounts and business development managers,46476
Associate  professional  & technical,Conference and exhibition managers and organisers,26306
Associate  professional  & technical,Conservation and environmental associate professionals,22615
Associate  professional  & technical,Public services associate professionals,33438
Associate  professional  & technical,Human resources and industrial relations officers,29462
Associate  professional  & technical,Vocational and industrial trainers and instructors,28709
Associate  professional  & technical,Careers advisers and vocational guidance specialists,28311
Associate  professional  & technical,Inspectors of standards and regulations,32255
Associate  professional  & technical,Health and safety officers,35816
Administrative  & secretarial,National government administrative occupations,26003
Administrative  & secretarial,Local government administrative occupations,25373
Administrative  & secretarial,Officers of non-governmental organisations,28159
Administrative  & secretarial,Credit controllers,24270
Administrative  & secretarial,"Book-keepers, payroll managers and wages clerks",25528
Administrative  & secretarial,Bank and post office clerks,22892
Administrative  & secretarial,Finance officers,25459
Administrative  & secretarial,Financial administrative occupations n.e.c.,22260
Administrative  & secretarial,Records clerks and assistants,21876
Administrative  & secretarial,Pensions and insurance clerks and assistants,23070
Administrative  & secretarial,Stock control clerks and assistants,23009
Administrative  & secretarial,Transport and distribution clerks and assistants,25418
Administrative  & secretarial,Library clerks and assistants,19659
Administrative  & secretarial,Human resources administrative occupations,21407
Administrative  & secretarial,Sales administrators,21581
Administrative  & secretarial,Other administrative occupations n.e.c.,21933
Administrative  & secretarial,Office managers,32209
Administrative  & secretarial,Office supervisors,26156
Administrative  & secretarial,Medical secretaries,21081
Administrative  & secretarial,Legal secretaries,21738
Administrative  & secretarial,School secretaries,18953
Administrative  & secretarial,Company secretaries,27105
Administrative  & secretarial,Personal assistants and other secretaries,27639
Administrative  & secretarial,Receptionists,18358
Administrative  & secretarial,Typists and related keyboard occupations,19979
Skilled trades,Farmers,26151
Skilled trades,Horticultural trades,19668
Skilled trades,Gardeners and landscape gardeners,20539
Skilled trades,Groundsmen and greenkeepers,19903
Skilled trades,"Moulders, core makers and die casters",21879
Skilled trades,Sheet metal workers,26487
Skilled trades,"Metal plate workers, and riveters",30513
Skilled trades,Welding trades,27449
Skilled trades,Pipe fitters,42977
Skilled trades,Metal machining setters and setter-operators,27674
Skilled trades,"Tool makers, tool fitters and markers-out",29864
Skilled trades,Metal working production and maintenance fitters,33245
Skilled trades,Precision instrument makers and repairers,26152
Skilled trades,Air-conditioning and refrigeration engineers,35563
Skilled trades,"Vehicle technicians, mechanics and electricians",28343
Skilled trades,Vehicle body builders and repairers ,26927
Skilled trades,Vehicle paint technicians,26773
Skilled trades,Aircraft maintenance and related trades,38233
Skilled trades,Boat and ship builders and repairers,33322
Skilled trades,Rail and rolling stock builders and repairers,42061
Skilled trades,Electricians and electrical fitters,33176
Skilled trades,Telecommunications engineers,33294
Skilled trades,"TV, video and audio engineers",33142
Skilled trades,IT engineers,32347
Skilled trades,Electrical and electronic trades n.e.c.,34520
Skilled trades,"Skilled metal, electrical and electronic trades supervisors",35166
Skilled trades,Steel erectors,26600
Skilled trades,Bricklayers and masons,26786
Skilled trades,"Roofers, roof tilers and slaters",25243
Skilled trades,Plumbers and heating and ventilating engineers,31370
Skilled trades,Carpenters and joiners,27053
Skilled trades,"Glaziers, window fabricators and fitters",22383
Skilled trades,Construction and building trades n.e.c.,27509
Skilled trades,Plasterers,28158
Skilled trades,Floorers and wall tilers,25029
Skilled trades,Painters and decorators,24930
Skilled trades,Construction and building trades supervisors,37586
Skilled trades,Weavers and knitters,24921
Skilled trades,Upholsterers,24234
Skilled trades,Footwear and leather working trades,20530
Skilled trades,"Textiles, garments and related trades n.e.c.",19005
Skilled trades,Printers,25490
Skilled trades,Print finishing and binding workers,22682
Skilled trades,Butchers,22009
Skilled trades,Bakers and flour confectioners,19373
Skilled trades,Fishmongers and poultry dressers,18886
Skilled trades,Chefs,22905
Skilled trades,Cooks,16853
Skilled trades,Catering and bar managers,22008
Skilled trades,"Glass and ceramics makers, decorators and finishers",21315
Skilled trades,Furniture makers and other craft woodworkers,23466
Skilled trades,Other skilled trades n.e.c.,27123
"Caring, leisure  & other services",Nursery nurses and assistants,16987
"Caring, leisure  & other services",Childminders and related occupations,21429
"Caring, leisure  & other services",Playworkers,17546
"Caring, leisure  & other services",Teaching assistants,17091
"Caring, leisure  & other services",Educational support assistants,16217
"Caring, leisure  & other services",Veterinary nurses,20629
"Caring, leisure  & other services",Pest control officers,23651
"Caring, leisure  & other services",Nursing auxiliaries and assistants,21190
"Caring, leisure  & other services",Ambulance staff (excluding paramedics),24445
"Caring, leisure  & other services",Dental nurses,18307
"Caring, leisure  & other services",Houseparents and residential wardens,23379
"Caring, leisure  & other services",Care workers and home carers,19104
"Caring, leisure  & other services",Senior care workers,20316
"Caring, leisure  & other services","Undertakers, mortuary and crematorium assistants",24549
"Caring, leisure  & other services",Sports and leisure assistants,19244
"Caring, leisure  & other services",Air travel assistants,22670
"Caring, leisure  & other services",Rail travel assistants,37334
"Caring, leisure  & other services",Leisure and travel service occupations n.e.c.,23674
"Caring, leisure  & other services",Hairdressers and barbers,16310
"Caring, leisure  & other services",Caretakers,21733
"Caring, leisure  & other services",Cleaning and housekeeping managers and supervisors,20001
Sales &  customer service,Sales and retail assistants,18164
Sales &  customer service,Retail cashiers and check-out operators,17190
Sales &  customer service,Telephone salespersons,21435
Sales &  customer service,Pharmacy and other dispensing assistants,17405
Sales &  customer service,Vehicle and parts salespersons and advisers,23734
Sales &  customer service,Collector salespersons and credit agents,21653
Sales &  customer service,"Debt, rent and other cash collectors",20161
Sales &  customer service,Roundspersons and van salespersons,22432
Sales &  customer service,Merchandisers and window dressers,23127
Sales &  customer service,Sales related occupations n.e.c.,23150
Sales &  customer service,Sales supervisors,22142
Sales &  customer service,Call and contact centre occupations,18994
Sales &  customer service,Telephonists,19314
Sales &  customer service,Communication operators,28167
Sales &  customer service,Customer service occupations n.e.c.,21557
Sales &  customer service,Customer service managers and supervisors,29486
"Process, plant  & machine  operatives","Food, drink and tobacco process operatives",20792
"Process, plant  & machine  operatives",Glass and ceramics process operatives,24119
"Process, plant  & machine  operatives",Textile process operatives,25200
"Process, plant  & machine  operatives",Chemical and related process operatives,30295
"Process, plant  & machine  operatives",Rubber process operatives,29897
"Process, plant  & machine  operatives",Plastics process operatives,22431
"Process, plant  & machine  operatives",Metal making and treating process operatives,25886
"Process, plant  & machine  operatives",Electroplaters,25445
"Process, plant  & machine  operatives",Process operatives n.e.c.,24664
"Process, plant  & machine  operatives",Paper and wood machine operatives,21883
"Process, plant  & machine  operatives",Coal mine operatives,21743
"Process, plant  & machine  operatives",Quarry workers and related operatives,31912
"Process, plant  & machine  operatives",Energy plant operatives,33727
"Process, plant  & machine  operatives",Metal working machine operatives,24214
"Process, plant  & machine  operatives",Water and sewerage plant operatives,30780
"Process, plant  & machine  operatives",Printing machine assistants,22336
"Process, plant  & machine  operatives",Plant and machine operatives n.e.c.,24990
"Process, plant  & machine  operatives",Assemblers (electrical and electronic products),24294
"Process, plant  & machine  operatives",Assemblers (vehicles and metal goods),30215
"Process, plant  & machine  operatives",Routine inspectors and testers,25716
"Process, plant  & machine  operatives","Weighers, graders and sorters",22267
"Process, plant  & machine  operatives","Tyre, exhaust and windscreen fitters",22303
"Process, plant  & machine  operatives",Sewing machinists,18199
"Process, plant  & machine  operatives",Assemblers and routine operatives n.e.c.,22395
"Process, plant  & machine  operatives","Scaffolders, stagers and riggers",33894
"Process, plant  & machine  operatives",Road construction operatives,29027
"Process, plant  & machine  operatives",Rail construction and maintenance operatives,31638
"Process, plant  & machine  operatives",Construction operatives n.e.c.,25206
"Process, plant  & machine  operatives",Large goods vehicle drivers,30516
"Process, plant  & machine  operatives",Van drivers,22959
"Process, plant  & machine  operatives",Bus and coach drivers,26632
"Process, plant  & machine  operatives",Taxi and cab drivers and chauffeurs,21167
"Process, plant  & machine  operatives",Crane drivers,40359
"Process, plant  & machine  operatives",Fork-lift truck drivers,23999
"Process, plant  & machine  operatives",Agricultural machinery drivers,25379
"Process, plant  & machine  operatives",Mobile machine drivers and operatives n.e.c.,29541
"Process, plant  & machine  operatives",Train and tram drivers,56591
"Process, plant  & machine  operatives",Marine and waterways transport operatives,31820
"Process, plant  & machine  operatives",Air transport operatives,25696
"Process, plant  & machine  operatives",Rail transport operatives,44309
"Process, plant  & machine  operatives",Other drivers and transport operatives n.e.c.,31725
Elementary,Farm workers,22590
Elementary,Forestry workers,24705
Elementary,Fishing and other elementary agriculture occupations n.e.c.,20186
Elementary,Elementary construction occupations,22838
Elementary,Industrial cleaning process occupations,20041
Elementary,"Packers, bottlers, canners and fillers",19884
Elementary,Elementary process plant occupations n.e.c.,21981
Elementary,"Postal workers, mail sorters, messengers and couriers",27344
Elementary,Elementary administration occupations n.e.c.,17904
Elementary,Window cleaners,20700
Elementary,Street cleaners,19643
Elementary,Cleaners and domestics,17380
Elementary,"Launderers, dry cleaners and pressers",16096
Elementary,Refuse and salvage occupations,20380
Elementary,Vehicle valeters and cleaners,18720
Elementary,Elementary cleaning occupations n.e.c.,20266
Elementary,Security guards and related occupations,25043
Elementary,Parking and civil enforcement occupations,21006
Elementary,Elementary security occupations n.e.c.,21556
Elementary,Shelf fillers,18335
Elementary,Elementary sales occupations n.e.c.,18162
Elementary,Elementary storage occupations,21505
Elementary,Hospital porters,20752
Elementary,Kitchen and catering assistants,16711
Elementary,Waiters and waitresses,16724
Elementary,Bar staff,16195
Elementary,Leisure and theme park attendants,16589
Elementary,Other elementary services occupations n.e.c.,17731
