id,parentId,name,size,realsize,percent
c8_3,c8,Cervix,2591,2591,0.8
c8_4,c8,Uterus,7862,7862,2.6
c8_4_1,c8_4,Corpus uteri,7732,7732,2.5
c8_4_2,c8_4,"Uterus, part unspecified",130,130,0.04
c8_5,c8,Ovary and other unspecified female genital organs,6236,6236,2
c8_5_1,c8_5,Ovary,5676,5676,1.9
c8_5_2,c8_5,Other and unspecified female genital organs,560,560,0.2
c8_6,c8,Placenta,23,23,0.01
c9,c0,Prostate,41201,41201,13.5
c10,c0,Central Nervous System,4769,4769,1.6
c10_1,c10,Meninges,60,60,0.02
c10_2,c10,Brain,4568,4568,1.5
c10_3,c10,"Spinal cord, cranial nerves and other parts of central nervous system",141,141,0.05
c11,c0,Urinary tract,19445,19445,6.4
c11_1,c11,"Kidney, except renal pelvis",9298,9298,3
c11_2,c11,Renal pelvis,692,692,0.2
c11_3,c11,Ureter,596,596,0.2
c11_4,c11,Bladder,8686,8686,2.8
c11_5,c11,Other and unspecified urinary organs,173,173,0.1
c12,c0,Leukaemia,8567,8567,2.8
c12_1,c12,Lymphoid leukaemia,4226,4226,1.4
c12_2,c12,Myeloid leukaemia,4102,4102,1.3
c12_3,c12,Monocytic leukaemia,67,67,0.02
c12_4,c12,Other leukaemias of specified cell type,51,51,0.02
c12_5,c12,Leukaemia of unspecified cell type,121,121,0.04
c13,c0,Non-Hodgkin's lymphoma,12065,12065,3.9
c13_1,c13,Follicular (nodular) non-Hodgkin's lymphoma,2168,2168,0.7
c13_2,c13,Diffuse non-Hodgkin's lymphoma,6391,6391,2.1
c13_3,c13,Peripheral and cutaneous T-cell lymphomas,796,796,0.3
c13_4,c13,Other and unspecified types of non-Hodgkin's lymphoma,2710,2710,0.9
c14,c0,Other blood,7270,7270,2.4
c14_1,c14,Hodgkin's disease,1802,1802,0.6
c14_2,c14,Malignant immunoproliferative diseases,353,353,0.1
c14_3,c14,Multiple myeloma and malignant plasma cell neoplasms,5034,5034,1.6
c14_4,c14,"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue",81,81,0.03
c15,c0,Breast,46109,46109,15.1
c16,c0,Other ,14648,14648,4.8
c16_1,c16,Eye and adnexa,701,701,0.2
c16_2,c16,Thyroid and other endocrine glands,3499,3499,1.1
c16_2_1,c16_2,Thyroid gland,3254,3254,1.1
c16_2_2,c16_2,Adrenal gland,159,159,0.1
c16_2_3,c16_2,Other endocrine glands and related structures,86,86,0.03
c16_3,c16,Thymus,300,300,0.1
c16_4,c16,"Heart, mediastinum and pleura",124,124,0.04
c16_5,c16,Other and ill-defined sites in the respiratory system and intrathoracic organs,1,1,null
c16_6,c16,"Ill-defined, Secondary and without specification",7041,7041,2.3
c16_6_1,c16_6,Other and ill-defined sites,149,149,0.05
c16_6_2,c16_6,Secondary and unspecified  lymph nodes,613,613,0.2
c16_6_3,c16_6,Secondary respiratory and digestive organs,1405,1405,0.5
c16_6_4,c16_6,Secondary other sites,596,596,0.2
c16_6_5,c16_6,Malignant neoplasm without specification of site,4278,4278,1.4
c16_7,c16,Bone,483,483,0.2
c16_7_1,c16_7,Bone and articular cartilage of limbs,252,252,0.1
c16_7_2,c16_7,Bone and articular cartilage of other and unspecified sites,231,231,0.1
c16_8,c16,Rest of male genitalia,2499,2499,0.8
c16_8_1,c16_8,Penis,572,572,0.2
c16_8_2,c16_8,Testis,1854,1854,0.6
c16_8_3,c16_8,Other and unspecified male genital organs,73,73,0.02
c17,c0,Mesothelial and soft tissue,4806,4806,1.6
c17_1,c17,Mesothelioma,2329,2329,0.8
c17_2,c17,Kaposi's sarcoma,119,119,0.04
c17_3,c17,Peripheral nerves and autonomic nervous system,40,40,0.01
c17_4,c17,Retroperitoneum and peritoneum,657,657,0.2
c17_5,c17,Other connective and soft tissue,1661,1661,0.5
