name,group,Region,quadrant,jobdensity,imd
Hornsea BUA,Small,Yorkshire and The Humber,Most Deprived Residential,0.532,26
Wem BUA,Small,West Midlands,Mid Deprived Residential,0.426,43
Loughborough BUA,Medium,East Midlands,Mid Deprived Working,0.7,46
Maghull BUA,Medium,North West,Least Deprived Residential,0.384,70
Southport BUA,Large,North West,Most Deprived Working,0.769,29
Thornbury BUA,Small,South West,Least Deprived Mixed,0.658,79
Street BUA,Small,South West,Mid Deprived Working,0.846,56
Bishop's Waltham BUA,Small,South East,Least Deprived Residential,0.486,85
Frome BUA,Medium,South West,Most Deprived Residential,0.486,39
Bagshot BUA,Small,South East,Least Deprived Working,0.889,82
Ross-on-Wye BUA,Small,West Midlands,Mid Deprived Working,1.081,44
Storrington BUA,Small,South East,Least Deprived Residential,0.477,84
Alnwick BUA,Small,North East,Most Deprived Working,0.894,38
Billinge BUA,Small,North West,Least Deprived Residential,0.239,66
Hailsham BUA,Small,South East,Most Deprived Residential,0.527,35
Richmond BUA,Small,Yorkshire and The Humber,Least Deprived Mixed,0.631,61
Cheddar BUA,Small,South West,Least Deprived Working,0.929,62
Oakley (Basingstoke and Deane) BUA,Small,South East,Least Deprived Mixed,0.253,98
Mablethorpe BUA,Small,East Midlands,Most Deprived Residential,0.435,2
Lutterworth BUA,Small,East Midlands,Least Deprived Working,2.242,79
Sawston BUA,Small,East of England,Least Deprived Working,0.918,80
Sidmouth BUA,Small,South West,Least Deprived Working,0.79,72
Epping BUA,Small,East of England,Least Deprived Working,0.877,62
Torpoint BUA,Small,South West,Mid Deprived Residential,0.374,40
Hilton (South Derbyshire) BUA,Small,East Midlands,Least Deprived Working,0.303,96
Burghfield Common BUA,Small,South East,Least Deprived Residential,0.516,86
Buckingham BUA,Small,South East,Least Deprived Mixed,0.612,89
Netley BUA,Small,South East,Least Deprived Residential,0.514,64
Brackley BUA,Small,East Midlands,Least Deprived Working,0.746,94
Ivybridge BUA,Small,South West,Least Deprived Residential,0.371,79
Marske-by-the-Sea BUA,Small,North East,Mid Deprived Working,0.287,43
Denmead BUA,Small,South East,Least Deprived Residential,0.381,84
Paddock Wood BUA,Small,South East,Least Deprived Working,0.959,70
Garforth BUA,Small,Yorkshire and The Humber,Least Deprived Mixed,0.596,85
Northallerton BUA,Small,Yorkshire and The Humber,Mid Deprived Working,1.343,58
Tenterden BUA,Small,South East,Least Deprived Working,0.877,67
Market Warsop BUA,Small,East Midlands,Most Deprived Residential,0.241,13
Tadcaster BUA,Small,Yorkshire and The Humber,Least Deprived Working,1.223,88
Long Ashton BUA,Small,South West,Least Deprived Residential,0.42,92
Hayle BUA,Small,South West,Most Deprived Mixed,0.614,14
Conisbrough BUA,Small,Yorkshire and The Humber,Most Deprived Residential,0.308,4
Nantwich BUA,Small,North West,Least Deprived Mixed,0.645,63
Market Drayton BUA,Small,West Midlands,Most Deprived Working,0.749,38
Portishead BUA,Medium,South West,Least Deprived Working,0.827,90
Crofton BUA,Small,Yorkshire and The Humber,Least Deprived Residential,0.166,68
Wotton-under-Edge BUA,Small,South West,Least Deprived Residential,0.387,80
Marple BUA,Small,North West,Least Deprived Mixed,0.628,77
Southwell BUA,Small,East Midlands,Least Deprived Working,0.697,93
Dawlish BUA,Small,South West,Most Deprived Residential,0.471,35
Dronfield BUA,Medium,East Midlands,Least Deprived Mixed,0.57,86
Wootton Bassett BUA,Small,South West,Least Deprived Mixed,0.57,66
Hawkinge BUA,Small,South East,Mid Deprived Residential,0.157,51
Peasedown St John BUA,Small,South West,Least Deprived Residential,0.313,65
New Waltham BUA,Small,Yorkshire and The Humber,Least Deprived Residential,0.196,84
Dinnington (Rotherham) BUA,Small,Yorkshire and The Humber,Most Deprived Mixed,0.611,29
Stansted Mountfitchet BUA,Small,East of England,Least Deprived Working,0.875,87
Balsall Common BUA,Small,West Midlands,Least Deprived Residential,0.422,98
Bayston Hill BUA,Small,West Midlands,Least Deprived Residential,0.331,89
Faringdon BUA,Small,South East,Mid Deprived Residential,0.485,45
Weaverham BUA,Small,North West,Most Deprived Residential,0.314,32
Ilminster BUA,Small,South West,Mid Deprived Mixed,0.602,52
Ferryhill BUA,Small,North East,Most Deprived Working,0.305,3
Raunds BUA,Small,East Midlands,Mid Deprived Residential,0.427,54
Halstead BUA,Small,East of England,Mid Deprived Mixed,0.559,44
Newport (Isle of Wight) BUA,Medium,South East,Most Deprived Working,1.235,22
Ponteland BUA,Small,North East,Least Deprived Residential,0.545,97
Measham BUA,Small,East Midlands,Mid Deprived Mixed,0.592,42
Oakham BUA,Small,East Midlands,Least Deprived Working,0.948,81
Brotton BUA,Small,North East,Most Deprived Residential,0.389,13
Okehampton BUA,Small,South West,Most Deprived Working,0.698,32
Great Wakering BUA,Small,East of England,Mid Deprived Residential,0.194,57
Clitheroe BUA,Small,North West,Least Deprived Working,0.81,65
Helsby BUA,Small,North West,Least Deprived Mixed,0.603,90
Petersfield BUA,Small,South East,Least Deprived Working,0.998,81
Louth BUA,Small,East Midlands,Most Deprived Working,0.813,20
Ashington (Northumberland) BUA,Medium,North East,Least Deprived Mixed,0.561,8
Newmarket BUA,Medium,East of England,Least Deprived Working,0.899,63
Culcheth BUA,Small,North West,Least Deprived Residential,0.371,82
Heswall BUA,Medium,North West,Least Deprived Residential,0.542,79
Sheerness BUA,Small,South East,Most Deprived Mixed,0.579,0
Driffield BUA,Small,Yorkshire and The Humber,Mid Deprived Residential,0.511,58
Retford BUA,Medium,East Midlands,Most Deprived Residential,0.541,31
Radcliffe on Trent BUA,Small,East Midlands,Least Deprived Residential,0.379,86
Ruskington BUA,Small,East Midlands,Mid Deprived Residential,0.354,48
Wigton BUA,Small,North West,Most Deprived Working,0.837,37
Leominster BUA,Small,West Midlands,Most Deprived Working,0.76,14
Bodmin BUA,Small,South West,Most Deprived Working,0.91,13
Caister-on-Sea BUA,Small,East of England,Most Deprived Working,0.307,38
Devizes BUA,Small,South West,Mid Deprived Working,0.969,47
Cotgrave BUA,Small,East Midlands,Mid Deprived Working,0.297,51
Wingate BUA,Small,North East,Most Deprived Residential,0.19,15
Elland BUA,Small,Yorkshire and The Humber,Most Deprived Working,1.237,35
Bishop's Stortford BUA,Medium,East of England,Least Deprived Mixed,0.66,91
Kenilworth BUA,Medium,West Midlands,Least Deprived Working,0.857,92
Hungerford BUA,Small,South East,Least Deprived Working,1.011,71
Countesthorpe BUA,Small,East Midlands,Least Deprived Residential,0.236,88
Easington (County Durham) BUA,Small,North East,Least Deprived Residential,0.37,9
New Romney BUA,Small,South East,Most Deprived Mixed,0.625,37
Highworth BUA,Small,South West,Least Deprived Residential,0.492,68
Washingborough BUA,Small,East Midlands,Least Deprived Residential,0.236,88
South Ockendon BUA,Small,East of England,Most Deprived Residential,0.354,10
Chipping Norton BUA,Small,South East,Least Deprived Mixed,0.672,69
West Chiltington Common BUA,Small,South East,Least Deprived Mixed,0.572,86
New Rossington BUA,Small,Yorkshire and The Humber,Most Deprived Mixed,0.25,16
Brightlingsea BUA,Small,East of England,Mid Deprived Residential,0.414,50
Stanford-le-Hope BUA,Medium,East of England,Mid Deprived Residential,0.483,54
Yeovil BUA,Medium,South West,Mid Deprived Working,1.019,44
North Baddesley BUA,Small,South East,Least Deprived Working,0.286,72
Amesbury BUA,Small,South West,Least Deprived Mixed,0.655,66
Crook BUA,Small,North East,Mid Deprived Residential,0.423,6
Shipston-on-Stour BUA,Small,West Midlands,Least Deprived Residential,0.553,71
Maldon BUA,Medium,East of England,Mid Deprived Working,0.776,43
Sudbury BUA,Medium,East of England,Most Deprived Working,0.694,32
Brandon (County Durham) BUA,Small,North East,Most Deprived Working,0.814,23
Ormskirk BUA,Medium,North West,Least Deprived Mixed,0.589,78
Blyth (Northumberland) BUA,Medium,North East,Least Deprived Residential,0.43,8
Holbeach BUA,Small,East Midlands,Most Deprived Residential,0.473,38
East Horsley BUA,Small,South East,Least Deprived Residential,0.491,99
Burwell BUA,Small,East of England,Least Deprived Residential,0.359,86
Darlington BUA,Large,North East,Most Deprived Working,0.856,16
Axminster BUA,Small,South West,Mid Deprived Mixed,0.65,49
Looe BUA,Small,South West,Most Deprived Mixed,0.653,25
Southwater BUA,Small,South East,Least Deprived Residential,0.373,97
Cranfield BUA,Small,East of England,Least Deprived Working,1.098,96
Norton Canes BUA,Small,West Midlands,Most Deprived Working,1.386,27
Newquay BUA,Medium,South West,Most Deprived Mixed,0.578,22
Hemsworth BUA,Small,Yorkshire and The Humber,Most Deprived Residential,0.366,12
Lightwater BUA,Small,South East,Least Deprived Residential,0.423,99
Bewdley BUA,Small,West Midlands,Least Deprived Residential,0.367,64
Sawtry BUA,Small,East of England,Least Deprived Residential,0.493,75
Millom BUA,Small,North West,Most Deprived Residential,0.435,21
Thirsk BUA,Small,Yorkshire and The Humber,Mid Deprived Residential,0.498,59
Huntingdon BUA,Medium,East of England,Mid Deprived Working,1.125,43
Shirebrook BUA,Small,East Midlands,Least Deprived Mixed,0.626,8
Sherborne BUA,Small,South West,Mid Deprived Working,1.015,58
Silsden BUA,Small,Yorkshire and The Humber,Least Deprived Residential,0.415,80
Willington (County Durham) BUA,Small,North East,Most Deprived Mixed,0.26,1
South Molton BUA,Small,South West,Most Deprived Working,1.102,34
Honiton BUA,Small,South West,Mid Deprived Working,0.708,48
Chippenham (Wiltshire) BUA,Medium,South West,Least Deprived Working,0.769,62
Gillingham (North Dorset) BUA,Small,South West,Least Deprived Mixed,0.603,75
Redbourn BUA,Small,East of England,Least Deprived Residential,0.46,78
West Mersea BUA,Small,East of England,Least Deprived Residential,0.418,69
Tring BUA,Small,East of England,Least Deprived Mixed,0.584,89
Guisborough BUA,Small,North East,Most Deprived Residential,0.529,39
Olney BUA,Small,South East,Least Deprived Working,0.695,91
New Alresford BUA,Small,South East,Least Deprived Mixed,0.67,93
Marchwood BUA,Small,South East,Least Deprived Residential,0.528,89
Rugeley BUA,Medium,West Midlands,Most Deprived Mixed,0.64,36
Saffron Walden BUA,Small,East of England,Least Deprived Working,0.742,80
Knutsford BUA,Small,North West,Least Deprived Working,1.463,66
Shepley BUA,Small,Yorkshire and The Humber,Least Deprived Residential,0.314,96
Biggleswade BUA,Small,East of England,Mid Deprived Residential,0.534,57
Ripon BUA,Small,Yorkshire and The Humber,Least Deprived Mixed,0.675,73
Selsey BUA,Small,South East,Mid Deprived Residential,0.554,42
Ilfracombe BUA,Small,South West,Most Deprived Mixed,0.579,13
Saltburn-by-the-Sea BUA,Small,North East,Most Deprived Residential,0.439,19
Ventnor BUA,Small,South East,Most Deprived Working,0.747,14
Newton Aycliffe BUA,Medium,North East,Most Deprived Working,1.001,15
Newbiggin-by-the-Sea BUA,Small,North East,Most Deprived Working,0.305,2
Filey BUA,Small,Yorkshire and The Humber,Most Deprived Residential,0.476,19
Hoo St Werburgh BUA,Small,South East,Mid Deprived Residential,0.209,41
Arlesey BUA,Small,East of England,Least Deprived Working,0.292,64
South Woodham Ferrers BUA,Small,East of England,Least Deprived Residential,0.501,85
Earls Barton BUA,Small,East Midlands,Least Deprived Residential,0.527,78
Lichfield BUA,Medium,West Midlands,Mid Deprived Working,0.879,53
Calverton BUA,Small,East Midlands,Mid Deprived Residential,0.39,53
Blackfield BUA,Small,South East,Mid Deprived Mixed,0.584,44
Yaxley BUA,Small,East of England,Least Deprived Residential,0.485,62
Lymm BUA,Small,North West,Least Deprived Mixed,0.642,94
Dereham BUA,Medium,East of England,Most Deprived Mixed,0.675,37
Shrewsbury BUA,Medium,West Midlands,Mid Deprived Working,1.066,46
Witley BUA,Small,South East,Least Deprived Residential,0.446,76
Newport (Telford and Wrekin) BUA,Small,West Midlands,Least Deprived Residential,0.43,68
Beaconsfield BUA,Small,South East,Least Deprived Working,1.379,97
Croesowallt BUA,Small,West Midlands,Most Deprived Working,0.731,28
Chapel-en-le-Frith BUA,Small,East Midlands,Least Deprived Mixed,0.585,75
Longridge BUA,Small,North West,Least Deprived Mixed,0.634,88
Verwood BUA,Small,South West,Least Deprived Residential,0.423,90
Whitchurch (Shropshire) BUA,Small,West Midlands,Most Deprived Mixed,0.61,33
Tidworth BUA,Small,South West,Least Deprived Residential,0.318,94
Bracebridge Heath BUA,Small,East Midlands,Least Deprived Residential,0.389,83
Barton-upon-Humber BUA,Small,Yorkshire and The Humber,Most Deprived Mixed,0.642,22
Aylsham BUA,Small,East of England,Least Deprived Mixed,0.633,69
Poringland BUA,Small,East of England,Least Deprived Mixed,0.255,87
Manningtree BUA,Small,East of England,Least Deprived Mixed,0.624,69
Keynsham BUA,Small,South West,Mid Deprived Mixed,0.67,58
Sleaford BUA,Small,East Midlands,Mid Deprived Working,0.72,52
Barrow-in-Furness BUA,Medium,North West,Most Deprived Working,0.998,11
Wellesbourne BUA,Small,West Midlands,Least Deprived Mixed,0.627,82
Clowne BUA,Small,East Midlands,Most Deprived Residential,0.45,30
Chatteris BUA,Small,East of England,Mid Deprived Residential,0.464,40
Brixham BUA,Small,South West,Most Deprived Mixed,0.571,18
Murton (County Durham) BUA,Small,North East,Most Deprived Residential,0.328,12
Tiverton BUA,Small,South West,Most Deprived Mixed,0.682,35
Hurstpierpoint BUA,Small,South East,Least Deprived Residential,0.361,96
South Hayling BUA,Small,South East,Mid Deprived Residential,0.446,51
Egremont BUA,Small,North West,Most Deprived Residential,0.404,24
Swaffham BUA,Small,East of England,Most Deprived Working,0.798,21
Ledbury BUA,Small,West Midlands,Least Deprived Working,0.693,60
Skipton BUA,Small,Yorkshire and The Humber,Mid Deprived Working,1.721,46
Bradford on Avon BUA,Small,South West,Least Deprived Mixed,0.564,66
Oundle BUA,Small,East Midlands,Least Deprived Working,0.869,93
Sherburn in Elmet BUA,Small,Yorkshire and The Humber,Least Deprived Working,1.565,76
Ludlow BUA,Small,West Midlands,Most Deprived Working,0.742,35
Bingham BUA,Small,East Midlands,Least Deprived Residential,0.427,76
Lewes BUA,Small,South East,Mid Deprived Working,1.121,53
Benson BUA,Small,South East,Least Deprived Residential,0.389,99
Liphook BUA,Small,South East,Least Deprived Working,0.696,67
Haxby BUA,Small,Yorkshire and The Humber,Least Deprived Mixed,0.251,97
Shaftesbury BUA,Small,South West,Mid Deprived Working,0.757,56
Bungay BUA,Small,East of England,Most Deprived Working,0.734,37
Calne BUA,Small,South West,Mid Deprived Residential,0.447,47
King's Hill BUA,Small,South East,Least Deprived Working,1.634,95
Cobham (Elmbridge) BUA,Small,South East,Least Deprived Working,0.788,95
Beccles BUA,Small,East of England,Most Deprived Working,0.719,36
Tiptree BUA,Small,East of England,Least Deprived Mixed,0.573,72
Peacehaven BUA,Small,South East,Most Deprived Residential,0.247,33
Tetbury BUA,Small,South West,Least Deprived Mixed,0.654,67
Leighton Buzzard BUA,Medium,East of England,Least Deprived Mixed,0.562,64
Broughton Astley BUA,Small,East Midlands,Least Deprived Residential,0.36,95
Whittlesey BUA,Small,East of England,Most Deprived Residential,0.401,36
Brandon (Forest Heath) BUA,Small,East of England,Most Deprived Residential,0.459,39
Cottenham BUA,Small,East of England,Least Deprived Residential,0.513,63
Bourne BUA,Small,East Midlands,Least Deprived Working,0.731,67
Staplehurst BUA,Small,South East,Least Deprived Residential,0.404,80
Cheadle BUA,Small,West Midlands,Mid Deprived Residential,0.398,53
Brixworth BUA,Small,East Midlands,Least Deprived Mixed,0.658,84
Chipping Ongar BUA,Small,East of England,Mid Deprived Mixed,0.687,51
Fleetwood BUA,Medium,North West,Mid Deprived Residential,0.546,5
Shildon BUA,Small,North East,Most Deprived Residential,0.47,1
Hemsby BUA,Small,East of England,Most Deprived Residential,0.494,33
Ashby-de-la-Zouch BUA,Small,East Midlands,Least Deprived Working,1.442,64
Wadebridge BUA,Small,South West,Mid Deprived Mixed,0.617,44
Harpenden BUA,Medium,East of England,Least Deprived Working,1.414,98
Halesworth BUA,Small,East of England,Mid Deprived Working,1.131,46
Attleborough BUA,Small,East of England,Mid Deprived Mixed,0.635,59
Fleet BUA,Medium,South East,Least Deprived Mixed,0.578,98
Ramsey (Huntingdonshire) BUA,Small,East of England,Mid Deprived Residential,0.451,43
Wantage BUA,Small,South East,Least Deprived Residential,0.473,80
East Leake BUA,Small,East Midlands,Least Deprived Mixed,0.61,82
Askern BUA,Small,Yorkshire and The Humber,Most Deprived Residential,0.237,4
Long Sutton (South Holland) BUA,Small,East Midlands,Mid Deprived Mixed,0.688,45
Battle BUA,Small,South East,Mid Deprived Working,0.803,56
New Ollerton BUA,Small,East Midlands,Most Deprived Mixed,0.647,17
Uttoxeter BUA,Small,West Midlands,Least Deprived Working,0.812,64
Bircotes BUA,Small,East Midlands,Most Deprived Residential,0.244,17
North Walsham BUA,Small,East of England,Most Deprived Mixed,0.629,30
Seaton (East Devon) BUA,Small,South West,Mid Deprived Mixed,0.619,59
Stotfold BUA,Small,East of England,Least Deprived Residential,0.247,84
Shepshed BUA,Small,East Midlands,Least Deprived Mixed,0.573,71
Clacton-on-Sea BUA,Medium,East of England,Most Deprived Mixed,0.665,4
Whitby BUA,Small,Yorkshire and The Humber,Most Deprived Working,0.777,26
Ashbourne BUA,Small,East Midlands,Least Deprived Working,1.074,68
Cheltenham BUA,Large,South West,Mid Deprived Working,0.983,54
Congleton BUA,Medium,North West,Mid Deprived Mixed,0.613,56
Rishton BUA,Small,North West,Most Deprived Residential,0.484,23
Todmorden BUA,Small,Yorkshire and The Humber,Most Deprived Residential,0.458,23
Stocksbridge BUA,Small,Yorkshire and The Humber,Mid Deprived Residential,0.401,47
Shifnal BUA,Small,West Midlands,Mid Deprived Residential,0.332,56
Twyford (Wokingham) BUA,Small,South East,Least Deprived Working,0.735,98
Spennymoor BUA,Small,North East,Least Deprived Mixed,0.564,7
Stubbington BUA,Medium,South East,Least Deprived Residential,0.434,91
Alton (East Hampshire) BUA,Small,South East,Least Deprived Working,0.868,73
Radlett BUA,Small,East of England,Least Deprived Mixed,0.583,95
Withernsea BUA,Small,Yorkshire and The Humber,Most Deprived Residential,0.46,1
Neston BUA,Small,North West,Least Deprived Residential,0.438,61
Middlewich BUA,Small,North West,Least Deprived Mixed,0.669,68
Edenbridge BUA,Small,South East,Mid Deprived Mixed,0.676,58
Maryport BUA,Small,North West,Least Deprived Residential,0.502,9
Wymondham (South Norfolk) BUA,Small,East of England,Least Deprived Working,0.78,67
Creswell BUA,Small,East Midlands,Least Deprived Residential,0.184,7
Saltash BUA,Small,South West,Mid Deprived Residential,0.385,52
Potters Bar BUA,Medium,East of England,Least Deprived Working,0.89,72
Pembury BUA,Small,South East,Least Deprived Working,1.285,84
Clevedon BUA,Medium,South West,Least Deprived Working,0.765,72
Anstey BUA,Small,East Midlands,Least Deprived Working,0.304,62
Great Torrington BUA,Small,South West,Most Deprived Residential,0.528,33
Wroughton BUA,Small,South West,Mid Deprived Residential,0.515,58
Tavistock BUA,Small,South West,Mid Deprived Mixed,0.657,53
Codsall BUA,Small,West Midlands,Least Deprived Residential,0.365,61
Cockermouth BUA,Small,North West,Least Deprived Working,0.795,65
Blandford Forum BUA,Small,South West,Mid Deprived Working,0.71,54
Sittingbourne BUA,Medium,South East,Most Deprived Mixed,0.672,27
Buxton (High Peak) BUA,Medium,East Midlands,Mid Deprived Mixed,0.654,48
Newhaven BUA,Small,South East,Most Deprived Mixed,0.662,22
Hadleigh BUA,Small,East of England,Least Deprived Working,0.884,67
Thetford BUA,Medium,East of England,Most Deprived Mixed,0.657,28
Billingshurst BUA,Small,South East,Least Deprived Residential,0.476,77
Annfield Plain BUA,Small,North East,Mid Deprived Residential,0.533,5
Emsworth BUA,Small,South East,Least Deprived Residential,0.408,71
Bognor Regis BUA,Medium,South East,Mid Deprived Mixed,0.64,43
Tarleton BUA,Small,North West,Least Deprived Residential,0.406,87
Westbury (Wiltshire) BUA,Small,South West,Mid Deprived Residential,0.423,51
Strensall BUA,Small,Yorkshire and The Humber,Least Deprived Mixed,0.248,94
Liss BUA,Small,South East,Least Deprived Residential,0.436,76
Towcester BUA,Small,East Midlands,Least Deprived Mixed,0.558,85
Totnes BUA,Small,South West,Most Deprived Working,1.066,20
Hinckley BUA,Medium,East Midlands,Least Deprived Working,0.843,63
Yarm BUA,Small,North East,Least Deprived Residential,0.546,84
Princes Risborough BUA,Small,South East,Least Deprived Working,0.71,85
Seaham BUA,Medium,North East,Most Deprived Residential,0.5,12
Hexham BUA,Small,North East,Least Deprived Working,0.919,62
Scunthorpe BUA,Large,Yorkshire and The Humber,Most Deprived Working,0.871,15
Belper BUA,Medium,East Midlands,Least Deprived Residential,0.465,72
Littleport BUA,Small,East of England,Mid Deprived Working,0.276,44
Freckleton BUA,Small,North West,Least Deprived Working,1.445,68
Berwick-upon-Tweed BUA,Small,North East,Most Deprived Working,0.843,30
Stratford-upon-Avon BUA,Medium,West Midlands,Least Deprived Working,1.099,77
Wombourne BUA,Small,West Midlands,Least Deprived Residential,0.44,67
Burgess Hill BUA,Medium,South East,Least Deprived Working,0.757,85
Spalding BUA,Medium,East Midlands,Mid Deprived Working,0.934,55
Ampthill BUA,Medium,East of England,Least Deprived Residential,0.535,89
Barnard Castle BUA,Small,North East,Mid Deprived Working,1.167,53
Matlock BUA,Small,East Midlands,Least Deprived Working,0.889,60
Aveley BUA,Small,East of England,Most Deprived Residential,0.447,24
Morpeth BUA,Small,North East,Least Deprived Working,0.903,68
Fakenham BUA,Small,East of England,Mid Deprived Working,1.086,45
Lydney BUA,Small,South West,Most Deprived Mixed,0.62,25
Cleator Moor BUA,Small,North West,Most Deprived Residential,0.309,14
Brentwood BUA,Medium,East of England,Least Deprived Working,0.778,74
Warrington BUA,Large,North West,Most Deprived Working,1.176,39
Coleshill (North Warwickshire) BUA,Small,West Midlands,Least Deprived Working,2.377,72
Winsford (Cheshire West and Chester) BUA,Medium,North West,Most Deprived Working,0.746,11
Kirkby BUA,Medium,North West,Most Deprived Working,0.963,0
Alcester BUA,Small,West Midlands,Least Deprived Working,1.531,61
Desborough BUA,Small,East Midlands,Least Deprived Residential,0.333,60
Biddulph BUA,Small,West Midlands,Mid Deprived Working,0.294,48
Featherstone (Wakefield) BUA,Small,Yorkshire and The Humber,Most Deprived Mixed,0.599,11
Witney BUA,Medium,South East,Least Deprived Working,0.802,78
Liskeard BUA,Small,South West,Most Deprived Working,0.748,10
Faversham BUA,Small,South East,Most Deprived Mixed,0.568,29
Market Harborough BUA,Medium,East Midlands,Least Deprived Working,0.752,81
Swanage BUA,Small,South West,Least Deprived Mixed,0.611,62
Evesham BUA,Medium,West Midlands,Mid Deprived Mixed,0.652,50
Canvey Island BUA,Medium,East of England,Most Deprived Residential,0.314,19
Great Malvern BUA,Medium,West Midlands,Most Deprived Working,0.752,38
Cambourne BUA,Small,East of England,Least Deprived Residential,0.512,69
Salisbury BUA,Medium,South West,Least Deprived Working,1.006,61
Lowestoft BUA,Medium,East of England,Most Deprived Mixed,0.569,14
Crewkerne BUA,Small,South West,Mid Deprived Working,0.776,52
Ilkley BUA,Small,Yorkshire and The Humber,Least Deprived Working,0.805,96
Skegness BUA,Medium,East Midlands,Most Deprived Working,0.89,2
Malmesbury BUA,Small,South West,Least Deprived Working,1.572,85
Danbury BUA,Small,East of England,Least Deprived Residential,0.425,88
Hereford BUA,Medium,West Midlands,Mid Deprived Working,0.878,41
Formby BUA,Medium,North West,Least Deprived Residential,0.51,86
Sandbach BUA,Small,North West,Least Deprived Mixed,0.604,78
Edwinstowe BUA,Small,East Midlands,Least Deprived Residential,0.322,68
St Ives (Cornwall) BUA,Small,South West,Most Deprived Working,0.981,37
Pocklington BUA,Small,Yorkshire and The Humber,Least Deprived Residential,0.458,83
