CountryName,CountryId,Year,Total,Live animals,Beverages & tobacco,Crude materials,Fuels,Animal & vegetable oils & fats,Chemicals,Material manufactures,Machinery & transport equipment,Miscellaneous manufactures,Unspecified goods,Beverages,Tobacco,"Hides, skins & furskins",Oil-seeds & oleaginous fruits,Crude rubber,Wood & cork,Pulp & waste paper,Textile fibres,Crude minerals & fertilisers,Metal ores & scrap,Other crude animal & vegetable materials,"Coal, coke & briquettes",Crude oil,Refined oil,Gas,Electricity,Animal oils & fats,Vegetable oils & fats,Processed oils & fats,Organic chemicals,Inorganic chemicals,"Dyeing, tanning & colouring materials",Medicinal & pharmaceutical products,Toilet & cleansing preparations,Processed fertilisers,Plastics in primary forms,Plastics in non-primary forms,Other chemicals,Leather manufactures,Rubber manufactures,Wood & cork manufactures,Paper & paperboard,Textile fabrics,Mineral manufactures,Iron & steel,Non-ferrous metals,Miscellaneous metal manufactures,Electric motors (intermediate),Electric motors (capital),Mechanical power generators (consumer),Mechanical power generators (intermediate),Mechanical power generators (capital),Specialised machinery (consumer),Specialised machinery (intermediate),Specialised machinery (capital),Metal working machinery (intermediate),Metal working machinery (capital),General industrial machinery (consumer),General industrial machinery (intermediate),General industrial machinery (capital),Office machinery (consumer),Office machinery (intermediate),Office machinery (capital),Telecoms & sound equipment (consumer),Telecoms & sound equipment (intermediate),Telecoms & sound equipment (capital),Miscellaneous electrical goods (consumer),Miscellaneous electrical goods (intermediate),Miscellaneous electrical goods (capital),Road vehicles other than cars (consumer),Road vehicles other than cars (intermediate),Road vehicles other than cars (capital),Cars,Railway equipment (intermediate),Railway equipment (capital),Aircraft,Ships,"Plumbing, heating & lighting fixtures (consumer)","Plumbing, heating & lighting fixtures (intermediate)","Plumbing, heating & lighting fixtures (capital)",Furniture (consumer),Furniture (intermediate),Furniture (capital),"Travel goods, handbags etc",Clothing,Footwear,Scientific instruments (consumer),Scientific instruments (intermediate),Scientific instruments (capital),Photographic & optical goods & clocks (consumer),Photographic & optical goods & clocks (intermediate),Photographic & optical goods & clocks (capital),Works of art,Jewellery,Other manufactures (intermediate),Other manufactures (capital),Other manufactures (consumer),Unspecified goods
"Bonaire, Sint Eustatius and Saba",BQ,2012,262,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,213,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1
Brazil,BR,2012,2693,0,0,0,0,0,0,0,6,6,1,97,0,0,0,6,0,0,0,0,0,6,0,0,115,0,0,1,0,1,123,15,36,375,12,26,42,20,233,0,14,0,17,7,47,106,15,43,0,24,0,162,13,0,73,82,8,6,0,102,56,0,4,4,1,3,19,1,88,38,1,31,48,190,7,0,113,35,0,0,0,0,0,0,0,2,0,0,23,98,0,12,0,36,9,1,0,23,10
Bahamas,BS,2012,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,BT,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bouvet Island,BV,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,BW,2012,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,819,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,0,0,2,0,0,3,0,1,0,0,0,0,12,0,0,34,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1
Belarus,BY,2012,107,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,1,0,1,8,0,1,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0
Belize,BZ,2012,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Canada,CA,2012,4279,4,0,6,8,37,9,13,96,2,22,136,0,0,0,0,0,0,1,0,80,1,0,164,415,0,0,0,0,0,107,8,9,325,26,1,16,19,80,0,29,0,30,30,53,100,159,159,4,22,0,619,28,0,64,81,2,7,0,114,41,0,2,25,0,14,60,3,75,30,5,34,112,247,19,0,173,8,0,7,1,6,6,1,4,23,1,0,24,123,6,5,0,39,7,12,0,61,19
Cocos Islands,CC,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Democratic Republic),CD,2012,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,CF,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Republic),CG,2012,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,10,2,0,0,0,8,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0
Switzerland,CH,2012,5507,0,16,3,14,18,0,1,30,2,17,56,10,0,0,0,0,0,11,0,125,1,0,0,33,0,0,0,0,0,400,19,23,428,105,1,20,31,51,0,23,0,29,22,227,20,195,42,0,10,0,267,6,6,18,43,9,5,0,61,71,0,22,60,3,7,85,0,85,50,22,22,3,292,1,0,233,5,0,13,0,14,3,7,9,42,5,0,16,138,121,21,0,917,718,23,0,81,20
Ivory Coast,CI,2012,77,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,2,0,3,0,2,0,2,1,0,9,3,0,0,0,3,2,0,0,0,0,0,0,0,1,1,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,CK,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,CL,2012,655,0,0,0,0,0,0,0,6,1,0,30,0,0,0,0,0,0,0,0,0,0,0,138,28,0,0,0,0,0,0,0,1,38,1,0,12,7,23,0,0,0,1,0,2,0,0,7,0,30,0,65,8,0,6,46,0,0,0,12,20,0,0,0,0,2,1,0,3,0,1,4,1,93,0,0,29,0,0,0,0,0,0,0,0,0,0,0,15,17,0,0,0,0,0,3,0,3,1
Cameroon,CM,2012,36,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,6,5,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0
China,CN,2012,11540,1,16,4,61,3,1,1,5,16,18,84,0,109,0,42,0,369,91,7,860,1,0,0,23,0,0,0,0,0,81,28,59,743,63,3,160,54,128,9,33,6,32,59,46,79,254,117,22,50,0,454,141,0,103,209,30,96,0,300,262,0,33,51,0,12,93,3,268,126,0,190,2,3242,9,0,442,18,0,5,0,13,29,0,0,19,3,0,54,389,2,46,0,20,8,24,46,69,991
Colombia,CO,2012,306,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,5,73,6,0,2,8,17,0,3,0,4,0,5,1,0,5,0,9,0,10,3,0,9,17,0,0,0,6,3,0,0,0,0,1,0,0,3,2,0,0,10,17,2,0,14,1,0,0,0,0,0,0,0,0,0,0,3,24,0,0,0,0,0,0,0,2,1
Costa Rica,CR,2012,33,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cuba,CU,2012,20,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cape Verde,CV,2012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curacao,CW,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christmas Island,CX,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,CY,2012,467,0,0,0,5,9,1,0,10,0,9,22,10,0,0,0,0,0,1,0,0,0,0,0,46,0,0,0,0,0,0,6,0,17,13,0,0,1,0,0,0,0,7,6,0,0,0,8,0,1,0,4,0,0,1,3,0,1,0,5,0,0,1,23,0,0,69,0,11,1,0,7,8,53,0,0,15,5,0,1,0,0,0,0,0,45,7,0,0,9,8,0,0,0,0,0,5,13,0
Czech Republic,CZ,2012,1744,0,1,0,0,2,0,2,41,12,16,20,0,0,0,0,0,0,7,0,1,0,0,0,13,0,0,0,0,0,19,18,22,97,60,0,38,50,69,0,13,0,24,49,12,51,37,75,0,8,0,15,4,0,16,51,3,3,0,67,88,0,25,56,0,1,88,1,147,41,2,56,15,21,0,0,52,0,0,2,0,1,0,11,3,68,10,0,11,41,0,0,0,0,1,16,10,61,0
Germany,DE,2012,32371,17,143,104,95,95,58,27,135,80,119,274,51,0,212,52,12,26,34,54,417,30,9,5040,393,27,0,7,65,14,852,371,252,3846,611,6,464,304,852,29,279,16,266,282,258,630,1288,537,14,67,0,2052,91,34,148,386,29,71,0,524,611,0,75,474,40,116,478,88,1040,494,48,985,164,1337,16,0,960,21,0,34,10,35,49,44,75,683,192,0,92,595,52,77,0,41,29,461,20,758,28
Djibouti,DJ,2012,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
