Liability,Asset,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015
ICPF,CG,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,3,1,1,1
ICPF,LG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ICPF,HH&NPISH,1460,1732,1764,1899,1891,1982,2036,2147,2361,2402,2479,2374,2443,2596,3001,3128,3110,3709,3731
ICPF,RoW,45,48,53,48,54,54,56,56,60,78,69,74,63,62,66,94,103,97,102
ICPF,Unknown,63,73,73,69,56,33,49,57,73,90,86,60,69,72,63,81,92,114,123
CG,PC,9,7,8,8,6,7,9,9,9,7,10,10,4,4,4,3,3,3,3
CG,PNFC,4,5,5,6,6,7,8,8,9,10,11,11,11,11,10,11,10,11,11
CG,MFI,47,39,38,35,31,42,42,45,50,45,43,68,265,312,421,512,518,575,565
CG,OFI,11,13,22,36,37,41,37,35,52,48,68,132,84,92,93,55,52,204,177
CG,ICPF,171,197,193,190,172,185,204,228,235,245,245,243,257,290,359,373,387,444,448
CG,CG,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,5,4,5,3,3,1
CG,LG,1,1,1,1,1,1,1,0.0006,0.0006,0.0006,0.0006,2,3,2,3,4,5,5,5
CG,HH&NPISH,109,115,102,94,90,93,100,105,110,118,124,135,139,147,162,162,168,183,207
CG,RoW,67,75,63,65,62,59,70,96,125,153,182,243,258,406,482,498,474,473,522
CG,Unknown,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4
LG,PC,1,1,1,0.0006,1,0.0006,0.0006,0.0006,1,1,0.0006,0.0006,0.0006,1,0.0006,0.0006,0.0006,1,0.0006
LG,PNFC,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,1,1,1,1,1,1
LG,MFI,4,3,2,2,2,3,4,6,8,9,10,11,11,12,12,11,11,11,10
LG,OFI,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,1,1,1,1,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
LG,ICPF,43,44,40,55,59,85,80,75,73,76,70,102,93,75,87,76,72,71,63
LG,CG,44,45,47,48,48,46,42,43,46,47,49,52,51,54,55,64,64,65,65
LG,HH&NPISH,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,1,0.0006,1,1,1,1,1,1,0.0006,0.0006,1,0.0006,0.0006
LG,RoW,1,1,1,1,1,1,1,2,2,2,2,2,3,3,4,5,5,6,6
HH&NPISH,PNFC,3,3,3,3,3,3,2,2,2,1,1,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
HH&NPISH,MFI,512,547,563,613,667,742,808,882,906,955,992,955,1065,1183,1184,1188,1196,1228,1267
HH&NPISH,OFI,12,17,49,56,67,86,133,184,227,292,365,439,326,120,125,133,141,150,171
HH&NPISH,ICPF,24,30,24,29,37,49,44,48,49,46,48,60,49,48,76,70,68,96,93
HH&NPISH,CG,3,4,5,6,8,11,13,15,18,20,25,28,34,125,121,121,120,121,115
HH&NPISH,LG,0.0006,1,1,1,1,1,1,1,1,2,3,4,5,5,6,8,9,10,11
HH&NPISH,HH&NPISH,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
HH&NPISH,RoW,6,8,7,5,8,8,12,14,14,15,16,22,23,23,31,33,33,31,31
HH&NPISH,Unknown,2,2,3,3,3,3,0.0006,0.0006,0.0006,1,1,1,1,1,1,1,1,1,1
RoW,PC,5,5,5,5,5,5,5,5,3,2,2,2,2,2,2,2,3,2,2
RoW,PNFC,296,384,524,729,740,784,832,825,896,938,1035,1288,1091,1159,1178,1194,1229,1208,1231
RoW,MFI,1040,1148,1142,1422,1535,1573,1738,2701,3248,3530,4839,7992,5551,5789,6501,5865,4734,5093,4762
RoW,OFI,356,316,380,455,494,444,589,731,1009,1029,1144,1116,1175,2144,2369,2243,2562,2710,2482
RoW,ICPF,260,285,375,364,385,345,384,453,578,663,728,703,796,884,877,1000,1032,1074,1072
RoW,CG,22,21,20,28,26,26,24,23,24,23,28,38,35,53,59,64,59,65,85
RoW,LG,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,1,1,1,0.0006,0.0006,1,0.0006,1,1,1
RoW,HH&NPISH,53,61,69,73,77,80,95,114,147,161,186,219,194,195,190,188,198,196,193
Unknown,PC,0.0006,1,1,1,1,1,1,1,1,2,2,1,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006,0.0006
Unknown,PNFC,21,25,43,31,21,17,17,17,24,38,44,63,69,57,58,61,66,83,82
Unknown,MFI,79,89,115,150,155,129,169,212,267,364,358,362,452,480,467,471,495,419,393
Unknown,OFI,167,126,151,187,265,255,300,339,404,463,492,442,625,764,785,843,884,910,900
Unknown,ICPF,615,675,820,813,687,580,628,647,678,674,644,446,457,401,366,395,382,387,363
Unknown,CG,1,1,1,0.0006,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1
Unknown,LG,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,4
Unknown,HH&NPISH,416,444,566,523,395,254,298,300,332,309,317,121,238,285,236,248,300,351,341
Unknown,RoW,422,578,763,842,762,681,849,990,1214,1364,1578,1493,1797,1847,1830,1861,1868,1982,2077
