AREANM,AREACD,time1998,time1999,time2000,time2001,time2002,time2003,time2004,time2005,time2006,time2007,time2008,time2009,time2010,time2011,time2012,time2013,time2014,time2015,time2016,time2017
"Herefordshire, County of",E06000019,37.2,38.6,38.7,35.1,37,29.5,37.4,31.1,25.4,38.1,29.8,29.8,28.1,26,24.7,24.1,20.4,14.3,14.5,13.2
Telford and Wrekin,E06000020,64.2,55.3,57.9,60.9,56.7,53.6,51.8,53.2,55.2,48.9,50.8,50.5,44.9,37.4,36.8,35.1,32.6,25,19.5,19.6
Stoke-on-Trent,E06000021,68.5,68.8,60.5,63.7,62.6,61.5,67.7,67.8,65.5,69,58.4,56.5,49.6,42.2,51.2,43.8,42.2,26.9,28.6,25
Bath and North East Somerset,E06000022,29,28.5,28.9,28.5,22.8,29.6,30.2,33.2,27.4,30.2,27.7,22.8,19.9,16.2,18.1,17,12.3,11.4,5.8,13.1
"Bristol, City of",E06000023,51,54.3,53,52.5,49.7,54.6,48.3,52.4,50.4,54.2,45.9,47.2,38.7,33.2,28.5,25.6,22.1,17.3,17.2,14.8
North Somerset,E06000024,35.7,37.2,33.5,43.4,33.6,37.6,25.3,28.1,22.6,31.6,32.7,34.9,32.5,25.6,17.5,19.2,19,14.2,17.8,12.6
South Gloucestershire,E06000025,33.8,27.5,29.7,25.2,22.6,26.6,31.9,37.5,33.5,36.7,30.6,27.1,24.6,20.5,17.6,14.7,14.3,11,11.7,11.5
Plymouth,E06000026,54.7,51.2,49.3,49.2,46.5,45.5,51.4,57.5,50.5,54.9,51.6,46,44.1,43.6,39.5,29,29.7,24,19.6,25.1
Torbay,E06000027,44.2,52.7,48.9,40.6,49.5,41,50.1,48.7,51.7,58.3,66.4,56.5,47,53.1,39.4,29.4,30.6,23,25.7,25.8
Bournemouth,E06000028,51.6,45.5,45.8,51,37.8,32.5,39.6,42.6,42.2,55.1,41.7,40.9,36.5,31.7,26.6,21.8,22.3,20.5,22.7,21.4
Poole,E06000029,43.3,39.3,31.4,30.1,36.2,28.1,27,34.7,35.4,38.5,37.2,36.1,33.7,31.3,22.8,21.1,28.2,20.6,19.4,17.3
Swindon,E06000030,53.5,55.5,51.2,59.3,44.4,46.8,53.2,41.2,42.9,42.5,33.6,33.8,28.1,30.8,27.8,24.5,20,20.1,19.1,18.3
Peterborough,E06000031,57.7,51,47.4,53.3,54.8,46.8,51.7,54.2,55.1,45.9,48.9,51.3,46.6,36,35.9,33.4,30.2,28.3,29.8,22.4
Luton,E06000032,43.1,47,44.4,44,45.4,40.3,46.9,44.8,37.9,38.7,43.1,28.7,30.7,29.9,29.4,24.4,25.3,22.3,21.7,16.3
Southend-on-Sea,E06000033,56.4,48.5,46.8,47.4,50.9,47.7,46.8,46.2,47.5,40.7,41.8,41.4,36.1,34.8,30.3,26.5,28.7,26.1,27.1,24.3
Thurrock,E06000034,62.3,52.7,52.9,50.1,41.7,40.8,42.5,43.2,46.5,40.8,40.9,36,32.3,34,30.5,36.1,25.5,24.5,18.8,20.3
Medway,E06000035,46.2,52.1,43,44.8,45.9,41,40.2,43.7,44.1,44.7,40.3,40,44.1,38.8,33.6,33.4,33.2,28.1,22.3,21.7
Bracknell Forest,E06000036,45.5,34.5,35.2,34.6,34.8,33.3,32.8,28.4,29.5,23.9,27.4,19.8,19.7,18.3,17.3,14.6,12.6,7.4,8.3,9
West Berkshire,E06000037,31,33.4,27.6,28.1,26.7,23.9,29.2,27.1,25.3,22,28.1,24.4,22.2,27,19.7,18.5,19.7,14.6,12.9,11.3
Reading,E06000038,63.1,51.3,61.4,57,57.6,59.8,62.2,64,57.5,51,45.2,44.4,40.6,34.1,36,23.2,27,22.2,19.7,16.5
Slough,E06000039,56.5,40,47,41.6,40.8,34.2,38.6,31.6,34.9,38.8,27.4,30.5,31,23.9,21,19,20.3,22.2,12.2,14.1
Windsor and Maidenhead,E06000040,25,26.2,27,25,26,20.9,29.6,21,20.6,20.3,16.5,12.2,17.3,11.5,14.6,13.5,13.5,9.1,8.5,8.7
Wokingham,E06000041,27.8,25.9,27.5,21.7,20,21.5,20.5,21.2,20.7,23,20.8,17.8,13.1,13,15.4,12,8.4,8.1,8.1,6.9
Milton Keynes,E06000042,51.2,55,51.7,43,46.4,39.1,39.7,43.4,42.5,37.6,40,38.9,28.6,21.7,25.4,24,21,20.3,19.1,17.5
Brighton and Hove,E06000043,48.1,51.1,50.1,42.6,47.7,49.4,47.3,48.4,44.2,42,34,34.1,35.9,29.4,29.1,25.1,28.2,25.3,17.9,19.3
Portsmouth,E06000044,57,54.4,40.4,48.2,49.3,47.9,57.8,57.2,49.1,60.6,45.8,47.7,39.4,33.3,39.8,24.8,22.6,25.4,26.4,25.5
Southampton,E06000045,60.9,56.8,59.1,65.6,68.6,59.6,59,63.5,70.2,56.2,58,54.3,51.7,47.4,34.4,36.4,29,29.3,31.7,26.3
Isle of Wight,E06000046,40.2,39.6,43.3,37.9,41.6,33.8,32.2,36.3,35.5,35.7,37.2,30,33.9,29.6,33.6,32.1,23.2,17.3,24.2,18.9
County Durham,E06000047,54.4,51.9,48.8,44.7,51.5,49.4,48.3,49.1,46.2,50,48,43.5,43.2,37.4,33.6,33.8,28.5,26.4,21.6,23.7
Northumberland,E06000057,41.8,43,40.7,36.8,40.6,37.5,36.6,35.4,34.3,35.7,33.1,33.6,32.6,32.5,28.3,22.9,23,22.5,21,20.3
Cheshire East,E06000049,37.9,33.5,29.4,26.8,28.6,28.6,31.3,31.7,29.5,34.1,33.9,28.4,31.6,23.3,23.8,19.3,17.8,17.4,15.5,15.8
Cheshire West and Chester,E06000050,37.6,41.7,37.9,35.5,38.8,32.7,35.7,37.4,34.4,43.6,35.6,33.9,36.5,25.8,28.5,23.3,19.9,17.8,18.8,17.3
Shropshire,E06000051,34,33.9,28.9,32.2,27.5,31.1,27,25.4,31.4,30.7,29.8,27.4,22.7,23.7,24.2,19.1,15.1,17,15,15
Cornwall,E06000052,39.8,38.5,35.1,34.4,40,35.8,34.5,35,33.5,34.2,36.3,30.6,33,30.3,26.1,21.3,18.8,17.6,16.1,17.3
Isles of Scilly,E06000053,39.8,38.5,35.1,34.4,40,35.8,34.5,35,33.5,34.2,36.3,30.6,33,30.3,26.1,21.3,18.8,17.6,16.1,17.3
Wiltshire,E06000054,32.1,29.4,30.5,30.4,30.5,28.4,26.5,28.1,30.5,31.5,30.7,30.1,26.9,22.9,21.5,19.5,16.1,14,12.9,9.5
Bedford,E06000055,47.1,46,34.1,36.9,33.8,38.8,41.1,37.9,45.6,39.9,42.4,38.3,39.3,26.9,28.9,22,24.7,18.4,14.7,21
Central Bedfordshire,E06000056,37.2,32.4,34.7,31.2,33.6,31.7,27.1,27.5,31.3,34.6,31.5,32.4,35.6,27.2,26.7,19.9,18.8,18.7,15,16
Aylesbury Vale,E07000004,25.4,30.6,25.3,23.2,23.5,22.3,27.1,21.5,22,25.6,22.8,26.8,19.8,18.4,19.2,17.8,12.9,13.9,13,10
Chiltern,E07000005,18.5,14.5,22.3,16.4,14.9,17.3,9.3,12.3,17,19.8,21.4,24.1,15.4,21.4,13.4,10.3,9,5.4,8.1,6.8
South Bucks,E07000006,18.9,19.3,26.5,21.8,23.1,23.2,20.1,29.6,20.4,21.5,26.9,18.3,23.1,17.8,16.5,17.2,11.9,14.5,8.4,12.2
Wycombe,E07000007,29.7,30.7,31.4,27.8,25.8,21.8,22.7,25.6,21.8,24.2,25.3,22.8,20.3,17.6,17.9,20.5,15.2,12.1,9.8,12.6
Cambridge,E07000008,33.6,32.2,33.4,35.6,36.8,30.3,24.4,32.8,34.1,36.8,35.5,44.2,29.1,22.4,13.2,22.5,23.5,16,11.3,11.8
East Cambridgeshire,E07000009,35.5,26.9,25.6,22.5,14.5,21.4,19.7,25.2,19.1,25.2,17.9,17.4,17.2,13.6,16.4,8.7,13.7,12.8,11.6,11.8
Fenland,E07000010,54.7,52.9,49.7,54.9,53.5,41.6,34.5,41.3,38.8,33.8,37.1,33.7,37.4,40.7,29,23.1,22.6,26.1,19.6,23.2
Huntingdonshire,E07000011,30.1,26.9,30.4,31.1,33.1,27.2,27.3,27.3,29,26.9,22.1,26.9,23.8,19.8,14.6,15.5,16.1,14.5,17.1,13.6
South Cambridgeshire,E07000012,16.6,18.9,16.3,20.7,14.7,20.3,19.3,19.8,13.9,18.7,18.2,22.3,17.4,16,14.2,13.4,9.8,15.1,3.3,7.1
Allerdale,E07000026,35.5,38.8,45.7,36.1,34,42.2,34.6,35.8,30.1,41.5,46.8,44.2,33.5,26.4,23.7,24.8,17.4,22.4,26,15.9
Barrow-in-Furness,E07000027,62,52.9,52.6,43.4,46.7,47.8,41.7,51.7,44.1,47.7,38,39.8,40.4,36.5,32.4,29.9,35.9,29.3,31.4,27.1
Carlisle,E07000028,41,50.3,52.7,54.1,49.6,56.6,52.3,53.4,41.6,50.1,57.9,55.4,37,39.8,25.8,23.8,30.6,26.5,25.8,21
Copeland,E07000029,51.5,37.7,48.6,33,36.5,36,39.6,60.2,48.3,44.4,46.2,32.8,35.4,33.2,37.5,19.2,16.7,17.1,15.7,18.3
Eden,E07000030,37.1,34.1,16.3,18.2,21.4,23.3,20.8,19.7,19.7,26.8,26.1,34.2,17.9,14.6,19.2,12.3,16.1,12.8,13.3,13.8
South Lakeland,E07000031,30.1,26.3,21.1,20.3,21.3,19.8,23.8,20.2,29.7,29.1,24.5,26.3,21.5,9.9,16.9,10.2,12.1,13.8,9.6,11.4
Amber Valley,E07000032,43.7,43,33.1,34,29.7,39.7,35.9,40,39.2,30.4,36,34.3,31.4,24.2,19.1,15.1,15.1,16.3,25.9,16
Bolsover,E07000033,44,41,46.9,48.8,43.7,45.8,62,53.1,47.9,52,35,33.4,42.2,30.3,22.6,24.7,19.6,20.8,18.4,19.6
Chesterfield,E07000034,40.2,36.2,43.4,45.1,46.4,56.9,42.8,38.8,36,44.1,40.3,39.6,34.8,25.8,29.9,24.2,18.7,12.9,16.9,18.8
Derbyshire Dales,E07000035,37.5,25.3,20.3,16.2,13.7,13.8,21.8,26.1,20.3,22.1,18.5,18.3,16.7,15.9,9.2,7.8,10.4,5.7,10.8,7.7
Erewash,E07000036,50.4,44.6,43,47.7,35.8,35.6,38.2,40,33.5,37.9,35.6,33.1,31.8,25.3,25.3,23.8,16.2,20.8,17.6,11
High Peak,E07000037,46,41.8,43.8,37.7,27.2,35.3,26.4,39.8,35.2,36.4,31.4,34.2,36,35.7,22.5,24.7,16.6,18.2,17,11.7
North East Derbyshire,E07000038,42.4,33.2,38.5,28.4,25.2,26.6,31.2,25.8,35.1,35.3,25.3,28.6,26,22.3,22.4,9.5,16.7,11.5,8.1,16
South Derbyshire,E07000039,25.1,34.3,28,22.6,23.9,22.3,32,27.5,30.5,31.4,31.3,31.7,23.7,26.2,24.1,23.4,15.5,14.5,16.4,12.4
East Devon,E07000040,26.2,26.8,30.9,21.6,28.3,23.3,28.3,28.1,30.6,34.4,36,29.6,28.2,24,17.9,19.8,17.1,17.8,20.1,15.4
Exeter,E07000041,50.2,45.7,39,51.8,53.2,52.5,54,55.8,55.1,58,46.8,43.5,38.6,34.3,32.8,28.8,21.5,17.6,18,12.8
Mid Devon,E07000042,41.5,28,31.4,36.2,29.8,28.7,24.6,23.3,27.3,23,27.6,34.6,31.6,21,33.5,20.6,18,15,14.3,14.3
North Devon,E07000043,41.3,30.8,26.4,33.5,30.6,32.6,36.1,25.4,32.5,21.2,26.4,24.4,21.1,23.4,25.4,18.7,15.2,15.6,15,9.7
South Hams,E07000044,20.7,21.3,24.9,27.2,16.7,20.1,17.2,22.6,20.7,19.3,19.8,18.8,23.9,21.9,26.3,16.7,14.6,15.1,13.7,7.5
Teignbridge,E07000045,30.5,36.8,32.1,38.6,31.2,26.9,32.2,33.1,28.5,39.2,45.4,31,34.6,32,35.4,25.8,22.5,28.9,18.4,11.5
Torridge,E07000046,24.4,18.9,27,33.5,35.6,28.5,30.5,23,22.1,36,32.9,34.7,28.5,29.5,20.2,24,14.2,16.4,17.2,15.6
West Devon,E07000047,20,25.7,25.3,20.6,18.3,23.8,20.7,26.8,25.4,23.2,23,20.5,26.9,16.4,28.2,20.4,6.5,14.6,8.2,12.1
Christchurch,E07000048,26,34.6,34.3,35.3,26.6,29.6,32,37.8,28.4,34.1,32.1,30.3,31.2,29.5,26.8,21.4,19.7,20.6,12.3,17.2
East Dorset,E07000049,24.1,18.4,21.3,17.7,26.4,26.1,21.1,28.8,23.3,17.2,19.3,19.4,11.8,12,19.4,12.7,5.7,14.6,5.9,10.3
North Dorset,E07000050,26.7,18.9,26.6,24.7,19.1,24.4,25.9,20.1,13.7,19.9,19.9,28.3,21.5,19.4,15.3,14,16.9,11.9,15.7,10.7
Purbeck,E07000051,35.8,23.7,24.2,31.7,23.9,27,20.7,32.3,16.7,36.5,39.3,24.8,25.8,21.9,27.3,21.7,28.5,15.8,13.9,16.9
West Dorset,E07000052,27,23.2,21.4,28.1,24.7,21.8,22.5,23.8,18.4,25.1,23.1,23.1,20.5,21.6,21.1,21.8,14.3,10.1,6.4,10.4
Weymouth and Portland,E07000053,50.9,52.9,39.8,56.3,45.8,47,51.4,43,38.8,46.6,49.6,54.2,39.6,37.5,28.3,30.7,25.2,24.6,19.7,20.9
Eastbourne,E07000061,43.8,53.1,54.5,34.9,48.7,47.1,49.3,41.6,50.8,51.8,50.1,40,36.3,41.2,25.6,30.7,21.3,22.2,11.8,13.4
Hastings,E07000062,59.5,66.8,68.9,45.7,52,43.9,58.6,58.3,53.5,56.4,56,48.5,44.1,57,50.1,36.5,32.2,29.4,24.5,30
Lewes,E07000063,55.1,38,29.6,32,35.8,32.8,32.1,29.6,28.6,32.4,34.1,32.3,31.3,29.3,19.7,19.1,17.1,17.7,15.7,16.4
Rother,E07000064,36.7,32.4,26.9,26.9,26.8,38.4,30.1,36.3,36.9,36.1,37.3,32.1,26.5,24.8,19.8,18.5,18.7,23.8,18.8,18.1
Wealden,E07000065,19.9,19.2,24.1,20.7,22.6,22.7,22.1,26.1,23.6,16.9,25.5,25.7,21.4,15.7,15.7,12.2,14.3,9.9,12.4,7.5
Basildon,E07000066,59.6,52.8,47.9,48.4,56.7,53.7,39.8,46,36.2,40,45.8,42,41.1,39.5,34.9,32.9,33.1,27,23.4,23.5
Braintree,E07000067,37.1,28.9,32.8,33.2,22.8,31.9,27.2,31.7,37.1,28.7,30,30,27.8,21.1,23,22.3,17.5,17.7,14.8,15.5
Brentwood,E07000068,22.1,23.8,20.5,21.1,27.3,19.7,19,15.6,15.6,14.2,14.4,20.9,11,19.4,12,12.7,10.9,14.2,10.4,7.7
Castle Point,E07000069,30.7,32.5,34.6,28.1,30.2,33,31.4,32.7,30.6,35.1,30.1,30.3,28.1,29.7,20.9,17.5,15.4,21.3,21.4,15.6
Chelmsford,E07000070,28.7,26.6,26.7,22.4,25.2,22.7,25.3,21.5,28.3,28.3,27.4,22,26.3,20.4,19.4,15.7,13.3,15.7,12.5,11.2
Colchester,E07000071,40.5,37.7,43,42,38.8,31.1,32.6,36.8,36.2,31.7,32.6,29.6,30.3,35.1,27.5,20.5,19.5,19.1,12.4,17.4
Epping Forest,E07000072,28.2,28.9,29.8,25,21.3,24.7,29.8,22.6,26.6,29.8,26.3,28.4,22.2,24.4,21.7,15.4,13.2,21.2,16.6,18
Harlow,E07000073,48.8,44.8,54.3,40.7,42.3,52.4,55.2,40.9,50.8,49.9,33.3,36.4,38.2,40.6,37.2,38.5,36.4,29,27.6,26.9
Maldon,E07000074,27.3,19.4,24.2,19.7,24.3,21.6,23.2,25.5,22.3,19.9,27.5,29.5,33.7,31,16.7,27.2,20.1,13.9,12,12.8
Rochford,E07000075,25.3,33.6,27.5,27.9,26.8,21.4,22.2,23.2,21.7,27.5,27.5,28.8,22.3,17.6,15,16.8,15.3,13.4,16,13
Tendring,E07000076,45.7,45.7,41,43.7,48.1,37,35.1,34.7,41.4,47,38.2,42.8,35.2,39.7,32.5,30.3,36.5,25.4,23.5,24.3
Uttlesford,E07000077,19.5,16.6,11.6,13.2,16,12.2,13.2,13.5,19.3,22.8,14.8,22.3,18.7,12.9,9.8,13.3,12.6,8.2,7.6,8.2
Cheltenham,E07000078,43.6,41.5,35.6,39.3,33.9,26.9,32.9,26.3,25.9,28.4,31.3,21.4,18.7,18.4,15.7,13.1,15.6,11.2,11.7,10.5
Cotswold,E07000079,27.4,21.8,19.8,27.9,23.7,21.4,17.8,14.4,19.8,25.2,23.1,16.4,16,10.5,14.4,15.9,16,10.1,13.7,11.7
Forest of Dean,E07000080,44.4,35.8,31.6,35.6,30.4,37.7,40.5,33.4,35.1,33.7,30.2,28.6,28.4,23.9,16.8,17.4,16.1,15.9,15.2,17.9
Gloucester,E07000081,67.1,49.8,60.3,57.5,54.1,45.7,51.8,35.5,44.8,43.5,44.4,39.2,33.3,38.5,34.7,27.9,26.2,26.2,20.3,24.7
Stroud,E07000082,32,26.6,28.3,28.6,27.9,27.9,21.9,22.2,23.8,26.5,21.5,23.8,19,13.2,21.8,17.9,12.5,12.2,11.3,7
Tewkesbury,E07000083,29,30.9,28.4,33.1,36.2,25.3,35.3,28.2,23.5,30.1,24.2,24,27.7,20.4,17.2,11.6,13.1,12.2,17,16.8
Basingstoke and Deane,E07000084,40.9,37.3,30.5,38.9,34.1,37.1,28.1,33.3,34.5,34.8,36.1,27.4,29,24.6,23.2,24.5,18.8,19.2,13,11.3
East Hampshire,E07000085,20.1,23.2,25.3,22.9,23.5,16.1,21.5,23.8,24.6,24.4,28.2,19.8,21.2,13.6,18.5,10.4,9.9,10.9,9.4,11.4
Eastleigh,E07000086,30.1,27.5,26.1,27.2,26,24.8,26.9,25.9,27.4,30,33.6,34.9,30.2,28.9,23.3,20.4,22.3,14.8,14.1,6.6
Fareham,E07000087,37.7,23.3,29,24.1,25.8,25.4,22.1,25.8,26.8,31.5,29.2,23.4,17.8,21.8,16,18.1,9.5,16.2,16.4,11.8
Gosport,E07000088,53.7,52.9,45.1,44.2,53,39.8,51.1,41.6,59.2,51.1,53.7,44.8,35.9,36.5,22.8,20.7,25.7,29,19.7,24.5
Hart,E07000089,25.5,20.6,16.5,15.2,12.6,21.4,16.5,14.6,19.2,18,20.3,15.6,13.8,16.7,12,11.9,5.2,7.8,6.6,10
Havant,E07000090,57.2,61.9,48.7,53.3,41.6,46.3,39.1,43.3,42.9,36.5,44.6,40.4,37.1,26.7,34.2,31,23.2,21.7,19.4,22
New Forest,E07000091,32.4,31.6,33.4,35.5,29.6,29.1,31.8,31.4,30.8,27.4,30.4,30,23.3,25.1,17,19.1,18.6,17.6,12.1,12.3
Rushmoor,E07000092,47.1,35.2,37.1,36.6,38.6,43.8,43.3,33.7,45.1,29.6,40.7,23.7,19.1,28.3,32.3,25.3,13.5,16.7,12,11
Test Valley,E07000093,31.6,33.1,24.4,31.5,24,30.3,30,34.9,26.2,35.5,31.8,30,22,21.3,17.7,20,14.8,16.2,14.9,10.4
Winchester,E07000094,22.7,18.7,21.1,24.6,23.5,19.8,21.9,23.5,19,24.5,21.2,18.9,15.9,14.6,15.4,11.2,10.7,12.6,10.3,5.3
Broxbourne,E07000095,37.5,30.9,48.8,36.3,37.2,34.6,39.5,30.4,38.1,29.8,34.2,29.3,34.3,29.3,20.8,12.5,16.3,16.4,22.7,15.6
Dacorum,E07000096,39.8,28.4,27.9,26.7,25,25.2,22.8,27.6,24.2,28.1,23.3,22.6,24.1,24.7,13,21.1,22.3,15.2,13.5,13.2
East Hertfordshire,E07000242,23.5,20.6,19.9,16.6,27.1,20.9,21.6,19.4,20.8,14.3,18.7,19,19.2,15.4,12.2,12.2,16.1,13.1,8.6,7.8
Hertsmere,E07000098,23.5,39.7,36.2,37.7,28.2,27.4,26.5,26,22.3,23.7,19.3,18,16.7,18.7,15.8,17,13.7,7.7,10.8,14
North Hertfordshire,E07000099,31.7,31.7,26.8,24.8,29.4,31.2,23.4,20.3,20.5,26,23.9,23.2,19.1,20.3,20.6,15.5,18.9,14.5,14.6,11.3
St Albans,E07000240,23.3,22.9,20.8,17.6,20.5,18.3,22.7,19.2,21.9,23.3,19.6,14.7,19.8,12.2,14.7,7.6,12,11.2,11.3,8.6
Stevenage,E07000243,53.5,49.6,53.7,56.9,52.4,46.7,34.3,27.6,39.2,41,34.6,36.6,29.8,36,31,29.1,26.4,26.4,30,16.3
Three Rivers,E07000102,33.6,26.4,29.1,20.4,28.3,21.7,24.6,14.5,20.3,19.7,19.2,21,19.1,18.9,11.6,20.1,17.8,17.6,8.9,8.1
Watford,E07000103,36.7,37.9,40.3,34.3,24.6,23.1,27.5,26,25,26.7,25.2,22.8,24.1,21.8,23.5,18.4,17.8,17.2,14.1,6.9
Welwyn Hatfield,E07000241,24.6,33.8,34.8,32.4,32.9,34.6,34,40,39,41.7,31.1,32.1,31.7,26.5,18.4,16.7,18.9,19.5,18,11.5
Ashford,E07000105,51.1,45.4,51,49.4,39.1,36.2,45.1,42.6,42.5,42.4,34,39.4,35.2,29.9,23.9,23.4,15.9,18.7,18.8,11.8
Canterbury,E07000106,39.7,31.8,43.6,34,38.3,31.6,33.7,35.3,32.5,36.1,32.1,29.7,26.3,26.4,20.6,21.8,18.8,14.7,17.8,14.6
Dartford,E07000107,39.3,42,50.2,46.1,49.1,44.8,37.4,36,41.3,38,28.6,37.5,29.9,27.9,32.4,19.6,22.5,22.3,16.6,15.2
Dover,E07000108,47.1,42.1,45.2,36.9,34.5,31.4,48.7,32,44,37.3,35.6,38,38.1,39.1,31.6,30.3,32.7,26.4,23.9,19.1
Gravesham,E07000109,43.1,36.9,49,33.8,32.6,37.6,42.3,37.6,33.4,33.7,46.1,32.6,37.3,33.5,29.7,26.3,28.1,22.3,18.7,16.1
Maidstone,E07000110,31.1,29.5,36.1,35.7,35.8,33.4,39.6,35,39.3,33.8,36.8,31.4,39,32.4,19.2,15.6,18,20.4,18.1,17.2
Sevenoaks,E07000111,31.3,26.4,24.7,19.7,23.8,24.6,22.3,23.3,25.3,31.9,23.5,21.1,17.8,22.3,16.6,13.7,15.1,10.3,9.9,6.3
Folkestone and Hythe,E07000112,63,51.3,47.6,63.7,46.5,47.6,41.5,42.2,35.5,43.5,44.2,38.7,45.2,33.7,27.8,25.9,23.9,25,22.9,11.8
Swale,E07000113,45,51.8,51.3,50.5,44.9,40.8,41.2,53.1,49.8,48.4,47.5,44.8,39.7,41.2,35.6,27.3,29,29.4,26.5,27.3
Thanet,E07000114,59.2,54.3,71.1,54,47.8,47.6,47.2,63.3,56.3,50.8,54.8,48.5,59.6,45.6,36,35.5,30.5,35.6,26.9,29.1
Tonbridge and Malling,E07000115,33.1,28.5,25.1,27.4,25.8,25.8,33.1,30.2,24.7,28.3,25.4,29.1,32,21.8,26.1,22.8,21,12.1,10.5,11.2
Tunbridge Wells,E07000116,28.7,20.8,23.1,26.4,30.2,27.2,25.3,25.5,24.4,24.7,27.2,18.7,15.4,19.1,13.5,13.8,13.5,11.5,11.8,11.3
Burnley,E07000117,82.3,71.3,49.1,54.6,65.8,54.4,59.3,50.4,57.1,58.6,61.4,51.9,60,53.2,50.1,39.3,34.3,41.2,35.8,29.6
Chorley,E07000118,41,38.4,31.1,34.5,38.4,30,39.9,44.6,39,36.2,39.2,36.5,34.3,33.3,29.5,23.2,21.4,20.3,20.8,17.1
Fylde,E07000119,32.3,26.1,34.8,26.8,27.6,32.8,27.8,25,29.4,27.5,28.6,28.4,29.2,32.6,26.9,12.4,21.5,16.3,10.9,8.5
Hyndburn,E07000120,71.8,68.5,58.5,57.5,59,54.7,58.5,55.8,47.8,63.4,57.4,46.7,46.2,35,38.5,35.3,34.7,33.8,36.7,32.8
Lancaster,E07000121,46.9,42.4,54.1,46.8,50.1,40.8,45.4,41.8,57,47.9,43.8,31.8,35.8,27.4,27.1,22.2,23,19.9,21.5,26.5
Pendle,E07000122,63.9,45.1,58.4,43.4,39.8,52.8,49.6,59.2,43.5,41.8,50.3,49.3,49.5,40.2,23.1,29.4,31.3,27.4,23.1,18.3
Preston,E07000123,49.7,43.8,54.7,46.9,52.5,55.3,53.8,54.9,45.5,52.9,57.9,42.6,38.6,44.3,26.4,35.8,38.6,33.5,27.8,30.5
Ribble Valley,E07000124,19.8,21.7,18.8,19.3,18.5,14.8,22.3,17.8,27.6,22.5,25.1,23.6,17.7,16.5,23.4,16.6,17.1,12,8.6,13.7
